player_id,player_name,posteam,defteam,season,week,game_id,epa_per_opp_obs,opportunities,carries,targets,carry_share_obs,target_share_obs,team_total_plays_obs,total_epa,prior_epa_per_opp,baseline_epa_per_opp,rolling_epa_per_opp,form_residual,is_cold_start,draft_tier,wt_carry_share,wt_target_share,wt_snap_share,wt_team_total_plays,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,games_played_so_far,def_used_fallback
00-0029892,Kyle Juszczyk,SF,MIN,2024,2,2024_02_SF_MIN,-1.028783267736435,5,0,5,0,0.8333333333333334,72,-5.143916338682175,0.33779493711931124,0.33779493711931124,0.7179091452271678,0.3801142081078565,FALSE,r4_5,0,0.75,0.56,72,-0.16927121763942088,0.20114016259565368,1.5422970260611022,1,TRUE
00-0029892,Kyle Juszczyk,SF,SEA,2024,6,2024_06_SF_SEA,0.3386484910385511,5,1,4,0.038461538461538464,0.5714285714285714,66,1.6932424551927556,0.33779493711931124,0.33779493711931124,0.30447241698222416,-0.033322520137087086,FALSE,r4_5,0,0.5008466376390904,0.6013875739196233,67.85493974360486,-0.14277033784084034,0.35417825097038663,0.6531139516974611,5,FALSE
00-0030513,Latavius Murray,BUF,LV,2023,2,2023_02_LV_BUF,-0.09881705334191793,8,6,2,0.2,0.2857142857142857,77,-0.7905364267353434,-0.06685359158825904,-0.06685359158825904,0.4967157898846693,0.5635693814729283,FALSE,r6_udfa,0.13333333333333333,0.2,0.23,70,-0.08163376082224263,0.09112022319687026,0.5107473005600054,1,TRUE
00-0030513,Latavius Murray,BUF,WAS,2023,3,2023_03_BUF_WAS,0.6240804365855487,6,5,1,0.2,0.25,67,3.744482619513292,-0.06685359158825904,-0.06685359158825904,0.17480614489732488,0.24165973648558392,FALSE,r6_udfa,0.1693693693693694,0.24633204633204633,0.23,73.78378378378379,-0.21538264867593837,-0.17936558838795316,1.535893892193041,2,TRUE
00-0030513,Latavius Murray,BUF,MIA,2023,4,2023_04_MIA_BUF,0.3149138892767951,6,4,2,0.18181818181818182,0.6666666666666666,54,1.8894833356607705,-0.06685359158825904,-0.06685359158825904,0.34945115624357315,0.4163047478318322,FALSE,r6_udfa,0.18127632005183025,0.24775787866166876,0.2377745383867833,71.14674441205054,-0.09250563442199268,0.2959258977409603,0.17041676352952526,3,FALSE
00-0030513,Latavius Murray,BUF,NYG,2023,6,2023_06_NYG_BUF,-0.04822741471192179,12,12,0,0.4444444444444444,0,63,-0.5787289765430614,-0.06685359158825904,-0.06685359158825904,0.13141804995297451,0.19827164154123356,FALSE,r6_udfa,0.18644918873473548,0.3308922132339127,0.24333376026532702,63.94153166346748,-0.04483173171687419,-0.3523476276573837,0,5,FALSE
00-0030513,Latavius Murray,BUF,NE,2023,7,2023_07_BUF_NE,0.3673284882825101,6,4,2,0.23529411764705882,0.4,74,2.2039709296950605,-0.06685359158825904,-0.06685359158825904,0.03927353908610613,0.10612713067436517,FALSE,r6_udfa,0.26237020216234247,0.2573301294173718,0.3114404236064181,62.96281309984647,-0.06307941851638078,0.2701096390591361,0,6,FALSE
00-0030513,Latavius Murray,BUF,TB,2023,8,2023_08_TB_BUF,-0.3353137488302309,6,5,1,0.2631578947368421,0.5,71,-2.0118824929813854,-0.06685359158825904,-0.06685359158825904,0.14425202101606086,0.2111056126043199,FALSE,r6_udfa,0.26253142216118885,0.2924038967655969,0.35854543708005476,64.25946735739768,-0.20800655775055504,-0.26270797779740923,0.8935778034423609,6,FALSE
00-0030513,Latavius Murray,BUF,DEN,2023,10,2023_10_DEN_BUF,0.3065778121187274,12,9,3,0.4090909090909091,0.6,56,3.678933745424729,-0.06685359158825904,-0.06685359158825904,0.0675704737647545,0.13442406535301354,FALSE,r6_udfa,0.27531178921354343,0.2746029953773377,0.3911166350119063,65.06531048348364,-0.06452700663673566,-0.013950664506061725,-0.09730977727635746,8,FALSE
00-0030513,Latavius Murray,BUF,NYJ,2023,11,2023_11_NYJ_BUF,-0.22457107595934195,10,10,0,0.3333333333333333,0,76,-2.2457107595934196,-0.06685359158825904,-0.06685359158825904,0.19152233141289407,0.2583759230011531,FALSE,r6_udfa,0.3203945568371229,0.371269049733645,0.4511271678735922,63.34659013348927,-0.08552009591934562,-0.23045807852187458,0.5366068234759177,9,FALSE
