threshold,hit_rate,hit_pct
14,0.587413684871312,58.7%
15,0.5342121782799749,53.4%
16,0.48603264281230385,48.6%
17,0.43440050219711235,43.4%
18,0.386691776522285,38.7%
19,0.34070935342121783,34.1%
20,0.295668549905838,29.6%
21,0.2578468298807282,25.8%
22,0.22379158819836786,22.4%
23,0.1933458882611425,19.3%
24,0.16337099811676084,16.3%
25,0.13716258631512868,13.7%
26,0.11566227244193346,11.6%
27,0.09573132454488387,9.6%
28,0.07642812303829254,7.6%
