position,comparison,n,weeks,stat,stat_a,stat_b,delta,ci_lo,ci_hi,bar,verdict
RB,ae_vs_lagusage_pff,1560,119,spearman,0.1754864471717451,0.14444275319355496,-0.03104369397819015,-0.06287942560371443,0.0016142793518963187,0.02,NEUTRAL
RB,ae_vs_lagusage_pff,1560,119,concordance,0.5609522898938714,0.5482837747394589,-0.012668515154412474,-0.023343107475778602,-0.0015018175123156987,0.01,FAIL
