position,comparison,n,weeks,stat,stat_a,stat_b,delta,ci_lo,ci_hi,bar,verdict
RB,ae_vs_lagusage_pff,1560,119,spearman,0.15390308403310549,0.13661075906759407,-0.01729232496551142,-0.05366459007639517,0.017452860812147666,0.02,NEUTRAL
RB,ae_vs_lagusage_pff,1560,119,concordance,0.5542116837173726,0.5461803231666508,-0.008031360550721844,-0.02033559728746289,0.004159447607704019,0.01,NEUTRAL
