player_id,season,season_share,n_weeks,prior_share,prior_n_weeks,abs_delta,cohort
00-0022736,2015,0.45344129554655865,2,0.5922368644427468,15,0.13879556889618816,stable
00-0022999,2015,0.041321120293094406,9,0.08323318648143659,11,0.04191206618834218,stable
00-0022999,2016,0.06747638094140956,13,0.041321120293094406,9,0.026155260648315158,stable
00-0022999,2017,0.05,1,0.06747638094140956,13,0.01747638094140956,stable
00-0023500,2015,0.790174495373022,16,0.7217305780399141,16,0.06844391733310784,stable
00-0023500,2016,0.803387641233036,16,0.790174495373022,16,0.013213145860013986,stable
00-0023500,2017,0.6684228453819057,16,0.803387641233036,16,0.1349647958511303,stable
00-0023500,2018,0.5531634245127217,14,0.6684228453819057,16,0.11525942086918395,stable
00-0023500,2019,0.5423666605943125,15,0.5531634245127217,14,0.010796763918409225,stable
00-0023500,2020,0.5672713411465165,15,0.5423666605943125,15,0.02490468055220396,stable
00-0023564,2015,0.20655600748146538,16,0.1409581004482266,15,0.06559790703323878,stable
00-0023564,2016,0.2863812758889497,15,0.20655600748146538,16,0.0798252684074843,stable
00-0023564,2017,0.32004662004662005,3,0.2863812758889497,15,0.03366534415767036,stable
00-0023564,2018,0.19988105763967834,6,0.32004662004662005,3,0.1201655624069417,stable
00-0023564,2019,0.11147443556045707,6,0.19988105763967834,6,0.08840662207922127,stable
00-0024204,2015,0.0670115168450633,15,0.43312239666704794,14,0.36611087982198465,role_change
00-0024217,2015,0.09638888888888889,5,0.3186459531857787,11,0.22225706429688982,role_change
00-0024217,2016,0.056850983758878496,10,0.09638888888888889,5,0.03953790513001039,stable
00-0024242,2015,0.6085453807028884,16,0.44053030303030305,6,0.1680150776725854,stable
00-0024242,2016,0.5172631993879458,8,0.6085453807028884,16,0.09128218131494259,stable
00-0024813,2015,0.1351321092700403,4,0.19289994227298302,11,0.05776783300294272,stable
00-0025394,2015,0.7925718994141562,16,0.7777777777777778,1,0.014794121636378388,stable
00-0025394,2016,0.666031746031746,3,0.7925718994141562,16,0.1265401533824102,stable
00-0025394,2017,0.6829481096555794,10,0.666031746031746,3,0.01691636362383342,stable
00-0025394,2018,0.7328291518157704,16,0.6829481096555794,10,0.04988104216019096,stable
00-0025394,2019,0.6969660033949754,15,0.7328291518157704,16,0.035863148420794966,stable
00-0025394,2020,0.47236466019360757,16,0.6969660033949754,15,0.22460134320136782,role_change
00-0025394,2021,0.4130023056653491,4,0.47236466019360757,16,0.05936235452825844,stable
