window,cell,n,weeks,brier_ctrl,brier_ctx,improve,ci_lo,ci_hi,verdict
2023-2025 (graded),top-12 start,648,54,0.24725504783950616,0.24614322067901234,0.0011118271604938224,-0.0012813717496141964,0.0036169829185956647,FAIL
2023-2025 (graded),top-12 boom,648,54,0.21338194622268855,0.214424448946596,-0.0010425027239074625,-0.0034481730037297957,0.0015315359020174391,FAIL
2023-2025 (graded),pooled start,4424,54,0.1727186503164557,0.17284950237341773,-1.3085205696203306e-4,-7.772859737729621e-4,4.8197357703682806e-4,guard ok
2023-2025 (graded),pooled boom,4424,54,0.10356641926771357,0.10401339256887814,-4.469733011645688e-4,-8.842017620605925e-4,3.9650693628125546e-5,guard ok
2016-2025 (reported),top-12 start,2100,175,0.25076033380952384,0.25088233,-1.2199619047614796e-4,-0.0014407761488095382,0.0011459538630952584,(reported)
2016-2025 (reported),top-12 boom,2100,175,0.21472300625091584,0.21423074645018753,4.922598007283119e-4,-0.001023398189537498,0.001996688407583652,(reported)
2016-2025 (reported),pooled start,14736,175,0.17674221472923454,0.176816911169924,-7.469644068947012e-5,-3.843143445608557e-4,2.72840586859123e-4,(reported)
2016-2025 (reported),pooled boom,14736,175,0.10599818193451226,0.10586648613139586,1.3169580311639395e-4,-1.6284314252041702e-4,4.3799021303645206e-4,(reported)
