axis,position,bucket,n,mean_tot_resid,se,mean_vol_resid
own_sack,QB,lo,2008,0.3311706956723609,0.23369587281770987,-0.17907819791083102
own_sack,QB,mid,2017,-0.3361019323813804,0.2339846792876462,-0.4185279534176244
own_sack,QB,hi,2040,-0.9585925361870717,0.23053083558953794,-1.1450868683131712
own_sack,RB,lo,3792,0.4583981404082264,0.06442594688820422,-0.13977023413856624
own_sack,RB,mid,3731,0.20880762497211344,0.06295430759218237,-0.24100962251198482
own_sack,RB,hi,3766,0.22496951993294675,0.06206015063187802,-0.4419278703585733
own_sack,TE,lo,2140,0.15353773563892487,0.07808175770451449,-0.0560506891468321
own_sack,TE,mid,2181,0.05454973674586362,0.075330829231319,-0.01074688961848265
own_sack,TE,hi,2082,-0.016245220389377302,0.07927404322536517,-0.0949649032161524
own_sack,WR,lo,5685,0.2569730427763156,0.0577284659281934,-0.006230021870144305
own_sack,WR,mid,5547,0.2072735400425382,0.05796060041858961,-0.021756836134422985
own_sack,WR,hi,5513,0.042823867138265324,0.05739807332074218,-0.21178163480748602
own_stuff,QB,lo,2021,-0.03292150380234469,0.23010097704253887,-1.1749903721202246
own_stuff,QB,mid,1988,-0.11033565528092192,0.23319344158784872,-0.11345991571582102
own_stuff,QB,hi,2056,-0.8183725547868472,0.23520689666545203,-0.45696656629822024
own_stuff,RB,lo,3779,0.41816468667610995,0.06404011827051748,-0.0014340496300063754
own_stuff,RB,mid,3725,0.22920704404813613,0.06302971216160366,-0.31704379829510293
own_stuff,RB,hi,3785,0.24583926532050304,0.06243811866115917,-0.5038595949841468
own_stuff,TE,lo,2087,0.05341582862704293,0.07994408743255711,-0.10718673756888278
own_stuff,TE,mid,2172,0.07082844238440945,0.07494616434272397,-0.004177756465121933
own_stuff,TE,hi,2144,0.069217803197653,0.07783796977694478,-0.05052778040096006
own_stuff,WR,lo,5497,0.20724666483293194,0.05674757711488212,-0.20993901501020892
own_stuff,WR,mid,5525,0.22307341013258875,0.058129789491430044,-0.021097356108225898
own_stuff,WR,hi,5723,0.08300027027142991,0.058168787366095216,-0.009270896217721087
cont,QB,intact,3052,0.21974036792517943,0.18777183781850526,-0.8257930176504746
cont,QB,minor,2035,-0.7721550931404877,0.23115480600865054,-0.13065525363288785
cont,QB,broken,592,-1.369703434636497,0.4462030860192937,-0.8901477249432154
cont,RB,intact,5648,0.4095091711869086,0.05242780035817262,-0.2598520537251683
cont,RB,minor,3816,0.23667363076868725,0.061547590799630986,-0.4073937970906531
cont,RB,broken,1101,0.15012234943127617,0.11446098754330551,-0.1558506935533945
cont,TE,intact,3252,0.14622247353593512,0.06306729257153128,-0.06590757445565684
cont,TE,minor,2155,-0.04385933832338843,0.07592761537005605,0.02371529078282222
cont,TE,broken,599,-0.09228670593206195,0.15391279653724807,-0.046965345343428944
cont,WR,intact,8343,0.22046247860607399,0.04721823620983406,-0.11289510306161318
cont,WR,minor,5693,0.14970744536523659,0.05729922148295748,-0.061638480083451415
cont,WR,broken,1622,-0.051036336402590865,0.1058994167501075,-0.016479009874518856
opp_sack,QB,lo,1961,0.23582202076835368,0.2398669088971445,-0.8892610962290651
opp_sack,QB,mid,1975,-0.45793900078888966,0.2343032466636891,-0.393985043421565
opp_sack,QB,hi,1981,-0.8373945844804511,0.23415510268460335,-0.46515292869151487
opp_sack,RB,lo,3646,0.4984716244789713,0.06499994845378886,-0.275783986012708
