player_id,season,week,opportunities,epa_per_opp_obs,total_epa,pred_eff,med_eff,lo_50_eff,hi_50_eff,lo_80_eff,hi_80_eff,lo_90_eff,hi_90_eff,pred_vol,med_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,fold,alpha_fold,pred_tot,med_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,it_c,p_start_sim,p_boom_sim,p_start_norm,p_boom_norm,position,fantasy_points_ppr,hit_start,hit_boom
00-0021547,2014,6,8,-0.1177885743784276,-0.9423085950274208,0.2715981902058789,0.27584548283018917,-0.2727656276449508,0.7837418763077981,-0.4646490073423586,1.234459240071647,-0.6058875094823779,1.4114534873782212,6.658959915972227,5.5875545997426785,4.625342450613109,7.235106061944251,4.1013594987346025,9.328153447546068,3.2841479151470407,10.708330885146587,1,0.9,1.808561461831548,1.3968708223102992,-2.3992363749994725,4.139347901891616,-3.483217506533965,7.630285694274035,-4.531154113122337,8.272402728834026,0,0.418,0.177,0.49108621824529375,0.19005177744197804,TE,11.7,FALSE,FALSE
00-0022127,2014,6,5,0.42202070479979736,2.110103523998987,0.31106317141125883,0.3370670070746353,-0.21154410340050467,0.8449634005522443,-0.4034274830979124,1.295680764316093,-0.5446659852379317,1.4726750116226677,6.260883658876411,5.189478342646862,4.227266193517293,6.837029804848434,3.703283241638786,8.930077190450252,2.8860716580512245,10.310254628050773,1,0.9,1.9475303267670223,1.5580573746317758,-2.0331855024892675,4.152531335929248,-3.0586674805313083,7.455073869567553,-4.050050146635137,8.062537807434186,-3,0.3535,0.1485,0.4589449147462645,0.16277285379474546,TE,10.4,FALSE,FALSE
00-0023465,2014,6,4,-0.7592885042540729,-3.0371540170162916,0.33438335780212664,0.33965432720239513,-0.2089567832727449,0.8475507206800041,-0.4008401629701526,1.298268084443853,-0.5420786651101719,1.4752623317504272,6.054258198722653,4.982852882493105,4.0206407333635354,6.630404344694677,3.4966577814850286,8.723451730296496,2.679446197897467,10.103629167897012,1,0.9,2.0244431854899356,1.6465578167982853,-1.837838548192156,4.163841094239663,-2.8328104280994766,7.368126516633772,-3.7946975174115583,7.957517212108565,0,0.36,0.1325,0.4419618671515231,0.14935979964079696,TE,3.9000000000000004,FALSE,FALSE
00-0024221,2014,6,6,-0.1163011739263311,-0.6978070435579866,0.362384972448509,0.3513943934776331,-0.19721671699750687,0.8592907869552421,-0.38910009669491463,1.3100081507190908,-0.530338598834934,1.4870023980256653,6.5123652695507435,5.440959953321195,4.4787478041916255,7.088511415522767,3.9547648523131183,9.181558801124584,3.137553268725557,10.561736238725103,1,0.9,2.359983308780773,1.956458622534104,-1.7643521482293236,4.644538206669543,-2.8268323311852157,8.06623265912514,-3.853982938426909,8.695613193999039,0.75,0.403,0.202,0.513176896937856,0.20290007484235129,TE,6,FALSE,FALSE
00-0024313,2014,6,3,0.7298979141827052,2.1896937425481156,0.32291999124312903,0.29017286923318686,-0.25843824124195314,0.7980692627107958,-0.4503216209393609,1.2487866264746446,-0.5915601230793802,1.425780873781219,6.1087199379010935,5.037314621671545,4.075102472541976,6.684866083873118,3.5511195206634687,8.777913469474935,2.733907937075907,10.158090907075454,1,0.9,1.972627788853749,1.591684413592259,-1.9209091452005165,4.129338600940031,-2.923932754012017,7.359554442146721,-3.89360383625493,7.953714733822618,-0.25,0.3565,0.145,0.4443075590983347,0.15156284888065005,TE,5.4,FALSE,FALSE
00-0024389,2014,6,8,-0.08508088463494107,-0.6806470770795285,0.32291999124312903,0.3059348179262372,-0.24267629254890277,0.8138312114038462,-0.43455967224631054,1.264548575167695,-0.5757981743863299,1.4415428224742692,6.787796441378252,5.716391125148704,4.754178976019134,7.363942587350277,4.230196024140628,9.456989972952094,3.412984440553066,10.837167410552611,1,0.9,2.1919151674100075,1.77306262014592,-2.089082924697508,4.563248746145323,-3.1919213537116207,8.1149160572608,-4.258088215195895,8.768203574023087,1.75,0.4195,0.2085,0.5294345595869919,0.21954885092099613,TE,8.7,FALSE,FALSE
00-0025418,2014,6,11,0.11858818335741132,1.3044700169315244,0.3085020143062697,0.33304512465682296,-0.21556598581831704,0.840941518134432,-0.4074493655157248,1.2916588818982808,-0.5486878676557441,1.468653129204855,6.175617968713213,5.104212652483664,4.142000503354095,6.751764114685237,3.618017551475588,8.844811500287054,2.800805967888026,10.224988937887574,1,0.9,1.90519058293402,1.5204946347884103,-2.026700558256734,4.083146585350147,-3.039604688534122,7.345182432265683,-4.018827745285693,7.9451956405274995,-4,0.3345,0.1345,0.4469078728870903,0.15412279525172465,TE,18.2,TRUE,TRUE
00-0025516,2014,6,9,0.8175875434179842,7.358287890761858,0.28842582938915196,0.29419475165099923,-0.25441635882414076,0.8020911451286081,-0.4462997385215486,1.252808508892457,-0.5875382406615679,1.4298027561990312,5.807685795462252,4.736280479232703,3.774068330103134,6.383831941434275,3.250085378224627,8.476879327036094,2.4328737946370653,9.857056764636612,1,0.9,1.675086592387797,1.3110810190593356,-2.045332860984007,3.735904043585827,-3.003759250566957,6.822495504707854,-3.930316059671658,7.390237777354102,-2,0.3185,0.1215,0.39076744063307367,0.1177124646437786,TE,16.5,TRUE,FALSE
00-0025549,2014,6,5,0.2634972085244954,1.3174860426224768,0.2594796227823085,0.23614751106798892,-0.31246359940715107,0.7440439045455979,-0.5043469791045588,1.1947612683094468,-0.6455854812445782,1.3717555156160208,4.772499852637708,3.701094536408159,2.73888238727859,5.348645998609731,2.214899435400083,7.44169338421155,1.3976878518125213,8.821870821812068,1,0.9,1.2383664614910554,0.9333125743067444,-1.879521008828233,2.9654289581357167,-2.682727654948681,5.552138592154268,-3.459226085260987,6.0279334697049824,3.75,0.186,0.051,0.24713216163358379,0.04815303720937502,TE,8.5,FALSE,FALSE
00-0026178,2014,6,6,-0.5623951533149617,-3.3743709198897704,0.3429961761602468,0.32130505838158496,-0.22730605209355503,0.8292014518591939,-0.4191894317909628,1.2799188156230428,-0.5604279339309821,1.456913062929617,4.92504474199694,3.8536394257673914,2.891427276637822,5.5011908879689635,2.3674443247593153,7.594238273570782,1.5502327411717536,8.9744157111713,1,0.9,1.6892715139230796,1.3754560111435945,-1.51816646740951,3.4659378947998416,-2.344442440532319,6.126941797541846,-3.143243096918349,6.61640223384918,1.5,0.2505,0.077,0.29226960618652265,0.0648082209315209,TE,5.4,FALSE,FALSE
