position,tier,resid
TE,low,-0.21533629854015993
TE,low,-0.6823573116427923
TE,low,-0.21243478907837207
TE,low,1.9563018265717176
TE,low,0.7788237578782298
TE,low,-0.08610705106459451
TE,low,-1.5282751189624086
TE,low,-0.3102510731482629
TE,low,0.6168728128364988
TE,low,0.02901949738666154
TE,low,-0.6903450609864935
TE,low,-0.8901640285743175
TE,low,1.375253604463241
TE,low,-3.2894375238399673
TE,low,-0.43275759718188095
TE,low,-0.43371346590288085
TE,low,4.2156611975902605
TE,low,0.05921209260732256
TE,low,-1.9993931507306963
TE,low,-2.1955227406966045
TE,low,-0.2226436526712592
TE,low,-0.17104912482958823
TE,low,-0.6608998566395371
TE,low,-1.6076874643269976
TE,low,-1.5050202632399807
TE,low,-0.010153819712602116
TE,low,-0.5087784861449338
TE,low,0.6001222316814787
TE,low,-1.6799914761925505
TE,low,-1.769459075104048
TE,low,-1.8439804352473719
TE,low,0.3674800842579491
TE,low,-1.0250179792765621
TE,low,1.8487112663681133
TE,low,-0.4132592964188539
TE,low,-1.2424515895321133
TE,low,-0.3388641123442292
TE,low,0.2358984747715873
TE,low,3.7474339482653045
TE,low,0.2202458081585611
TE,low,1.5576910824586858
TE,low,-0.47973095735534965
TE,low,4.831863151225783
TE,low,1.3380699813279924
TE,low,-1.222796092237375
TE,low,-0.23372512950475186
TE,low,-2.2617747548203067
TE,low,1.7661693203350943
TE,low,-1.1954015152938877
TE,low,-0.2979179926197451
TE,low,-0.9567610177501623
TE,low,-0.8137969218650529
TE,low,-0.9196387244454367
TE,low,0.34343316928763284
TE,low,-1.8947135252166503
TE,low,1.7037370234023779
TE,low,-0.7182416634352088
TE,low,4.505969469861341
TE,low,-2.393760504595427
TE,low,-0.44287699229935634
TE,low,-0.14125132136988908
TE,low,-0.5882748585022926
TE,low,-1.8065761193595664
TE,low,0.5316202668420527
TE,low,0.17688781739108186
TE,low,0.3940764267085462
TE,low,-3.71365692355896
TE,low,-0.12235350495827796
TE,low,-0.5817249784910111
TE,low,-0.45401996202314776
TE,low,-0.9189374023693527
TE,low,-1.1653884356982667
TE,low,-0.4614607487813707
TE,low,0.8393511095797889
TE,low,-0.320949104563887
TE,low,-1.0393720476671948
TE,low,-0.08654022223799414
TE,low,3.506996934029199
TE,low,-1.2349893454339727
TE,low,-1.8635552326703984
TE,low,-1.1913411173094723
TE,low,-0.22718718554703127
TE,low,-1.1268115041189894
TE,low,-1.9574607478426622
TE,low,0.0785585275008508
TE,low,-1.4068122493939024
TE,low,0.08706481825208312
TE,low,-1.11736253049422
TE,low,-1.3138227828692024
TE,low,-0.0713327812064223
TE,low,-1.0132385512353312
TE,low,-3.503137061755196
TE,low,-0.9903563781757277
TE,low,5.59932732862768
TE,low,4.169203157833567
TE,low,-0.13110125024646677
TE,low,0.8239675370009539
TE,low,-1.1674482455148472
TE,low,-0.7923738593678988
TE,low,-0.467845154749053
TE,low,2.610063594077967
TE,low,0.46516002178265553
TE,low,-0.35078792744699966
TE,low,0.9216163089531216
TE,low,-3.7510347844731275
TE,low,1.204992422124915
TE,low,-0.536755857888451
TE,low,-0.3935799836213761
TE,low,-1.827822747232779
TE,low,-0.382268570433921
TE,low,4.359667729385057
TE,low,-0.07763597823439408
TE,low,-1.1643330653404835
TE,low,-0.0674209536854651
TE,low,-0.3837805248998896
TE,low,-2.075634537155093
TE,low,-0.9325058794057408
TE,low,-0.7410410823455039
TE,low,-2.3177402047578757
TE,low,0.0030751768403517216
TE,low,0.3309026175862714
TE,low,0.024461674862135335
TE,low,-0.05715003883559428
TE,low,-0.9369661815328149
TE,low,-0.07388280884069552
TE,low,-3.3628465078344654
TE,low,-0.26751671378210606
TE,low,-1.0256242687864425
TE,low,0.21895818335103232
TE,low,-1.8163451964014483
TE,low,-0.7538698008602341
TE,low,-0.6020802480600271
TE,low,-1.0174354775145804
TE,low,0.7431107940549008
TE,low,2.3252141298405373
TE,low,-0.8626533556586703
TE,low,-0.4508779327846232
TE,low,-0.9610340446699122
TE,low,-0.4839440120968676
TE,low,5.131971913749907
TE,low,0.7056718153186944
TE,low,4.346067774955365
TE,low,-1.6751964550926453
TE,low,-0.17701235407515556
TE,low,7.6456754629571355
TE,low,-0.7014107600429071
TE,low,3.811266451734191
TE,low,-0.9383918955636011
TE,low,0.20510872202312505
TE,low,0.5852710361728395
