player_id,season,week,opportunities,epa_per_opp_obs,total_epa,pred_eff,lo_50_eff,hi_50_eff,lo_80_eff,hi_80_eff,lo_90_eff,hi_90_eff,pred_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,pred_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,fold,p_start_sim,p_boom_sim,position,fantasy_points_ppr,hit_start,hit_boom,stratum
00-0022736,2014,6,8,-0.31774909287923947,-2.541992743033916,-0.08340457210508963,-0.32999705965600157,0.16810961200116747,-0.5612061055503922,0.3811811291176005,-0.7269558324226696,0.5859886505671746,16.24440560556167,12.403097342531522,20.213575329106124,8.853704459501339,23.740060080816704,6.917150904648295,25.924516780952228,-1.4884491312306254,-4.976730670760798,2.266622460154153,-9.630404430308998,6.164839741723297,-12.86677968744296,9.039874943263344,1,0.3315,0.1625,RB,2.5,FALSE,FALSE,exante_high
00-0023500,2014,6,17,-0.46760532388340353,-7.94929050601786,-0.14772517671460322,-0.3149444362610212,0.01442849257551098,-0.4735750700654431,0.17447114216448198,-0.55926620798556,0.2876249305901689,17.40175353208362,13.297631794241637,21.470317447496495,9.395436806807922,25.2146857233845,7.354462101198473,27.495322014374253,-2.5743487240413465,-5.3013632428184865,0.1702364354162287,-8.572930040023785,2.8704713366487624,-11.105475287716963,5.244925607545776,1,0.3225,0.131,RB,3.8,FALSE,FALSE,exante_high
00-0023564,2014,6,11,-0.77346984009292,-8.508168241022119,-0.06954412167877076,-0.2861840957252169,0.1398650548026354,-0.467627812541852,0.3442393408289477,-0.608166027677755,0.4636199945219832,10.813764373482298,6.361856893542679,14.829566306830706,2.935952041106816,18.525576752618065,1,20.72258422938125,-0.6611441650182459,-2.441387737226403,1.1398359065412396,-5.388159305339092,3.5551674224945184,-7.381018545492324,5.6075980048823535,1,0.1475,0.04,RB,9.9,FALSE,FALSE,exante_mid
00-0024204,2014,6,16,-0.03437960513110738,-0.5500736820977181,-0.05637110305093489,-0.2236135324045942,0.11460649146880944,-0.40408854471593497,0.2844544956870212,-0.5112233729467919,0.3894841858185013,14.431311045014134,10.556091682934865,18.46431295348988,6.988177310197838,21.767416133345073,4.428590597927738,23.74154123157225,-0.8033719954650974,-2.9098051731154277,1.3954178012972165,-6.039616699295696,3.957226156992565,-8.12764553501107,5.991643217810661,1,0.2555,0.0965,RB,14.3,FALSE,FALSE,exante_high
00-0024275,2014,6,5,0.33658829393098133,1.6829414696549063,-0.1949272737991773,-0.5245072445003752,0.12345660621761008,-0.8360429568946587,0.4314298811088654,-1.0218674020498593,0.6490565968700903,14.723973531671254,10.39039613643844,18.951500342015063,6.388418482080744,22.89712600399398,4.6750820165965035,24.88234399510009,-2.782532917478374,-7.084286544120199,1.474119487323941,-12.926170971771295,6.7481749855586965,-17.323568866711657,9.876186418871145,1,0.2935,0.156,RB,5,FALSE,FALSE,exante_high
00-0025399,2014,6,12,0.04394478801017006,0.5273374561220407,-0.11918205281156943,-0.31581324409819744,0.08320935759125753,-0.5082036947145838,0.26263412641834644,-0.6364707661624125,0.3761022758433491,20.427380066896134,16.43370817059613,24.5386321074527,12.63603563862009,28.105690234639702,10.769296470568133,30.04385062364909,-2.434459881303962,-6.191367811808531,1.636692736079639,-10.760123387651934,5.382949754598901,-14.093380860817591,8.154582093261697,1,0.468,0.2455,RB,7.2,FALSE,FALSE,exante_high
00-0025637,2014,6,17,-0.10728776665842708,-1.8238920331932604,-0.0858919810015413,-0.24846624141417636,0.07913351155414791,-0.4277057304921405,0.24723410831166487,-0.5225044626430875,0.370385738053247,14.188560680188374,10.110754434369904,18.33386301299709,6.456219766876331,21.617973469105536,4.216702614390086,23.971326791847385,-1.1987303230348274,-3.3422314305224305,0.920965725031609,-6.1297904367437335,3.5237934376769857,-8.008424213040431,5.279424831816151,1,0.258,0.087,RB,14.9,FALSE,FALSE,exante_high
00-0026144,2014,6,18,0.03510523738481828,0.6318942729267292,-0.18786408456239417,-0.3507107785931136,-0.02313156696430976,-0.5094548713761912,0.11870367284208024,-0.5979416023155518,0.22259818675224555,16.957049654597682,12.726263186395208,21.27577528538783,9.119587289913596,24.613258906375172,7.085179196530647,26.67600824167132,-3.123776059899797,-5.597214874347424,-0.336423478436112,-8.709437669477406,1.9524337303521624,-11.329255351939524,3.356042975081199,1,0.2755,0.0835,RB,10.6,FALSE,FALSE,exante_high
00-0026164,2014,6,5,-0.3658188286121003,-1.8290941430605017,-0.10920576911845012,-0.4256855898804484,0.2171121672693039,-0.7498331743665964,0.5197259539029304,-0.9578350905942756,0.7016493720337126,14.164501840916651,10.004100959673902,18.273167968803932,6.330087285229853,21.780942635259677,4.492025536250716,23.54112731645002,-1.502734887378032,-5.520081724409247,2.4986399058784934,-10.438973845818364,7.375191013854632,-14.412629710164165,10.81189108467546,1,0.3065,0.1635,RB,2.1,FALSE,FALSE,exante_high
00-0026184,2014,6,30,0.18812113784073495,5.643634135222049,-0.04661974786579458,-0.16928485329404674,0.07757125516174994,-0.28685826738011333,0.1901466645551689,-0.3622838900837237,0.2615565652980072,23.130356402232092,18.90804417094687,27.277229872819444,15.47377388034371,31.08323126509345,13.033282745028936,33.70662341617013,-1.0868303516840918,-3.9113647351648697,1.6906272986052784,-6.555725279318381,4.231824311780351,-8.725158559044843,6.267517476102345,1,0.6435,0.369,RB,37.7,TRUE,TRUE,exante_high
