position,arm,outcome,n,weeks,brier_ecr,brier_model,brier_blend,blend_gain_vs_ecr,ci_lo,ci_hi,model_gain_vs_ecr,verdict
RB,base,start,1105,88,0.2116229650089769,0.21231892537870867,0.2127165376950683,-0.001093572686091393,-0.005250605262086152,0.0028802243661995657,-6.959603697317684e-4,NEUTRAL
RB,base,boom,1105,88,0.12221797192026797,0.12431078195180349,0.122192991491292,2.4980428975973634e-5,-0.0010925232589989928,0.001149028071992201,-0.0020928100315355247,NEUTRAL
RB,floorfree,start,1142,90,0.2073583611455078,0.20612529301698312,0.20595309760039773,0.0014052635451100581,-0.0027357968989086775,0.005602708425232695,0.001233068128524667,NEUTRAL
RB,floorfree,boom,1142,90,0.11880001704661128,0.1203038076203298,0.11838446355265013,4.155534939611488e-4,-6.218253827651e-4,0.0014601410568462591,-0.001503790573718522,NEUTRAL
WR,base,start,973,85,0.22728846791149626,0.2270406241561587,0.22620937082403025,0.0010790970874660077,-0.0031934604881579945,0.005358636071619295,2.4784375533756786e-4,NEUTRAL
WR,base,boom,973,85,0.13680233848002732,0.13820296851732353,0.13962654130615781,-0.0028242028261304952,-0.006199430012107519,7.644008243364843e-4,-0.0014006300372962077,NEUTRAL
WR,floorfree,start,1032,85,0.21941991993259335,0.22259657341673247,0.21966412505108301,-2.4420511848965987e-4,-0.0033281656793706783,0.0030394050687892,-0.003176653484139119,NEUTRAL
WR,floorfree,boom,1032,85,0.13012665551086625,0.13154796913960812,0.13267260178461432,-0.002545946273748073,-0.005368022552485052,4.409162012868007e-4,-0.0014213136287418715,NEUTRAL
