player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,wt_tgt_per_snap,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0030506,KC,HOU,2025_14_HOU_KC,0.6330257849229959,0.1800320716638705,0.20221035726266623,8.774105329005764,0.1539309766848712,0.1539309766848712,FALSE,r2_3,Travis Kelce,0.47909480823812467,74.25554239181909,0.8715493755276964,0.12686171740623525,12,FALSE,0.43943398454640364,0.6151258637460401,2025,14,NA,NA,NA,NA
00-0031610,MIA,NYJ,2025_14_MIA_NYJ,1.2265510832456807,0.11763431815681452,0.2001626677523944,11.545100615855333,NA,0.1954090143933528,TRUE,udfa,Darren Waller,1.0311420688523278,59.32123037306554,0.4549398784254973,0.10493854679399042,11,FALSE,-0.10044647244078242,0.6454630493627994,2025,14,NA,NA,NA,Full Participation in Practice
00-0034351,PHI,LAC,2025_14_PHI_LAC,0.29999273788826136,0.13167300332140316,0.11012068422006681,7.358684667467725,0.3724276393520261,0.3724276393520261,FALSE,r2_3,Dallas Goedert,-0.07243490146376474,64.96153398912334,0.8572600571976521,0.07517100640028171,12,FALSE,0.3238820716501819,0.71564176633761,2025,14,NA,NA,NA,NA
00-0034383,HOU,KC,2025_14_HOU_KC,0.06911291374549497,0.19058906779708665,0.17043731152094627,8.020732840257523,0.03912830963026654,0.03912830963026654,FALSE,r4_5,Dalton Schultz,0.02998460411522843,71.98446697821467,0.7529155635249528,0.1456681554995431,12,FALSE,0.0994267143359891,-0.0419800947641206,2025,14,NA,NA,NA,NA
00-0034753,BAL,PIT,2025_14_PIT_BAL,0.03135608425275466,0.15094205104648156,0.1544144655786697,7.687373991864698,0.7260719536317718,0.7260719536317718,FALSE,r2_3,Mark Andrews,-0.6947158693790172,61.963450127321224,0.6304554746444527,0.11605550084108937,12,FALSE,-0.1985480523444792,0.5501924330097755,2025,14,NA,NA,NA,NA
00-0034829,CIN,BUF,2025_14_CIN_BUF,-0.39641877470553644,0.10093677771148382,0.10706841686120852,7.341521439569743,0.40683825850946204,0.40683825850946204,FALSE,r2_3,Mike Gesicki,-0.8032570332149984,72.00321547201546,0.341517102839491,0.12792910721193204,12,FALSE,-0.32084207920198443,0.025060700248206426,2025,14,NA,NA,NA,NA
00-0035229,MIN,WAS,2025_14_WAS_MIN,0.09903195823153114,0.14391331104413077,0.11908252685501326,4.924961084587024,0.1525449808235952,0.1525449808235952,FALSE,r1,T.J. Hockenson,-0.053513022592064044,55.778395331161605,0.7837928245090423,0.11099531970342541,12,FALSE,0.3445749504629286,0.7461749872816054,2025,14,NA,NA,NA,NA
00-0035689,BUF,CIN,2025_14_CIN_BUF,0.3442151315238092,0.10748292654901678,0.2004367467505646,9.126280304447452,0.3062422348302789,0.3062422348302789,FALSE,r2_3,Dawson Knox,0.03797289669353032,68.03319452426013,0.7214233013864616,0.06882395409086697,12,FALSE,0.4795889697063681,0.1753170359930936,2025,14,NA,NA,NA,NA
00-0036040,NO,TB,2025_14_NO_TB,0.5661390530167172,0.1600829819826572,0.16835123781977043,7.840215077156856,0.2480966281385524,0.2480966281385524,FALSE,udfa,Juwan Johnson,0.3180424248781648,69.39017932828992,0.6948664685926917,0.13877889406834742,12,FALSE,-0.20083805471644056,-0.13226074293639914,2025,14,NA,NA,NA,NA
00-0036244,LA,ARI,2025_14_LA_ARI,0.41371494070145676,0.11497890733491468,0.017370215160582576,0.9196258390477619,0.06527827795782085,0.06527827795782085,FALSE,r4_5,Colby Parkinson,0.34843666274363594,59.255112651062305,0.6303942323734666,0.10333191428036054,12,FALSE,0.1335234694510404,0.42943235435062127,2025,14,NA,NA,NA,NA
00-0036290,CHI,GB,2025_14_CHI_GB,0.3754010521120275,0.07254073793066358,0.05595628220395378,6.31243697837758,0.4427449502783759,0.4427449502783759,FALSE,r2_3,Cole Kmet,-0.06734389816634839,76.4447513486276,0.624844846734223,0.05681179119769728,12,FALSE,-0.33151796138619627,-0.03307624738510879,2025,14,NA,NA,NA,NA
