player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,wt_tgt_per_snap,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,baseline_target_share,baseline_air_yards_share,baseline_snap_share,baseline_tgt_per_snap,baseline_team_total_plays
00-0030061,WAS,DEN,2025_13_DEN_WAS,-0.13191856734270202,0.2038132033376616,0.3021623967863222,11.251886906998882,0.33314560726357323,0.33314560726357323,FALSE,r2_3,Zach Ertz,-0.4650641746062753,63.69808099686374,0.7075863062686536,0.14019694654200818,11,FALSE,-0.11513145667357688,0.7351411479503279,2025,13,NA,NA,NA,Did Not Participate In Practice,0.16062176165803108,0.1718436873747495,0.6688235294117647,0.12062256809338522,68.88235294117646
00-0030506,KC,DAL,2025_13_KC_DAL,0.6124615745791975,0.17209007882420255,0.1775130051236861,8.341038353919622,0.1539309766848712,0.1539309766848712,FALSE,r2_3,Travis Kelce,0.45853059789432626,77.36573971866305,0.8239451886730447,0.12597184357640526,11,FALSE,0.14082954600315203,-0.13008291613431386,2025,13,NA,NA,NA,NA,0.21578099838969403,0.23955507325013564,0.845625,0.1425531914893617,67.23529411764706
00-0031610,MIA,NO,2025_13_NO_MIA,1.4834671234709365,0.12061754895574137,0.2148241755447833,10.879737609329446,NA,0.1954090143933528,TRUE,udfa,Darren Waller,1.2880581090775838,60.57538579765782,0.4493798297571882,0.10412473710732056,11,FALSE,0.1823884263261799,-0.48913060892952726,2025,13,NA,NA,Questionable,Limited Participation in Practice,0.06053811659192825,0.04607508532423208,0.16875,0.03792235801581596,68.29411764705883
00-0033090,NE,NYG,2025_13_NYG_NE,0.17923868577001917,0.17162217010762887,0.14699636842601838,7.357646548619971,0.24947066992792585,0.24947066992792585,FALSE,r2_3,Hunter Henry,-0.07023198415790666,66.0452677116389,0.8291181551145048,0.10686980355390448,12,FALSE,0.17528668183470078,0.615687607246602,2025,13,NA,NA,NA,Full Participation in Practice,0.17509025270758122,0.19178852643419572,0.80625,0.11616766467065869,65.88235294117646
00-0033288,SF,CLE,2025_13_SF_CLE,0.8073747366965657,0.222793368254716,0.21582928870190152,6.212839829908796,0.7228183802573963,0.7228183802573963,FALSE,r4_5,George Kittle,0.08455635643916937,61.30534850290117,0.889196822951864,0.1295286070189054,11,FALSE,-0.27106238645237096,0.01871659718990912,2025,13,NA,NA,NA,NA,0.18467583497053044,0.19767729182110205,0.866,0.11633663366336634,64.29411764705883
00-0033881,DEN,WAS,2025_13_DEN_WAS,-0.22691583947699911,0.13534158071647473,0.05277807020480198,3.9481571845632626,-0.01319049961995729,-0.01319049961995729,FALSE,r1,Evan Engram,-0.2137253398570418,65.73793566022505,0.4580860526373443,0.17032422551321874,11,FALSE,0.21388444389609337,0.5446055778543479,2025,13,NA,NA,NA,NA,0.23508771929824562,0.15056461731493098,0.72,0.18457300275482094,65.52941176470588
00-0034073,DET,GB,2025_13_GB_DET,-0.3609331698971801,0.02857142857142857,0,0,NA,0.1954090143933528,TRUE,udfa,Ross Dwelley,-0.5563421842905328,66.64276409254761,0.0565115667673889,0.02122529827878621,11,FALSE,-0.2198407530838263,0.11318982928372644,2025,13,NA,NA,NA,NA,0.06053811659192825,0.04607508532423208,0.09882352941176471,0.009523809523809525,67.70588235294117
00-0034351,PHI,CHI,2025_13_CHI_PHI,0.484246685576182,0.1348960236349504,0.10085503746130273,6.332880560718998,0.3724276393520261,0.3724276393520261,FALSE,r2_3,Dallas Goedert,0.1118190462241559,66.15643406175796,0.8641503182609487,0.07061867825994626,11,FALSE,0.1584676274245508,0.6785090472602208,2025,13,NA,NA,NA,NA,0.16507936507936508,0.15576748410535876,0.65,0.11659192825112108,68.58823529411765
00-0034383,HOU,IND,2025_13_HOU_IND,0.10463868813961331,0.16646050445606358,0.18759885096878257,9.784268071824464,0.03912830963026654,0.03912830963026654,FALSE,r4_5,Dalton Schultz,0.06551037850934677,71.3808817606226,0.7432412059031213,0.13385009854526614,11,FALSE,-0.01108412458562834,0.6543960502773182,2025,13,NA,NA,NA,NA,0.1362179487179487,0.1470019342359768,0.7817647058823529,0.09826589595375723,66.47058823529412
00-0034753,BAL,CIN,2025_13_CIN_BAL,0.2804527280881382,0.14079175598306862,0.16404536503429268,8.037313294493757,0.7260719536317718,0.7260719536317718,FALSE,r2_3,Mark Andrews,-0.4456192255436336,62.696488428176835,0.6104519693080837,0.10152523178049778,11,FALSE,0.5229352471651212,0.28220970186182737,2025,13,NA,NA,NA,NA,0.13717693836978131,0.17563671311869294,0.6111764705882353,0.10117302052785923,66.05882352941177
