player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_carry_share,wt_target_share,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,games_played_so_far,def_used_fallback,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,report_status,practice_status
00-0032764,BAL,PIT,2025_14_PIT_BAL,0.11418067799090137,0.7627128608680768,0.4196903001612792,0.14295802373583305,0.14295802373583305,FALSE,r2_3,Derrick Henry,-0.02877734574493168,61.963450127321224,0.5424367143538469,12,FALSE,-0.18473785110382873,0.2613018429430858,0,2025,14,NA,NA
00-0033293,MIN,WAS,2025_14_WAS_MIN,-0.16802114165470586,0.5521940541848316,0.8395452339663563,-0.032014122133263,-0.032014122133263,FALSE,r4_5,Aaron Jones,-0.13600701952144287,55.778395331161605,0.5582508034466893,12,FALSE,-0.029004350627878706,0.6979900063393711,0,2025,14,NA,Limited Participation in Practice
00-0033526,CIN,BUF,2025_14_CIN_BUF,0.020063477519216583,0.3519937394978313,0.17900144351699085,0.25584101782139845,0.25584101782139845,FALSE,r4_5,Samaje Perine,-0.23577754030218187,72.00321547201546,0.31798770098806667,12,FALSE,-0.029837157805611185,-0.20516134137942998,0,2025,14,NA,NA
00-0033923,KC,HOU,2025_14_HOU_KC,0.09385951896349273,0.7744976064546829,0.5273076376448409,0.02226551939035413,0.02226551939035413,FALSE,r2_3,Kareem Hunt,0.07159399957313861,74.25554239181909,0.6653558506254835,12,FALSE,-0.26516959214212893,-0.10196780964771632,1.0995298490638865,2025,14,NA,NA
00-0034844,PHI,LAC,2025_14_PHI_LAC,-0.1359436109556535,0.8482542336582966,0.8663523098986992,0.12649916024394653,0.12649916024394653,FALSE,r1,Saquon Barkley,-0.2624427711996,64.96153398912334,0.7977596013353982,12,FALSE,-0.23351735355284214,0.07718390694970069,-0.21680142276846787,2025,14,NA,NA
00-0035261,TEN,CLE,2025_14_TEN_CLE,-0.3495563994987103,0.6892119260723918,0.37760292291124925,-0.1277225276941634,-0.1277225276941634,FALSE,r4_5,Tony Pollard,-0.22183387180454692,64.30204202696075,0.5037991779312112,12,FALSE,-0.18084362889815037,0.34154147449994315,0.2936466887369579,2025,14,NA,Full Participation in Practice
00-0035537,BUF,CIN,2025_14_CIN_BUF,1.0285278173240815,0.06818379574728164,0.46232567244530887,0.36469427882072125,0.36469427882072125,FALSE,r6_udfa,Ty Johnson,0.6638335385033602,68.03319452426013,0.3097507335084878,12,FALSE,0.0024130615462283245,0.4761254551124785,-0.17023048732457535,2025,14,NA,NA
00-0035685,DET,DAL,2025_14_DAL_DET,0.018475754188506943,0.3594893821130421,0.2709154211072877,0.03163606507982413,0.03163606507982413,FALSE,r2_3,David Montgomery,-0.013160310891317188,65.52850192372186,0.39927530541085743,12,FALSE,-0.08965406731959126,-0.14379207030253252,-0.16752820909057334,2025,14,NA,NA
00-0035700,GB,CHI,2025_14_CHI_GB,0.04560749721302759,0.6873189829394007,0.4855834348032446,-0.0489782974399718,-0.0489782974399718,FALSE,r1,Josh Jacobs,0.09458579465299939,63.071529085022945,0.5108369327632668,12,FALSE,0.026979375747476872,-0.2738042268852285,-0.21627131945004308,2025,14,NA,Full Participation in Practice
00-0036223,IND,JAX,2025_14_IND_JAX,0.1247937444406635,0.9478683224274167,0.7574638666668914,-0.10311247729562213,-0.10311247729562213,FALSE,r2_3,Jonathan Taylor,0.22790622173628564,62.90992296686277,0.8841910172385027,12,FALSE,0.051944939714620206,-0.16718649191496796,0,2025,14,NA,NA
