position,bucket,n,stated,emp,threshold,delta_pp,axis,delta_pp_before
QB,high_implied,964,0.2274263023202685,0.2759336099585063,boom,4.85073076382378,implied_total,8.334243161086766
QB,low_implied,1437,0.07361656938210072,0.05636743215031306,boom,-1.7249137231787657,implied_total,-3.8250787736737943
QB,mid_implied,2865,0.14319166311752324,0.13647469458987768,boom,-0.6716968527645556,implied_total,-0.9119418078758852
QB,high_implied,964,0.4581722855710637,0.4968879668049789,start,3.8715681233915165,implied_total,11.62017634854768
QB,low_implied,1437,0.18183612425661677,0.16492693110647189,start,-1.6909193150144886,implied_total,-6.98194154488517
QB,mid_implied,2865,0.30188149851660634,0.3015706806282724,start,-0.03108178883339252,implied_total,-1.4901221640488516
RB,high_implied,1856,0.1938287437237392,0.19935344827586235,boom,0.5524704552123144,implied_total,5.2362790946800155
RB,low_implied,2587,0.10970996370016882,0.09818322381136439,boom,-1.1526739888804427,implied_total,-4.34095174196893
RB,mid_implied,5282,0.14558195376860897,0.14521014767133647,boom,-0.03718060972724979,implied_total,-0.00421086037247775
RB,high_implied,1856,0.34370521009871885,0.341594827586207,start,-0.21103825125118325,implied_total,6.067149007729555
RB,low_implied,2587,0.22233521425978162,0.21762659451101654,start,-0.4708619748765075,implied_total,-5.19498165373484
RB,mid_implied,5282,0.27795760951152765,0.28474062854979215,start,0.6783019038264504,implied_total,0.7865061492649983
TE,high_implied,1031,0.1716368320112896,0.1920465567410281,boom,2.040972472973851,implied_total,6.018010975006948
TE,low_implied,1434,0.0818266608797325,0.08716875871687578,boom,0.5342097837143276,implied_total,-2.0104556410289116
TE,mid_implied,3070,0.11644989785920584,0.1058631921824105,boom,-1.0586705676795343,implied_total,-1.1097805313172615
TE,high_implied,1031,0.36137498102328935,0.3743937924345295,start,1.3018811411240172,implied_total,6.658849176040471
TE,low_implied,1434,0.2344213876820759,0.22105997210599726,start,-1.3361415576078643,implied_total,-5.40671755369459
TE,mid_implied,3070,0.2915940206820582,0.27915309446254083,start,-1.2440926219517368,implied_total,-0.966963294727352
WR,high_implied,2671,0.16254605761548888,0.18382628229127684,boom,2.1280224675787967,implied_total,3.959195479428359
WR,low_implied,3945,0.09731594615526376,0.08339670468948024,boom,-1.391924146578352,implied_total,-3.24951643492906
WR,mid_implied,7876,0.13457923309361494,0.13864906043677025,boom,0.4069827343155308,implied_total,0.4322508825669036
WR,high_implied,2671,0.3083416405464767,0.3384500187195808,start,3.010837817310408,implied_total,5.670611345112525
WR,low_implied,3945,0.21343506611644383,0.1898605830164764,start,-2.357448309996743,implied_total,-5.083212571874246
WR,mid_implied,7876,0.26964223364408396,0.2812341289994918,start,1.1591895355407833,implied_total,1.2654814062383837
QB,big_dog,885,0.07530973634831978,0.06666666666666667,boom,-0.8643069681653113,spread,-3.214116244528231
QB,big_fav,751,0.21216537132006222,0.2316910785619174,boom,1.952570724185518,spread,4.821843032216624
QB,close,950,0.13731941182666912,0.1410526315789473,boom,0.3733219752278166,spread,0.25198771488118554
QB,dog,1408,0.11406139343899294,0.11221590909090909,boom,-0.1845484348083848,spread,-1.5162539052402142
QB,fav,1272,0.17156673486120613,0.16745283018867918,boom,-0.41139046725269524,spread,0.8204755177735168
QB,big_dog,885,0.20454949490502355,0.18305084745762698,start,-2.1498647447396575,spread,-5.677288135593233
QB,big_fav,751,0.41709845499908127,0.45672436750998674,start,3.962591251090547,spread,8.81597869507324
QB,close,950,0.28883728703264105,0.2715789473684209,start,-1.7258339664220135,spread,-3.3973157894736983
QB,dog,1408,0.25632937073054657,0.2677556818181816,start,1.1426311087635033,spread,-2.0549360795454774
QB,fav,1272,0.34456970733684467,0.34591194968553446,start,0.13422423486897928,spread,1.1194968553458973
RB,big_dog,1588,0.1060377231600795,0.09130982367758178,boom,-1.4727899482497726,spread,-4.981791016628137
RB,big_fav,1512,0.17841218080934165,0.18320105820105811,boom,0.4788877391716462,spread,3.9691401252715695
RB,close,1731,0.14935505201160554,0.1322934719815136,boom,-1.706158003009195,spread,-1.5103460905599748
RB,dog,2534,0.130640366024627,0.13378058405682683,boom,0.31402180321998263,spread,-1.0396915723127398
RB,fav,2360,0.16305351692752726,0.16991525423728804,boom,0.6861737309760779,spread,2.383466894389682
RB,big_dog,1588,0.22039402706761402,0.2109571788413096,start,-0.9436848226304417,spread,-5.732761645747042
RB,big_fav,1512,0.3192661300208242,0.3181216931216932,start,-0.11444368991310183,spread,4.202077654351511
RB,close,1731,0.28284805854429645,0.2588099364529173,start,-2.403812209137918,spread,-2.110633399963219
RB,dog,2534,0.2573836196278381,0.2711128650355168,start,1.372924540767867,spread,-0.3667575535755696
RB,fav,2360,0.2994635498394873,0.3177966101694917,start,1.833306033000437,spread,3.9442756935233527
TE,big_dog,875,0.08657189402440782,0.0822857142857144,boom,-0.4286179738693413,spread,-3.066501873317258
TE,big_fav,807,0.15931124329600982,0.16604708798017348,boom,0.6735844684163661,spread,3.954475711607386
TE,close,1061,0.1133550093639737,0.10650329877474075,boom,-0.6851710589232951,spread,-0.7015024054860486
TE,dog,1464,0.10001968106717181,0.09904371584699456,boom,-0.09759652201772467,spread,-1.3349510942357452
TE,fav,1328,0.1361333835121879,0.13855421686746988,boom,0.24208333552819816,spread,1.5811427277123202
TE,big_dog,875,0.24674383364725594,0.21257142857142863,start,-3.4172405075827306,spread,-7.001646661960642
TE,big_fav,807,0.3383225524948608,0.3519206939281288,start,1.3598141433267985,spread,5.04643089343999
TE,close,1061,0.2859759176618404,0.27992459943449566,start,-0.6051318227344726,spread,-0.33889482142068217
TE,dog,1464,0.26744048910614826,0.2684426229508199,start,0.10021338446716266,spread,-1.3908087214168696
TE,fav,1328,0.31630349387779483,0.30120481927710835,start,-1.509867460068648,spread,0.44452011954011494
WR,big_dog,2443,0.09817816845634961,0.09005321326238232,boom,-0.8124955193967289,spread,-2.661109916209918
WR,big_fav,2052,0.15461055271669125,0.17592592592592607,boom,2.1315373209234822,spread,3.738535102681354
WR,close,2603,0.13183439785397935,0.13061851709565886,boom,-0.12158807583204922,spread,-0.2700563768825853
WR,dog,3942,0.11971547459992031,0.12557077625570767,boom,0.5855301655787362,spread,-0.26844458685486294
WR,fav,3452,0.14653085432169494,0.14368482039397415,boom,-0.2846033927720787,spread,0.5072014906895989
WR,big_dog,2443,0.21471118373400114,0.1993450675399097,start,-1.536611619409145,spread,-4.186237925570263
