fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
150,7,0.02,50,359,6.9674,7,0.05,100,110,2.611
151,7,0.02,50,359,6.9442,7,0.05,100,110,2.6059
152,7,0.02,20,340,6.9591,7,0.05,10,158,2.5969
153,15,0.05,50,76,6.9668,7,0.02,20,246,2.6144
154,7,0.02,20,368,6.9986,7,0.02,10,216,2.6174
155,7,0.02,100,244,7.0321,7,0.05,50,96,2.6191
156,15,0.02,20,245,7.0764,7,0.05,50,96,2.624
157,15,0.02,20,296,7.0525,7,0.02,50,217,2.631
158,15,0.02,50,206,7.0504,15,0.02,10,226,2.6306
159,15,0.02,50,224,7.0617,7,0.02,20,265,2.6358
160,7,0.02,10,290,7.0319,7,0.02,50,245,2.6208
161,7,0.02,10,290,7.049,7,0.02,50,245,2.627
162,7,0.05,50,143,7.0586,7,0.02,20,273,2.6122
163,15,0.02,50,310,7.0321,7,0.05,10,114,2.616
164,31,0.02,50,181,7.0711,7,0.05,100,119,2.6143
165,15,0.02,20,243,7.0168,15,0.02,20,208,2.6174
166,7,0.02,20,265,7.0044,7,0.02,20,285,2.6099
167,7,0.05,20,118,7.0227,7,0.02,10,272,2.5975
168,15,0.02,10,235,7.0268,31,0.02,10,167,2.5976
169,7,0.05,50,143,6.9686,7,0.05,20,105,2.5669
170,15,0.02,100,215,6.9764,7,0.05,100,117,2.5709
171,15,0.02,100,213,6.9828,7,0.05,100,117,2.5814
172,7,0.05,50,78,7.0315,15,0.05,20,120,2.5859
173,7,0.05,20,107,7.0333,15,0.05,50,70,2.6039
174,7,0.05,20,160,7.0527,15,0.02,20,185,2.619
175,7,0.02,10,235,7.0486,15,0.05,20,127,2.6035
176,7,0.02,10,235,7.0232,15,0.05,20,127,2.5994
177,7,0.05,10,106,7.0165,15,0.05,10,70,2.6157
178,7,0.02,10,337,7.0138,15,0.05,100,108,2.6161
179,7,0.02,50,250,7.0189,7,0.05,50,78,2.6058
180,7,0.02,100,180,7.0215,7,0.05,100,87,2.5923
181,7,0.02,100,180,7.0111,7,0.05,100,87,2.5879
182,7,0.02,100,193,7.0352,7,0.05,100,103,2.597
183,7,0.02,10,230,7.0774,31,0.02,50,185,2.6078
184,7,0.05,10,105,7.1026,15,0.05,50,114,2.6016
185,7,0.02,50,185,7.0889,15,0.05,100,79,2.605
186,7,0.02,50,185,7.1245,15,0.05,50,74,2.6036
187,7,0.02,50,190,7.117,15,0.05,100,88,2.6058
188,7,0.02,50,224,7.0808,15,0.02,100,235,2.6133
189,7,0.05,10,141,7.1099,15,0.05,100,91,2.6109
190,7,0.05,50,103,7.0924,15,0.05,10,140,2.6073
191,15,0.02,50,183,7.0826,15,0.05,100,94,2.597
192,7,0.05,50,97,7.0579,15,0.05,100,146,2.584
193,7,0.05,50,96,7.0416,7,0.02,20,333,2.5722
194,7,0.02,100,233,7.0359,7,0.05,20,130,2.5869
195,7,0.02,10,283,6.9687,7,0.02,100,325,2.5783
196,7,0.02,10,283,6.9591,7,0.02,100,325,2.575
197,7,0.05,10,112,6.9761,7,0.05,50,151,2.5822
198,7,0.05,100,133,6.9938,15,0.05,100,89,2.5764
199,31,0.02,100,180,7.0091,31,0.05,100,77,2.5802
200,7,0.05,100,141,7.0326,15,0.02,100,250,2.5864
201,7,0.05,100,141,7.0389,15,0.02,100,240,2.5873
202,31,0.05,50,62,7.0226,31,0.05,100,64,2.5807
203,31,0.05,20,70,7.0205,31,0.05,50,63,2.5853
204,63,0.02,100,130,7.0345,63,0.02,50,176,2.5812
