player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_target_share,baseline_air_yards_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,wt_tgt_per_snap,baseline_snap_share,baseline_tgt_per_snap,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0030061,WAS,DEN,2025_13_DEN_WAS,-0.13191856734270202,0.20381320333766162,0.3021623967863222,11.251886906998882,0.33314560726357323,0.33314560726357323,FALSE,r2_3,0.16062176165803108,0.1718436873747495,Zach Ertz,-0.46506417460627525,63.69808099686374,68.88235294117646,0.7075863062686536,0.14019694654200818,0.6688235294117647,0.12062256809338522,11,FALSE,-0.11522256248137881,0.7353436978586497,2025,13,-6.5,18.5,NA,Did Not Participate In Practice
00-0030506,KC,DAL,2025_13_KC_DAL,0.6124615745791975,0.17209007882420257,0.1775130051236861,8.341038353919622,0.1539309766848712,0.1539309766848712,FALSE,r2_3,0.21578099838969403,0.23955507325013564,Travis Kelce,0.45853059789432626,77.36573971866305,67.23529411764706,0.8239451886730447,0.12597184357640526,0.845625,0.1425531914893617,11,FALSE,0.14073844019535006,-0.12985613289991818,2025,13,3.5,27.5,NA,NA
00-0031610,MIA,NO,2025_13_NO_MIA,1.4834671234709365,0.12061754895574137,0.2148241755447833,10.879737609329446,NA,0.1954090143933528,TRUE,udfa,0.06053811659192825,0.04607508532423208,Darren Waller,1.2880581090775838,60.57538579765782,68.29411764705883,0.4493798297571882,0.10412473710732055,0.16875,0.03792235801581596,11,FALSE,0.1781460055644689,-0.4102771100753886,2025,13,4.5,23.5,Questionable,Limited Participation in Practice
00-0033090,NE,NYG,2025_13_NYG_NE,0.17923868577001917,0.17162217010762887,0.14699636842601838,7.357646548619971,0.24947066992792583,0.24947066992792583,FALSE,r2_3,0.17509025270758122,0.19178852643419572,Hunter Henry,-0.07023198415790666,66.0452677116389,65.88235294117646,0.8291181551145048,0.10686980355390449,0.80625,0.11616766467065869,12,FALSE,0.1751955760268989,0.6157891179021279,2025,13,7.5,26.5,NA,Full Participation in Practice
00-0033288,SF,CLE,2025_13_SF_CLE,0.8073747366965657,0.22279336825471602,0.21582928870190152,6.212839829908796,0.7228183802573963,0.7228183802573963,FALSE,r4_5,0.18467583497053044,0.19767729182110205,George Kittle,0.08455635643916937,61.30534850290117,64.29411764705883,0.889196822951864,0.1295286070189054,0.866,0.11633663366336634,11,FALSE,-0.27115349226017277,0.01890392049990206,2025,13,5.5,23.5,NA,NA
00-0033881,DEN,WAS,2025_13_DEN_WAS,-0.22691583947699911,0.13534158071647473,0.052778070204801984,3.9481571845632626,-0.013190499619957292,-0.013190499619957292,FALSE,r1,0.23508771929824562,0.15056461731493098,Evan Engram,-0.2137253398570418,65.73793566022505,65.52941176470588,0.4580860526373443,0.17032422551321874,0.72,0.18457300275482094,11,FALSE,0.21379333808829137,0.5448323610887433,2025,13,6.5,25,NA,NA
00-0034073,DET,GB,2025_13_GB_DET,-0.36093316989718005,0.02857142857142857,0,0,NA,0.1954090143933528,TRUE,udfa,0.06053811659192825,0.04607508532423208,Ross Dwelley,-0.5563421842905328,66.64276409254761,67.70588235294117,0.0565115667673889,0.021225298278786216,0.09882352941176471,0.009523809523809525,11,FALSE,-0.2199318588916283,0.11336199670580001,2025,13,-2.5,23,NA,NA
00-0034351,PHI,CHI,2025_13_CHI_PHI,0.484246685576182,0.1348960236349504,0.10085503746130273,6.332880560718998,0.3724276393520261,0.3724276393520261,FALSE,r2_3,0.16507936507936508,0.15576748410535876,Dallas Goedert,0.1118190462241559,66.15643406175796,68.58823529411765,0.8641503182609487,0.07061867825994626,0.65,0.11659192825112108,11,FALSE,0.15837652161674884,0.6787358304946162,2025,13,6.5,25.5,NA,NA
00-0034383,HOU,IND,2025_13_HOU_IND,0.10463868813961331,0.16646050445606358,0.18759885096878254,9.784268071824465,0.03912830963026654,0.03912830963026654,FALSE,r4_5,0.1362179487179487,0.1470019342359768,Dalton Schultz,0.06551037850934677,71.83927190118996,66.47058823529412,0.7432412059031213,0.13385009854526614,0.7817647058823529,0.09826589595375723,11,FALSE,-0.011175230393430382,0.6546228335117139,2025,13,-3.5,21,NA,NA
00-0034753,BAL,CIN,2025_13_CIN_BAL,0.2804527280881382,0.14079175598306862,0.16404536503429268,8.037313294493757,0.7260719536317718,0.7260719536317718,FALSE,r2_3,0.13717693836978131,0.17563671311869294,Mark Andrews,-0.4456192255436336,62.696488428176835,66.05882352941177,0.6104519693080837,0.10152523178049778,0.6111764705882353,0.10117302052785923,11,FALSE,0.5228441413573192,0.28243648509622293,2025,13,6.5,29.5,NA,NA
