position,player_id,player_name,posteam,ecr_rank,ecr_as_of
QB,00-0034857,Josh Allen,BUF,1,2026-09-24T15:08:47
QB,00-0034796,Lamar Jackson,BAL,2,2026-09-24T15:08:47
QB,00-0037834,Brock Purdy,SF,3,2026-09-24T15:08:47
QB,00-0036389,Jalen Hurts,PHI,4,2026-09-24T15:08:47
QB,00-0033873,Patrick Mahomes,KC,5,2026-09-24T15:08:47
QB,00-0033077,Dak Prescott,DAL,6,2026-09-24T15:08:47
QB,00-0033106,Jared Goff,DET,7,2026-09-24T15:08:47
QB,00-0036442,Joe Burrow,CIN,8,2026-09-24T15:08:47
QB,00-0036971,Trevor Lawrence,JAX,9,2026-09-24T15:08:47
QB,00-0036264,Jordan Love,GB,10,2026-09-24T15:08:47
QB,00-0039851,Drake Maye,NE,11,2026-09-24T15:08:47
QB,00-0040743,Tyler Shough,NO,12,2026-09-24T15:08:47
QB,00-0036355,Justin Herbert,LAC,13,2026-09-24T15:08:47
QB,00-0035228,Kyler Murray,MIN,14,2026-09-24T15:08:47
QB,00-0039732,Bo Nix,DEN,15,2026-09-24T15:08:47
QB,00-0026498,Matthew Stafford,LA,16,2026-09-24T15:08:47
QB,00-0039150,Bryce Young,CAR,17,2026-09-24T15:08:47
QB,00-0030565,Geno Smith,NYJ,18,2026-09-24T15:08:47
QB,00-0039163,C.J. Stroud,HOU,19,2026-09-24T15:08:47
QB,00-0038128,Malik Willis,MIA,20,2026-09-24T15:08:47
QB,00-0034855,Baker Mayfield,TB,21,2026-09-24T15:08:47
QB,00-0029604,Kirk Cousins,LV,22,2026-09-24T15:08:47
QB,00-0033119,Jacoby Brissett,ARI,23,2026-09-24T15:08:47
QB,00-0033537,Deshaun Watson,CLE,24,2026-09-24T15:08:47
QB,00-0035710,Daniel Jones,IND,25,2026-09-24T15:08:47
QB,00-0023459,Aaron Rodgers,PIT,26,2026-09-24T15:08:47
QB,00-0035704,Drew Lock,SEA,27,2026-09-24T15:08:47
QB,00-0039917,Michael Penix Jr.,ATL,28,2026-09-24T15:08:47
QB,00-0031503,Jameis Winston,NYG,29,2026-09-24T15:08:47
QB,00-0032268,Marcus Mariota,WAS,30,2026-09-24T15:08:47
QB,00-0040676,Cam Ward,TEN,31,2026-09-24T15:08:47
QB,00-0028986,Case Keenum,CHI,32,2026-09-24T15:08:47
QB,00-0034869,Sam Darnold,SEA,33,2026-09-24T15:08:47
QB,00-0038416,Tyson Bagent,CHI,34,2026-09-24T15:08:47
QB,00-0032950,Carson Wentz,MIN,35,2026-09-24T15:08:47
QB,00-0033662,Cooper Rush,ATL,36,2026-09-24T15:08:47
QB,00-0039918,Caleb Williams,CHI,37,2026-09-24T15:08:47
QB,00-0040668,Shedeur Sanders,CLE,38,2026-09-24T15:08:47
QB,00-0041562,Fernando Mendoza,LV,39,2026-09-24T15:08:47
QB,00-0036972,Mac Jones,SF,40,2026-09-24T15:08:47
QB,00-0037012,Trey Lance,LAC,41,2026-09-24T15:08:47
QB,00-0039164,Anthony Richardson,IND,42,2026-09-24T15:08:47
QB,00-0036945,Justin Fields,KC,43,2026-09-24T15:08:47
QB,00-0035264,Jarrett Stidham,DEN,44,2026-09-24T15:08:47
QB,00-0041056,Cade Klubnik,NYJ,45,2026-09-24T15:08:47
QB,00-0039923,J.J. McCarthy,MIN,46,2026-09-24T15:08:47
QB,00-0041561,Carson Beck,ARI,47,2026-09-24T15:08:47
QB,00-0026158,Joe Flacco,CIN,48,2026-09-24T15:08:47
QB,00-0039910,Jayden Daniels,WAS,49,2026-09-24T15:08:47
QB,00-0028118,Tyrod Taylor,GB,50,2026-09-24T15:08:47
QB,00-0035289,Gardner Minshew,ARI,51,2026-09-24T15:08:47
QB,00-0036212,Tua Tagovailoa,ATL,52,2026-09-24T15:08:47
QB,00-0040673,Jalen Milroe,SEA,53,2026-09-24T15:08:47
QB,00-0036898,Davis Mills,HOU,54,2026-09-24T15:08:47
QB,00-0039376,Spencer Rattler,NO,55,2026-09-24T15:08:47
