position,player_name,posteam,model_rank,ecr_rank,rank_gap,start_pct
WR,CJ Daniels,LA,7,142,135,12
WR,Jordan Whittington,LA,6,129,123,21
WR,Xavier Smith,LA,8,123,115,12
WR,Tutu Atwell,LA,9,124,115,11
TE,Max Klare,LA,2,116,114,22
TE,Thomas Fidone II,NYG,6,117,111,15
RB,Ronnie Rivers,LA,4,104,100,25
WR,Konata Mumpfield,LA,10,109,99,10
RB,Patrick Ricard,NYG,7,95,88,18
WR,Odell Beckham Jr.,NYG,11,99,88,2
TE,Chris Manhertz,NYG,9,95,86,14
QB,Stetson Bennett,LA,3,79,76,34
WR,Darnell Mooney,NYG,5,79,74,21
RB,Najee Harris,NYG,6,71,65,22
WR,Malachi Fields,NYG,4,67,63,30
QB,Ty Simpson,LA,4,65,61,33
RB,Tyrone Tracy Jr.,NYG,8,65,57,16
TE,Davis Allen,LA,8,64,56,15
RB,Devin Singletary,NYG,5,56,51,23
TE,Tyler Higbee,LA,4,48,44,18
QB,Jameis Winston,NYG,5,41,36,18
TE,Theo Johnson,NYG,7,42,35,15
RB,Blake Corum,LA,3,36,33,38
TE,Colby Parkinson,LA,3,32,29,19
TE,Terrance Ferguson,LA,5,31,26,17
WR,Davante Adams,LA,3,22,19,40
RB,Cam Skattebo,NYG,2,19,17,40
RB,Kyren Williams,LA,1,15,14,50
QB,Matthew Stafford,LA,2,15,13,35
QB,Jaxson Dart,NYG,1,12,11,44
WR,Malik Nabers,NYG,2,12,10,43
TE,Isaiah Likely,NYG,1,8,7,31
WR,Puka Nacua,LA,1,5,4,59
