player_id,season,week,opportunities,epa_per_opp_obs,total_epa,pred_eff,lo_50_eff,hi_50_eff,lo_80_eff,hi_80_eff,lo_90_eff,hi_90_eff,pred_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,fold,alpha_fold,pred_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,it_c,p_start_sim,p_boom_sim,p_start_norm,p_boom_norm,position,med_eff,med_vol,med_tot,fantasy_points_ppr,hit_start,hit_boom
00-0022736,2014,6,8,-0.31774909287923947,-2.541992743033916,-0.01846925849960114,-0.17811488832262184,0.19427170089947987,-0.36178373813445386,0.37794055071131183,-0.5171307145929728,0.5332875271698309,14.905447042770636,10.86338767277811,18.94750641276316,6.748962755631775,23.0619313299095,4.561062141836954,25.249831943704315,1,0.4674653109077011,-0.2752925544850463,-2.5324773681451704,1.981892259175078,-4.966940218439235,4.416355109469142,-7.433615967159916,6.883030858189823,5.25,0.363,0.1575,0.3525672933818558,0.1408720834359963,RB,NA,NA,NA,2.5,FALSE,FALSE
00-0023500,2014,6,17,-0.46760532388340353,-7.94929050601786,-0.12950994982075884,-0.3245065099550509,0.04788007926705076,-0.508175359766883,0.23154892907888275,-0.6635223362254019,0.3868959055374017,17.60722321279245,13.565163842799926,21.649282582784977,9.45073892565359,25.76370749993131,7.26283831185877,27.95160811372613,1,0.4674653109077011,-2.2803105947716507,-5.0766140996468065,0.5159929101035057,-8.092537722545455,3.531916533002154,-11.148368153352523,6.587746963809222,0.75,0.334,0.1505,0.36827475114625247,0.1610929017236714,RB,NA,NA,NA,3.8000000000000003,FALSE,FALSE
00-0023564,2014,6,11,-0.77346984009292,-8.508168241022119,-0.03822051353365199,-0.21888926884945445,0.15349732037264727,-0.4025581186612864,0.33716617018447925,-0.5579050951198055,0.4925131466429982,10.123681093662508,6.081621723669983,14.165740463655034,1.9671968065236471,18.28016538080137,-0.2207038072711729,20.468065994596188,1,0.4674653109077011,-0.38693229025070464,-2.3823778155025783,1.6085132350011688,-4.534544519625497,3.7606799391240857,-6.715188769597464,5.941324189096056,3.75,0.166,0.061,0.1703454245809518,0.04728375907668234,RB,NA,NA,NA,9.9,FALSE,FALSE
00-0024204,2014,6,16,-0.03437960513110738,-0.5500736820977181,0.01873559267481811,-0.17114827134922675,0.20123831787287497,-0.35481712116105874,0.38490716768470695,-0.5101640976195777,0.5402541441432259,15.094211266086091,11.052151896093568,19.13627063607862,6.937726978947232,23.25069555322495,4.749826365152412,25.438596167019774,1,0.4674653109077011,0.2827989940290396,-2.2909063294362553,2.8565043174943345,-5.066749033880292,5.6323470219383704,-7.879321787039479,8.444919775097558,-2,0.369,0.189,0.3940295734579904,0.17339944452858994,RB,NA,NA,NA,14.3,FALSE,FALSE
00-0024275,2014,6,5,0.33658829393098133,1.6829414696549063,-0.09845421419101116,-0.27384530259143897,0.09854128663066276,-0.4575141524032709,0.28221013644249476,-0.6128611288617899,0.43755711290101373,15.6046926418613,11.562633271868776,19.646752011853827,7.448208354722439,23.76117692900016,5.260307740927619,25.94907754279498,1,0.4674653109077011,-1.5363477517467083,-3.6545254139798873,0.5818299104864713,-5.939063568685842,2.8663680651924253,-8.253830812950664,5.1811353094572485,0,0.291,0.126,0.3137960181927676,0.11616929499653417,RB,NA,NA,NA,5,FALSE,FALSE
00-0025399,2014,6,12,0.04394478801017006,0.5273374561220407,-0.08477562117688169,-0.27302251553761103,0.09936407368449068,-0.456691365349443,0.2830329234963227,-0.612038341807962,0.4383798999548416,18.908503655187396,14.86644428519487,22.95056302517992,10.752019368048536,27.064987942326255,8.564118754253714,29.25288855612108,1,0.4674653109077011,-1.6029801428938493,-4.317577737403176,1.111617451615477,-7.245378313295972,4.039418027508273,-10.211919649826472,7.005959364038774,5,0.4495,0.2335,0.45484056118536614,0.21953776195729852,RB,NA,NA,NA,7.2,FALSE,FALSE
00-0025637,2014,6,17,-0.10728776665842708,-1.8238920331932604,-0.09024376804152094,-0.26804009213649344,0.10434649708560828,-0.45170894194832545,0.28801534689744024,-0.6070559184068444,0.44336232335595926,14.291237305390348,10.249177935397825,18.333296675382876,6.134753018251487,22.44772159252921,3.946852404456667,24.63562220632403,1,0.4674653109077011,-1.2896951044139773,-3.826120627943856,1.2467304191159012,-6.561755597753171,3.982365388925217,-9.333588586112713,6.754198377284756,1.25,0.275,0.125,0.2845494604800214,0.10666729077610143,RB,NA,NA,NA,14.9,FALSE,FALSE
00-0026144,2014,6,18,0.03510523738481828,0.6318942729267292,-0.09353428867764936,-0.2779911383621804,0.0943954508599213,-0.4616599881740124,0.2780643006717533,-0.6170069646325314,0.4334112771302723,17.06172512964743,13.019665759654906,21.103784499639957,8.90524084250857,25.218209416786294,6.71734022871375,27.40611003058111,1,0.4674653109077011,-1.5958563236151475,-4.379951008110432,1.1882383608801366,-7.382706936684344,4.190994289454049,-10.425195437770256,7.233482790539962,0,0.376,0.186,0.380632860529162,0.16893578987889232,RB,NA,NA,NA,10.6,FALSE,FALSE
00-0026164,2014,6,5,-0.3658188286121003,-1.8290941430605017,-0.04834187594593932,-0.22450551512068168,0.14788107410142004,-0.4081743649325137,0.331549923913252,-0.5635213413910326,0.48689690037177097,15.810191633446957,11.768132263454431,19.852251003439484,7.653707346308096,23.966675920585818,5.4658067325132755,26.15457653438064,1,0.4674653109077011,-0.7642943226256206,-2.895466225933217,1.366877580681976,-5.194019182161842,3.6654305369106006,-7.522986672298122,5.99439802704688,-3.5,0.3335,0.1465,0.36260520169155686,0.14464061734471942,RB,NA,NA,NA,2.1,FALSE,FALSE
00-0026184,2014,6,30,0.18812113784073495,5.643634135222049,0.02121999874107102,-0.18366691314556569,0.18871967607653603,-0.36733576295739767,0.372388525888368,-0.5226827394159167,0.5277355023468869,20.991490395570555,16.94943102557803,25.03354976556308,12.835006108431694,29.147974682709417,10.647105494636874,31.33587529650423,1,0.4674653109077011,0.4454393997672116,-2.9187732435758025,3.809652043110226,-6.547209272005231,7.438088071539655,-10.223656894128586,11.11453569366301,2.25,0.6015,0.4,0.6355432086028445,0.3971781714153685,RB,NA,NA,NA,37.7,TRUE,TRUE
