group,outcome,n,weeks,brier_ecr,brier_model,brier_blend,blend_gain_vs_ecr,ci_lo,ci_hi,mean_b_model,mean_b_ecr
QB,start,1613,71,0.19165039595423067,0.18890366230114858,0.19172669224190356,-7.629628767288898e-5,-0.005135545912743385,0.004950190860435607,0.593988549311924,0.46629924663290556
QB,boom,1613,71,0.11218284067083148,0.11266188305754835,0.11256168773119081,-3.7884706035933025e-4,-0.002739971206467905,0.002155047627026976,0.7084395956447134,0.3086062290186917
RB/WR/TE pooled,start,1451,14,0.17159858140038456,0.17672529565816678,0.17132758211217874,2.709992882058143e-4,-0.0012910316524247156,0.002041439832984321,0.2590752502122261,0.6876291252615989
RB/WR/TE pooled,boom,1451,14,0.1010934199448094,0.10565217610513322,0.10216421019620127,-0.0010707902513918677,-0.0020867512040811487,-2.1006026307952092e-5,0.3454736718995343,0.5314775596102587
