position,threshold,n,spearman_old,spearman_new
WR,p75,225,0.2221558647544349,0.23243571605413224
WR,p90,87,0.1936627221126686,0.1038388941349319
RB,p75,152,0.10549237332554497,0.11357836923456364
RB,p90,57,0.0013659237779375386,-0.10234868049377026
