state,n,mean_db_resid,db_rmse,mean_carry_resid
dnp_or_limited_no_desig,87,-0.7421341990538184,8.919560241825113,-0.009526227608722545
own_questionable,100,-0.40652590385695314,9.183340951977145,-0.24330338450842975
return_week,642,-1.5383450197549053,9.297870174653438,0.13691032328978112
steady,5400,-0.4457976997402875,8.780967775380034,0.0974010660575323
