player_id,season,week,p_start_new,p_boom_new,p_start_raw,p_boom_raw,hit_start,hit_boom,bucket
00-0038794,2023,16,0.036685170226637885,0.002452001116639109,0.076,0.0155,FALSE,FALSE,b3
00-0039021,2023,16,0.10224786380962446,0.031925256552965964,0.1865,0.0635,FALSE,FALSE,b3
00-0039032,2023,16,0.1281908911766554,0.05457428905294364,0.2255,0.085,FALSE,FALSE,b3
00-0039040,2023,16,0.39411726031549366,0.036962129060223205,0.2345,0.0785,FALSE,FALSE,b1
00-0039139,2023,16,0.5597764476644466,0.14709704615912458,0.3645,0.1655,TRUE,TRUE,b1
00-0032144,2023,17,0.05906352855765825,0.009812931811005142,0.127,0.036,FALSE,FALSE,b3
00-0032764,2023,17,0.490998808823153,0.16979028899619103,0.3545,0.166,FALSE,FALSE,b1
00-0033045,2023,17,0.28291032998726867,0.18193580820562405,0.397,0.184,FALSE,FALSE,b3
00-0033280,2023,17,0.8343838417379764,0.7174372475030903,0.681,0.4605,FALSE,FALSE,b1
00-0033293,2023,17,0.31250807010185444,0.14321929680094364,0.341,0.1445,FALSE,FALSE,b2
00-0033526,2023,17,0.045229174907131804,0.0064848457273137166,0.1035,0.0285,FALSE,FALSE,b3
00-0033553,2023,17,0.5205162022353422,0.15761066302642687,0.377,0.159,TRUE,TRUE,b1
00-0033699,2023,17,0.4782961962444248,0.1627929452475289,0.345,0.162,FALSE,FALSE,b1
00-0033897,2023,17,0.6128221816059809,0.28613206662036966,0.452,0.227,TRUE,FALSE,b1
00-0033906,2023,17,0.47155495619344073,0.14159114147091728,0.34,0.1495,FALSE,FALSE,b1
00-0033923,2023,17,0.1034835856585311,0.029801518897964233,0.1935,0.067,FALSE,FALSE,b3
00-0033948,2023,17,0.08150403409208419,0.021941181007832912,0.162,0.0565,FALSE,FALSE,b3
00-0034115,2023,17,0.08420316131457267,0.018584661087886967,0.166,0.0515,FALSE,FALSE,b3
00-0034184,2023,17,0.1290283971400152,0.04479172084570847,0.2275,0.084,FALSE,FALSE,b3
00-0034681,2023,17,0.048952627438912044,0.006284942777009228,0.11,0.028,FALSE,FALSE,b3
00-0034844,2023,17,0.658072133935446,0.36372207819367847,0.492,0.265,FALSE,FALSE,b1
00-0034972,2023,17,0.07162538318351977,0.01236810367089058,0.147,0.041,FALSE,FALSE,b3
00-0034975,2023,17,0.07324495235975463,0.012638162400221394,0.1495,0.0415,TRUE,TRUE,b3
00-0035250,2023,17,0.29749107386273377,0.18797083811562468,0.411,0.1875,FALSE,FALSE,b3
00-0035261,2023,17,0.4882150092828792,0.34408744211699205,0.4875,0.2465,FALSE,FALSE,b2
00-0035537,2023,17,0.04693770963952811,0.004964149195958079,0.1065,0.0245,FALSE,FALSE,b3
00-0035685,2023,17,0.3020613318406606,0.13725360127331718,0.332,0.141,FALSE,FALSE,b2
00-0035973,2023,17,0.0399336451805686,0.004106053886332166,0.094,0.022,FALSE,FALSE,b3
00-0036223,2023,17,0.448678915190974,0.3314826217774551,0.455,0.2405,TRUE,FALSE,b2
00-0036265,2023,17,0.20861129549430935,0.10949688893594281,0.321,0.138,FALSE,FALSE,b3
00-0036275,2023,17,0.4943032222405234,0.4288947798832877,0.4925,0.287,FALSE,FALSE,b2
00-0036328,2023,17,0.05784654471810601,0.010056475001113127,0.125,0.0365,FALSE,FALSE,b3
00-0036555,2023,17,0.23790924748335845,0.133116067968151,0.352,0.154,FALSE,FALSE,b3
00-0036567,2023,17,0.04982323736218387,0.006892982875525175,0.1115,0.0295,FALSE,FALSE,b3
00-0036893,2023,17,0.21884543883652285,0.10597496080046111,0.332,0.1355,TRUE,TRUE,b3
00-0036906,2023,17,0.09491607140934574,0.027060555837001024,0.1815,0.0635,TRUE,TRUE,b3
00-0036919,2023,17,0.10493447497690009,0.03142143599857771,0.1955,0.069,FALSE,FALSE,b3
00-0036924,2023,17,0.02564146139018659,0.002094931208243565,0.0665,0.015,FALSE,FALSE,b3
00-0036973,2023,17,0.5957278462436377,0.2841192175937739,0.4375,0.226,TRUE,TRUE,b1
00-0036984,2023,17,0.04579677453703983,0.0064848457273137166,0.1045,0.0285,FALSE,FALSE,b3
00-0036997,2023,17,0.16948857547039903,0.08973985225072388,0.277,0.1235,FALSE,FALSE,b3
00-0037197,2023,17,0.5344545028450927,0.4205969063744461,0.5255,0.283,TRUE,TRUE,b2
00-0037228,2023,17,0.15939514115842324,0.03284735979051064,0.2015,0.063,TRUE,FALSE,b2
00-0037248,2023,17,0.36256585533176866,0.19485839779444772,0.3835,0.173,FALSE,FALSE,b2
00-0037256,2023,17,0.6081430644273463,0.2831136474421273,0.448,0.2255,FALSE,FALSE,b1
00-0037258,2023,17,0.09246199370129177,0.025548305847339456,0.178,0.0615,FALSE,FALSE,b3
00-0037263,2023,17,0.08692928887919926,0.017943742413318493,0.17,0.0505,TRUE,FALSE,b3
00-0037267,2023,17,0.1639586156823035,0.06302514354642914,0.2705,0.1015,TRUE,TRUE,b3
00-0037276,2023,17,0.22878093887477402,0.12330093205221968,0.3425,0.1475,FALSE,FALSE,b3
00-0037746,2023,17,0.17839649409519753,0.03473289293907967,0.22,0.065,FALSE,FALSE,b2
00-0037840,2023,17,0.4839534932644565,0.35039564445845084,0.484,0.2495,TRUE,TRUE,b2
00-0038040,2023,17,0.16991664371510068,0.06246609489931054,0.2775,0.101,TRUE,FALSE,b3
00-0038120,2023,17,0.4379868647261531,0.11992676476999682,0.3155,0.136,TRUE,TRUE,b1
00-0038134,2023,17,0.36435166423189513,0.2179883569046418,0.385,0.185,TRUE,FALSE,b2
00-0038389,2023,17,0.04438137735423762,0.00551328996726839,0.102,0.026,FALSE,FALSE,b3
00-0038542,2023,17,0.30032611197024883,0.13472484415832744,0.3305,0.1395,FALSE,FALSE,b2
00-0038555,2023,17,0.03455310357132732,0.003943100305174808,0.084,0.0215,FALSE,FALSE,b3
00-0038597,2023,17,0.0687375303211632,0.013744595818318783,0.1425,0.0435,FALSE,FALSE,b3
00-0038794,2023,17,0.06028772809021759,0.010056475001113127,0.129,0.0365,FALSE,FALSE,b3
00-0039021,2023,17,0.06028772809021759,0.011314208227107825,0.129,0.039,FALSE,FALSE,b3
00-0039032,2023,17,0.10566236829951035,0.02444006076614196,0.1965,0.06,FALSE,FALSE,b3
00-0039040,2023,17,0.35970159952736586,0.07065998210307989,0.2605,0.101,TRUE,TRUE,b1
00-0039139,2023,17,0.5107672100979593,0.1706718299338555,0.3695,0.1665,FALSE,FALSE,b1
00-0039165,2023,17,0.15933022456017523,0.06302514354642914,0.265,0.1015,FALSE,FALSE,b3
00-0030578,2023,18,0.042661198892353695,0.009562012614108217,0.071,0.0155,FALSE,FALSE,b3
00-0032144,2023,18,0.07227206437550746,0.021119142178997866,0.1175,0.03,FALSE,FALSE,b3
00-0032764,2023,18,0.4853689143815594,0.2234056862805072,0.369,0.168,TRUE,TRUE,b1
00-0033045,2023,18,0.3924966465127669,0.31115178914213326,0.5215,0.2845,FALSE,FALSE,b3
00-0033293,2023,18,0.42944893797216,0.233791621497251,0.436,0.2025,TRUE,FALSE,b2
00-0033526,2023,18,0.047664440121189755,0.008103721617860583,0.079,0.0135,FALSE,FALSE,b3
00-0033553,2023,18,0.5679002899710344,0.3230871930192525,0.4485,0.236,TRUE,TRUE,b1
00-0033699,2023,18,0.48212565417955155,0.22266655665630425,0.366,0.1675,FALSE,FALSE,b1
00-0033856,2023,18,0.14695297276405023,0.03786304296997595,0.1515,0.0435,FALSE,FALSE,b2
00-0033897,2023,18,0.5773403376150652,0.31512938792602613,0.458,0.2305,TRUE,TRUE,b1
