position,bucket,n,stated,emp,threshold,delta_pp,axis,delta_pp_before
QB,high_implied,839,0.24127770456920725,0.26340882002383786,boom,2.213111545463062,implied_total,8.334243161086766
QB,low_implied,1154,0.07001509619838837,0.06585788561525129,boom,-0.41572105831370887,implied_total,-3.8250787736737943
QB,mid_implied,2720,0.14016622133001325,0.13235294117647037,boom,-0.7813280153542879,implied_total,-0.9119418078758852
QB,high_implied,839,0.4895256677976565,0.4862932061978545,start,-0.32324615998020056,implied_total,11.62017634854768
QB,low_implied,1154,0.1670108850051683,0.17331022530329288,start,0.6299340298124567,implied_total,-6.98194154488517
QB,mid_implied,2720,0.29813492736485153,0.29411764705882343,start,-0.40172803060281037,implied_total,-1.4901221640488516
RB,high_implied,1606,0.20234764829990828,0.1899128268991282,boom,-1.243482140078009,implied_total,5.2362790946800155
RB,low_implied,2082,0.09982995442136751,0.09846301633045154,boom,-0.13669380909159673,implied_total,-4.34095174196893
RB,mid_implied,5053,0.14349629325605678,0.14803087274886215,boom,0.4534579492805363,implied_total,-0.00421086037247775
RB,high_implied,1606,0.3550208841444636,0.33686176836861764,start,-1.8159115775845946,implied_total,6.067149007729555
RB,low_implied,2082,0.20638782264247196,0.2151777137367917,start,0.8789891094319741,implied_total,-5.19498165373484
RB,mid_implied,5053,0.2743947211963228,0.2831981001385313,start,0.8803378942208506,implied_total,0.7865061492649983
TE,high_implied,891,0.17839511632175017,0.16722783389450055,boom,-1.1167282427249625,implied_total,6.018010975006948
TE,low_implied,1132,0.07238741319331024,0.08303886925795044,boom,1.06514560646402,implied_total,-2.0104556410289116
TE,mid_implied,2882,0.11466886801729981,0.11415683553088136,boom,-0.05120324864184428,implied_total,-1.1097805313172615
TE,high_implied,891,0.37194219643948356,0.34904601571268246,start,-2.2896180726801107,implied_total,6.658849176040471
TE,low_implied,1132,0.22164823114541285,0.21024734982332172,start,-1.1400881322091134,implied_total,-5.40671755369459
TE,mid_implied,2882,0.29277961210085385,0.28972935461485083,start,-0.3050257486003016,implied_total,-0.966963294727352
WR,high_implied,2343,0.16572492501976674,0.18011096884336314,boom,1.4386043823596402,implied_total,3.959195479428359
WR,low_implied,3200,0.09605328853107374,0.09343749999999983,boom,-0.2615788531073915,implied_total,-3.24951643492906
WR,mid_implied,7490,0.13595631271580944,0.13564753004005353,boom,-0.030878267575590312,implied_total,0.4322508825669036
WR,high_implied,2343,0.3119780209573915,0.34144259496372176,start,2.9464574006330233,implied_total,5.670611345112525
WR,low_implied,3200,0.21143699941294988,0.20624999999999943,start,-0.5186999412950449,implied_total,-5.083212571874246
WR,mid_implied,7490,0.2716565049920295,0.27396528704939876,start,0.23087820573692852,implied_total,1.2654814062383837
QB,big_dog,743,0.07629197367040587,0.07133243606998652,boom,-0.4959537600419353,spread,-3.214116244528231
QB,big_fav,617,0.22526037669095314,0.2301458670988655,boom,0.4885490407912363,spread,4.821843032216624
QB,close,992,0.1338450584440368,0.11995967741935486,boom,-1.388538102468194,spread,0.25198771488118554
QB,dog,1241,0.11052474302324232,0.11764705882352955,boom,0.7122315800287229,spread,-1.5162539052402142
QB,fav,1120,0.17756736092891356,0.17589285714285705,boom,-0.16745037860565193,spread,0.8204755177735168
QB,big_dog,743,0.20223693845546709,0.19784656796769848,start,-0.4390370487768608,spread,-5.677288135593233
QB,big_fav,617,0.44135876711845945,0.46839546191247966,start,2.703669479402021,spread,8.81597869507324
QB,close,992,0.282838954826439,0.24395161290322573,start,-3.8887341923213277,spread,-3.3973157894736983
QB,dog,1241,0.2508706340808982,0.271555197421434,start,2.068456334053581,spread,-2.0549360795454774
QB,fav,1120,0.3570379413784558,0.3508928571428574,start,-0.6145084235598397,spread,1.1194968553458973
RB,big_dog,1337,0.09836465396497869,0.09723261032161565,boom,-0.11320436433630426,spread,-4.981791016628137
RB,big_fav,1245,0.1832379722897742,0.18072289156626511,boom,-0.2515080723509089,spread,3.9691401252715695
RB,close,1785,0.14979021368636988,0.1406162464985994,boom,-0.9173967187770471,spread,-1.5103460905599748
RB,dog,2261,0.12628759355090666,0.13047324192835047,boom,0.41856483774438125,spread,-1.0396915723127398
RB,fav,2113,0.1634389303346328,0.16895409370563177,boom,0.5515163370998971,spread,2.383466894389682
RB,big_dog,1337,0.20870748877276216,0.2139117427075544,start,0.5204253934792236,spread,-5.732761645747042
RB,big_fav,1245,0.32477327972019643,0.3132530120481926,start,-1.1520267672003814,spread,4.202077654351511
RB,close,1785,0.28194036360129876,0.27563025210084036,start,-0.6310111500458404,spread,-2.110633399963219
RB,dog,2261,0.25067868297940865,0.2618310482087573,start,1.1152365229348649,spread,-0.3667575535755696
RB,fav,2113,0.2995488953606557,0.31235210601041175,start,1.2803210649756036,spread,3.9442756935233527
TE,big_dog,718,0.07763907252619655,0.07242339832869091,boom,-0.521567419750564,spread,-3.066501873317258
TE,big_fav,659,0.16777357029704382,0.1669195751138088,boom,-0.08539951832350068,spread,3.954475711607386
TE,close,1053,0.11004450364073502,0.10731244064577386,boom,-0.27320629949611624,spread,-0.7015024054860486
TE,dog,1289,0.09724319277747874,0.09852598913886744,boom,0.12827963613886995,spread,-1.3349510942357452
TE,fav,1186,0.13814275150079222,0.14333895446880277,boom,0.5196202968010544,spread,1.5811427277123202
TE,big_dog,718,0.23544744995824757,0.1977715877437326,start,-3.767586221451497,spread,-7.001646661960642
TE,big_fav,659,0.3516281870569985,0.36267071320182104,start,1.104252614482254,spread,5.04643089343999
TE,close,1053,0.28401668396582336,0.27065527065527073,start,-1.3361413310552628,spread,-0.33889482142068217
TE,dog,1289,0.26796139384002143,0.28083785880527545,start,1.287646496525402,spread,-1.3908087214168696
TE,fav,1186,0.32112233350966674,0.30016863406408106,start,-2.095369944558567,spread,0.44452011954011494
WR,big_dog,2065,0.09917258915038263,0.10121065375302675,boom,0.20380646026441213,spread,-2.661109916209918
WR,big_fav,1697,0.157687081890931,0.17972893341190344,boom,2.204185152097243,spread,3.738535102681354
WR,close,2716,0.13477337842881554,0.13659793814432955,boom,0.18245597155140125,spread,-0.2700563768825853
WR,dog,3491,0.1204035650464113,0.117731309080493,boom,-0.2672255965918302,spread,-0.26844458685486294
WR,fav,3064,0.14856954598825955,0.14392950391644846,boom,-0.4640042071811096,spread,0.5072014906895989
WR,big_dog,2065,0.2158143097624975,0.21646489104116182,start,0.0650581278664325,spread,-4.186237925570263
WR,big_fav,1697,0.30106787511461197,0.32292280494991177,start,2.1854929835299797,spread,4.489763334046193
WR,close,2716,0.2692724185852397,0.2731958762886593,start,0.39234577034196194,spread,0.4370002552646468
WR,dog,3491,0.24909384150737277,0.2537954740761961,start,0.47016325688233607,spread,-0.2053918525932952
WR,fav,3064,0.2887633486638726,0.29014360313315896,start,0.13802544692863572,spread,1.6645390415583938
