position,player_id,season,week,pred_vol,p_start,p_boom,hit_start,hit_boom,stratum,team_spread,implied_total,sb,ib,p_start_platt,p_start_iso,p_start_strat_platt,p_start_strat_iso,p_start_platt_vol,p_start_platt_vegas,p_start_platt_vol_vegas,p_boom_platt,p_boom_iso,p_boom_strat_platt,p_boom_strat_iso,p_boom_platt_vol,p_boom_platt_vegas,p_boom_platt_vol_vegas
RB,00-0023500,2016,1,15.729757098796352,0.3735,0.169,FALSE,FALSE,exante_high,3.5,27.5,fav,high_implied,0.3445275942452211,0.3165829145728643,0.3484128340478104,0.3181818181818182,0.3109884042531955,0.39406507651431694,0.3468813533725661,0.18441056343812592,0.17261904761904762,0.18467782163124788,0.17261904761904762,0.16333360665443591,0.20659166168944754,0.17968132562982
RB,00-0023564,2016,1,12.225909799585098,0.254,0.094,FALSE,FALSE,exante_mid,5.5,24.25,fav,mid_implied,0.24276976421904162,0.21052631578947367,0.1796102212648875,0.18181818181818182,0.2047398993303355,0.2557416071001886,0.1859060223774669,0.11173169974226532,0.09395973154362416,0.08669283290302235,0.08108108108108109,0.09442527087055107,0.12235286865142252,0.09578262210255568
RB,00-0024242,2016,1,15.22229522777237,0.3205,0.1425,TRUE,TRUE,exante_high,3,26.5,fav,high_implied,0.2994506662053702,0.2885746562268708,0.2946796835047199,0.289044289044289,0.28234025982387523,0.33558311609892816,0.31592247411294166,0.15939815113635014,0.1588785046728972,0.15609264831291042,0.16161616161616163,0.1450979511121979,0.17489391669238202,0.15680102671710816
RB,00-0025394,2016,1,15.334477934004424,0.3015,0.128,FALSE,FALSE,exante_high,0,20.5,close,mid_implied,0.2832922755863901,0.21764705882352942,0.2756416635510437,0.23076923076923078,0.27809077180638514,0.2556236086485653,0.2309333173847898,0.1454392124224193,0.1588785046728972,0.14038604679869082,0.16161616161616163,0.13919801316761132,0.13483601277071586,0.12053889356772163
RB,00-0026019,2016,1,12.566856041598106,0.207,0.0715,TRUE,TRUE,exante_mid,NA,NA,NA,NA,0.20228723962272188,0.19230769230769232,0.1679393317076917,0.175,0.194730834888764,0.1997209759866016,0.1819690911998432,0.08843088993767723,0.09166666666666666,0.06805465364720338,0.07258064516129033,0.08543486142631627,0.08698451537044183,0.081434287577988207
RB,00-0026153,2016,1,15.321993197400646,0.3055,0.126,FALSE,FALSE,exante_high,3,22.5,fav,mid_implied,0.28669531811521437,0.21764705882352942,0.2796391411890746,0.23076923076923078,0.27922841161159084,0.2802145084005339,0.2606022017128966,0.14349648469431242,0.09395973154362416,0.13821601704229833,0.1044776119402985,0.13805308071060277,0.14493357203202564,0.13478759886461117
RB,00-0026184,2016,1,15.10020980420352,0.312,0.1325,TRUE,TRUE,exante_high,-2,19.75,close,low_implied,0.2922236115746601,0.23255813953488372,0.2861471145585045,0.23076923076923078,0.27693978811558156,0.25511656008360317,0.2116161077718873,0.14979445080989778,0.1588785046728972,0.14526543132195277,0.16161616161616163,0.13894700548751793,0.1328971044469279,0.1121432708845029
RB,00-0026289,2016,1,13.792114894029854,0.318,0.1265,FALSE,FALSE,exante_mid,1,26,close,mid_implied,0.29732526348841004,0.23255813953488372,0.19422683443184208,0.5,0.2530277017004047,0.32652248943013723,0.24863608546693025,0.14398258268787045,0.09395973154362416,0.11291138618667738,0.1111111111111111,0.12291742738539702,0.1527148120635076,0.12279213123716377
RB,00-0026373,2016,1,14.81397269537581,0.3275,0.148,FALSE,FALSE,exante_high,3,23.75,fav,mid_implied,0.30540124185538653,0.3165829145728643,0.3017249500917218,0.3181818181818182,0.2763377171874028,0.3114407472120064,0.25577500475683457,0.16463909476228655,0.17261904761904762,0.16203823912450724,0.17261904761904762,0.14320075530500687,0.17022841279356865,0.1372519706846727
RB,00-0026796,2016,1,13.99764339551264,0.2315,0.075,FALSE,FALSE,exante_mid,-10.5,16.75,big_dog,low_implied,0.2234558543964673,0.19230769230769232,0.17415406456005844,0.175,0.2276534650067111,0.16728202695126823,0.15541863397224895,0.09212058388578535,0.09166666666666666,0.07098874129492946,0.07258064516129033,0.09800656451988911,0.06751887919340872,0.06904566674458194
RB,00-0027029,2016,1,14.951918852727472,0.26,0.105,TRUE,FALSE,exante_high,-3,20.75,dog,mid_implied,0.2479041610758485,0.21052631578947367,0.2345192247357277,0.2222222222222222,0.25574248065020366,0.22368735891837582,0.22697535386003,0.12280824094686553,0.09395973154362416,0.11537870578313776,0.1044776119402985,0.12333127236726589,0.11002347986326884,0.10694377679411501
RB,00-0027155,2016,1,13.771980922118182,0.2405,0.094,FALSE,FALSE,exante_mid,0,23.25,close,mid_implied,0.23119388373536184,0.21052631578947367,0.1763621299768618,0.18181818181818182,0.22683385732029654,0.23199384183345978,0.22163910709530513,0.11173169974226532,0.09395973154362416,0.08669283290302235,0.08108108108108109,0.10681826000199715,0.11064798708670254,0.10242582655738766
RB,00-0027325,2016,1,14.000643995905277,0.285,0.124,FALSE,FALSE,exante_high,-5.5,21,dog,mid_implied,0.2692432988086247,0.21764705882352942,0.25921348441451764,0.2222222222222222,0.24624373430209293,0.2436482684273653,0.19474970482058648,0.14154928043272405,0.09395973154362416,0.13604511945657838,0.1044776119402985,0.12375682218918829,0.12311282338127234,0.09643569073071138
RB,00-0027791,2016,1,13.175621144722864,0.309,0.127,FALSE,FALSE,exante_mid,4,26,fav,mid_implied,0.28967231814300776,0.23255813953488372,0.19223180712859547,0.2564102564102564,0.2385702780282588,0.3206250519804805,0.23007645428787277,0.14446840235464953,0.09395973154362416,0.11331003337405852,0.1111111111111111,0.11736398063902606,0.15955925619901745,0.1195974902682034
RB,00-0027864,2016,1,12.725690076898998,0.2705,0.105,FALSE,FALSE,exante_mid,5.5,24.25,fav,mid_implied,0.2568761980336037,0.21764705882352942,0.18348891661499628,0.2564102564102564,0.21842482376053432,0.269933889483203,0.19924834578818335,0.12280824094686553,0.09395973154362416,0.09564287484060902,0.1111111111111111,0.10352391921548962,0.13405037139573253,0.10445129565301264
RB,00-0027966,2016,1,15.113063192160723,0.351,0.1645,FALSE,FALSE,exante_high,1,26,close,mid_implied,0.3253798260607021,0.3165829145728643,0.3254942314300091,0.3181818181818182,0.29030857434452395,0.35513058256352303,0.29613796681832794,0.1802036698317357,0.17261904761904762,0.17983476137472248,0.17261904761904762,0.1540028918373149,0.1897396259301138,0.15242483597186923
