position,rank,player_id,player_name,player_disp,posteam,defteam,boom_pct,start_pct,disp_vol,boom_bar,p_boom_recal,board
WR,1,00-0039075,Puka Nacua,Puka Nacua (Q),LA,NYG,36,59,8,20,0.3636666666666667,flex
WR,2,00-0039337,Malik Nabers,Malik Nabers,NYG,LA,26,43,9,20,0.2624254473161034,flex
RB,3,00-0037840,Kyren Williams,Kyren Williams,LA,NYG,25,50,18,20,0.2529044154343564,flex
WR,4,00-0031381,Davante Adams,Davante Adams,LA,NYG,22,40,8,20,0.22448979591836735,flex
RB,5,00-0040715,Cam Skattebo,Cam Skattebo,NYG,LA,17,40,18,20,0.1684085558682204,flex
RB,6,00-0039738,Blake Corum,Blake Corum,LA,NYG,16,38,12,20,0.16225590944220594,flex
TE,7,00-0037838,Isaiah Likely,Isaiah Likely,NYG,LA,15,31,6,17,0.1468626449685872,flex
WR,8,00-0041042,Malachi Fields,Malachi Fields,NYG,LA,14,30,7,20,0.14439140811455847,flex
WR,9,00-0036309,Darnell Mooney,Darnell Mooney,NYG,LA,9,21,6,20,0.08568075117370892,flex
RB,10,00-0037557,Ronnie Rivers,Ronnie Rivers,LA,NYG,8,25,9,20,0.08115788193553193,flex
RB,11,00-0035250,Devin Singletary,Devin Singletary,NYG,LA,8,23,10,20,0.07850362998802182,flex
WR,12,00-0039751,Jordan Whittington,Jordan Whittington (D),LA,NYG,7,21,6,20,0.06790123456790123,flex
TE,13,00-0041510,Max Klare,Max Klare,LA,NYG,7,22,5,17,0.06759537263867949,flex
RB,14,00-0036893,Najee Harris,Najee Harris,NYG,LA,6,22,10,20,0.0627567844403521,flex
TE,15,00-0033110,Tyler Higbee,Tyler Higbee,LA,NYG,6,18,4,17,0.05830308906284837,flex
TE,16,00-0036244,Colby Parkinson,Colby Parkinson,LA,NYG,6,19,4,17,0.05611790252579439,flex
TE,17,00-0040225,Thomas Fidone II,Thomas Fidone II,NYG,LA,6,15,4,17,0.05611790252579439,flex
TE,18,00-0039847,Theo Johnson,Theo Johnson,NYG,LA,5,15,4,17,0.05338724910356462,flex
RB,19,00-0039384,Tyrone Tracy Jr.,Tyrone Tracy Jr.,NYG,LA,5,16,9,20,0.05176970281123504,flex
RB,20,00-0033376,Patrick Ricard,Patrick Ricard,NYG,LA,5,18,9,20,0.05073170723123132,flex
TE,21,00-0040737,Terrance Ferguson,Terrance Ferguson,LA,NYG,5,17,4,17,0.04956610774783282,flex
WR,22,00-0041399,CJ Daniels,CJ Daniels,LA,NYG,4,12,5,20,0.04385964912280701,flex
WR,23,00-0038359,Xavier Smith,Xavier Smith,LA,NYG,4,12,5,20,0.04385964912280701,flex
WR,24,00-0036849,Tutu Atwell,Tutu Atwell,LA,NYG,4,11,5,20,0.04385964912280701,flex
TE,25,00-0031484,Chris Manhertz,Chris Manhertz,NYG,LA,4,14,4,17,0.04247644574696996,flex
TE,26,00-0039074,Davis Allen,Davis Allen,LA,NYG,4,15,4,17,0.04193151520405128,flex
WR,27,00-0040590,Konata Mumpfield,Konata Mumpfield,LA,NYG,3,10,5,20,0.0332425068119891,flex
WR,28,00-0031235,Odell Beckham Jr.,Odell Beckham Jr.,NYG,LA,2,2,5,20,0,flex
QB,1,00-0040691,Jaxson Dart,Jaxson Dart,NYG,LA,24,44,37,NA,0.2378691419027316,qb
QB,2,00-0026498,Matthew Stafford,Matthew Stafford,LA,NYG,14,35,34,NA,0.14332243221860283,qb
QB,3,00-0039107,Stetson Bennett,Stetson Bennett,LA,NYG,14,34,33,NA,0.13832243221860285,qb
QB,4,00-0041568,Ty Simpson,Ty Simpson,LA,NYG,8,33,32,NA,0.08224240766087534,qb
QB,5,00-0031503,Jameis Winston,Jameis Winston,NYG,LA,4,18,32,NA,0.03695095393465202,qb
