content_tier,content_rank,position,player_id,player_name,player_disp,posteam,defteam,model_rank,ecr_rank,rank_gap,start_pct,boom_pct,disp_vol,report_status,p_start_recal,p_boom_recal,pred_vol,content_score
swing,3,WR,00-0038117,Wan'Dale Robinson,Wan'Dale Robinson,TEN,NYJ,9,38,29,46,29,10,NA,0.4609089704600888,0.2911392405063291,9.533226416425146,0.5971392405063292
swing,4,WR,00-0034960,Jakobi Meyers,Jakobi Meyers,JAX,CLE,23,42,19,35,18,7,NA,0.3465206660182842,0.1778975741239892,7.484148932031186,0.3778975741239892
swing,5,TE,00-0038129,Cade Otton,Cade Otton,TB,CIN,3,20,17,38,14,6,NA,0.37626387380049986,0.1430439067050683,6.311471411042866,0.32904390670506833
swing,6,WR,00-0035640,DK Metcalf,DK Metcalf,PIT,ATL,22,31,9,35,18,8,NA,0.3506850911187548,0.1778975741239892,7.679946635152878,0.2778975741239892
swing,7,WR,00-0031381,Davante Adams,Davante Adams,LA,SF,18,21,3,36,18,8,NA,0.3642257953182703,0.1778975741239892,7.543026901958908,0.21989757412398922
swing,8,RB,00-0036973,Travis Etienne,Travis Etienne,NO,DET,16,18,2,33,14,18,NA,0.32602808628911206,0.14072285115964447,17.793343306006953,0.16672285115964447
swing,9,TE,00-0034753,Mark Andrews,Mark Andrews,BAL,IND,13,15,2,31,13,6,NA,0.3124474427036737,0.1348565761407613,5.585258395874917,0.1568565761407613
swing,10,TE,00-0038041,Jake Ferguson,Jake Ferguson,DAL,NYG,10,11,1,32,12,6,NA,0.32229786123028537,0.1179198426131303,5.69716861729956,0.1319198426131303
swing,11,WR,00-0040129,Emeka Egbuka,Emeka Egbuka,TB,CIN,21,20,-1,35,18,8,NA,0.3543297490652536,0.1778975741239892,7.712872869288881,0.18789757412398922
swing,12,WR,00-0036613,Jaylen Waddle,Jaylen Waddle,DEN,KC,20,18,-2,36,18,8,NA,0.3590167549779529,0.1778975741239892,7.840203885636542,0.18989757412398922
swing,13,TE,00-0038935,Brenton Strange,Brenton Strange,JAX,CLE,18,16,-2,29,17,6,NA,0.28878809462733224,0.17083274456983044,5.741307279052834,0.17083274456983044
swing,14,RB,00-0036997,Javonte Williams,Javonte Williams,DAL,NYG,15,13,-2,36,16,18,NA,0.3554224521054171,0.1587653406957067,17.587261409369006,0.1707653406957067
swing,15,TE,00-0033090,Hunter Henry,Hunter Henry,NE,SEA,20,18,-2,29,13,6,NA,0.2878213434549809,0.13376451171525858,5.941405541797573,0.13376451171525858
