stratum,n,pred,emp,delta_pp,method,threshold,position
exante_low,295,0.13312372881355933,0.10508474576271186,-2.803898305084747,raw,12+,TE
exante_mid,4652,0.2758445829750645,0.2577386070507309,-1.8105975924333606,raw,12+,TE
exante_high,687,0.5075043668122271,0.5283842794759825,2.087991266375544,raw,12+,TE
exante_low,295,0.12767926476014116,0.10508474576271186,-2.25945189974293,iso,12+,TE
exante_mid,4652,0.2617280419678941,0.2577386070507309,-0.3989434917163248,iso,12+,TE
exante_high,687,0.47753065101282866,0.5283842794759825,5.085362846315389,iso,12+,TE
exante_low,295,0.13129247161187121,0.10508474576271186,-2.6207725849159353,platt_vol,12+,TE
exante_mid,4652,0.2642776040914162,0.2577386070507309,-0.6538997040685335,platt_vol,12+,TE
exante_high,687,0.5268594769601049,0.5283842794759825,0.15248025158776102,platt_vol,12+,TE
exante_low,295,0.029154237288135598,0.01694915254237288,-1.2205084745762718,raw,17+,TE
exante_mid,4652,0.09323452278589854,0.09931212381771282,0.6077601031814275,raw,17+,TE
exante_high,687,0.2522496360989811,0.2852983988355167,3.304876273653562,raw,17+,TE
exante_low,295,0.00966204478557653,0.01694915254237288,0.728710775679635,iso,17+,TE
exante_mid,4652,0.1021006861646571,0.09931212381771282,-0.2788562346944287,iso,17+,TE
exante_high,687,0.25017400051033073,0.2852983988355167,3.512439832518599,iso,17+,TE
exante_low,295,0.033412251036168364,0.01694915254237288,-1.6463098493795483,strat_platt,17+,TE
exante_mid,4652,0.1012650246598373,0.09931212381771282,-0.19529008421244887,strat_platt,17+,TE
exante_high,687,0.2643456870727384,0.2852983988355167,2.09527117627783,strat_platt,17+,TE
