position,tier,resid
RB,low,-0.8798203784259393
RB,low,-0.6138111326133879
RB,low,4.680425702681606
RB,low,-1.6007811340089995
RB,low,-0.46255218772075885
RB,low,-0.4282178662852068
RB,low,-2.4256535266750503
RB,low,-2.259322732152253
RB,low,4.908905744099583
RB,low,3.857834279268268
RB,low,-0.6808983164803483
RB,low,-0.844000145093226
RB,low,3.1839348120426836
RB,low,-0.7381290311143108
RB,low,1.6400579631711656
RB,low,-1.709269204847803
RB,low,-3.667872246718322
RB,low,-0.3688640472608245
RB,low,0.22367948891162595
RB,low,1.095425159335744
RB,low,0.7233788449667437
RB,low,-0.5808899261734527
RB,low,-0.2785051160249686
RB,low,4.591164769663198
RB,low,2.782667351587463
RB,low,-3.072453441747396
RB,low,0.10473782140637425
RB,low,3.61804049698381
RB,low,-0.7881394758474315
RB,low,-0.555784740839017
RB,low,-1.1835737242433693
RB,low,0.34706328596200897
RB,low,-0.72978522650738
RB,low,-0.6972203551900803
RB,low,2.8986405553571926
RB,low,-1.2235871562026968
RB,low,-0.6753675711013405
RB,low,0.48776672688265493
RB,low,-0.7875577581638714
RB,low,-0.9094846804079555
RB,low,0.8407563997396531
RB,low,-0.6241651881982543
RB,low,0.8957707939730096
RB,low,0.2629905465121838
RB,low,1.5758186004855026
RB,low,-2.0454387099476854
RB,low,-0.9291133550089857
RB,low,5.530194039498192
RB,low,4.910556228792813
RB,low,-1.0131483574403082
RB,low,-1.7971107331910743
RB,low,0.8936456302387541
RB,low,-4.370633449195336
RB,low,2.441669913019129
RB,low,0.2193398476631032
RB,low,-0.4434258253458596
RB,low,-1.9515412849105147
RB,low,-4.082512667644976
RB,low,-0.7763819001901537
RB,low,-0.6168398957358475
RB,low,2.516056002367716
RB,low,-0.7104093575656707
RB,low,-0.7817334617302458
RB,low,-0.7328115760503954
RB,low,-0.02001145021424734
RB,low,-0.3703493901901284
RB,low,1.0998118873854406
RB,low,2.648678556985244
RB,low,-1.6651327543251944
RB,low,-1.829449221018926
RB,low,-1.5606295548613833
RB,low,-0.8204451728576528
RB,low,-0.32484266627724634
RB,low,-1.2652005319195674
RB,low,1.9667413842911912
RB,low,-2.480499239987674
RB,low,4.6922327857444195
RB,low,1.1128753742759294
RB,low,0.5952605259739749
RB,low,-0.6283233290503152
RB,low,-1.7443955640840563
