fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
86,7,0.05,10,172,7.346,7,0.02,50,194,5.1375
87,7,0.02,10,290,7.2944,7,0.05,50,67,5.1291
88,15,0.02,10,160,7.3559,7,0.02,50,169,5.2187
89,7,0.05,50,118,7.3959,7,0.05,10,88,5.2172
90,7,0.05,20,99,7.405,7,0.05,20,90,5.1981
91,7,0.05,20,99,7.4054,7,0.05,20,90,5.2548
92,15,0.05,20,51,7.295,7,0.02,50,220,5.2194
93,15,0.02,20,198,7.1413,7,0.02,50,188,5.242
94,15,0.02,20,226,7.1565,7,0.02,50,189,5.2386
95,15,0.02,10,165,7.0898,7,0.02,50,205,5.2102
96,15,0.02,10,181,7.1104,7,0.02,50,205,5.1775
97,7,0.05,10,118,7.1865,7,0.05,50,80,5.214
98,31,0.02,50,119,7.2296,7,0.02,50,202,5.2343
99,31,0.02,10,132,7.1712,7,0.02,50,184,5.2475
100,15,0.05,50,74,7.2806,7,0.02,50,206,5.3114
101,15,0.05,50,74,7.3227,7,0.02,50,203,5.3071
102,31,0.05,50,70,7.3903,15,0.02,20,160,5.2643
103,7,0.05,10,113,7.2946,15,0.05,20,60,5.2459
104,7,0.05,50,122,7.2877,7,0.05,50,88,5.2381
105,7,0.02,50,252,7.2987,7,0.05,50,105,5.2458
106,15,0.05,100,77,7.3307,7,0.05,50,105,5.2822
107,15,0.05,100,80,7.2565,15,0.05,20,65,5.3296
108,15,0.02,50,163,7.2234,15,0.05,50,57,5.38
109,15,0.02,100,130,7.1849,15,0.05,50,60,5.4103
110,15,0.02,50,157,7.2179,15,0.05,50,48,5.4219
111,15,0.02,50,166,7.1691,15,0.05,50,48,5.4312
112,15,0.05,100,71,7.1335,15,0.02,50,160,5.4187
113,31,0.05,100,53,7.1553,15,0.05,50,61,5.4547
114,31,0.02,50,140,7.2004,15,0.02,50,146,5.4088
115,15,0.02,50,191,7.2967,15,0.05,50,53,5.4782
116,15,0.02,50,191,7.2441,15,0.05,50,53,5.5079
117,15,0.05,50,94,7.3061,31,0.02,50,135,5.489
118,15,0.02,50,185,7.3157,15,0.02,50,136,5.5483
