position,arm,n,weeks,stat,stat_a,stat_b,delta,ci_lo,ci_hi,bar,floor,verdict
RB,lagusage,1560,119,spearman,0.16267652933830543,0.15310196138250914,-0.009574567955796282,-0.06560007972290725,0.04610573670404788,0.02,0.174,NEUTRAL
RB,lagusage,1560,119,concordance,0.5537336265417344,0.5512477292284157,-0.002485897313318719,-0.02135088427796568,0.015688227435348968,0.01,0.174,NEUTRAL
