position,rank,player_id,player_name,player_disp,posteam,defteam,boom_pct,start_pct,disp_vol,p_boom_recal,board
RB,51,00-0039384,Tyrone Tracy Jr.,Tyrone Tracy Jr.,NYG,WAS,14,29,14,0.13655968702400667,flex
RB,52,00-0040730,RJ Harvey,RJ Harvey,DEN,GB,14,30,15,0.1356736258486101,flex
WR,53,00-0031381,Davante Adams,Davante Adams (Q),LA,DET,14,30,7,0.13515558801159372,flex
RB,54,00-0033293,Aaron Jones,Aaron Jones,MIN,DAL,13,28,15,0.13363211716916798,flex
WR,55,00-0031408,Mike Evans,Mike Evans (Q),TB,ATL,13,30,7,0.13243630422595404,flex
WR,56,00-0039893,Brian Thomas Jr.,Brian Thomas Jr.,JAX,NYJ,13,28,7,0.13080174688903334,flex
RB,57,00-0038134,Kenneth Walker III,Kenneth Walker III,SEA,IND,13,29,15,0.13070685953207944,flex
RB,58,00-0036875,Rhamondre Stevenson,Rhamondre Stevenson,NE,BUF,13,28,15,0.12603786164585618,flex
WR,59,00-0039067,Rashee Rice,Rashee Rice,KC,LAC,13,26,7,0.12588430565384798,flex
WR,60,00-0033555,Mack Hollins,Mack Hollins,NE,BUF,12,29,6,0.12369199143599158,flex
WR,61,00-0040124,Tetairoa McMillan,Tetairoa McMillan,CAR,NO,12,27,7,0.12204495046278206,flex
WR,62,00-0035719,Deebo Samuel Sr.,Deebo Samuel Sr. (Q),WAS,NYG,12,24,7,0.11708904502264132,flex
WR,63,00-0033921,Chris Godwin Jr.,Chris Godwin Jr.,TB,ATL,11,24,6,0.11044535065312772,flex
RB,64,00-0037228,Jaylen Warren,Jaylen Warren,PIT,MIA,11,25,15,0.11029589360554534,flex
WR,65,00-0036309,Darnell Mooney,Darnell Mooney,ATL,TB,11,25,6,0.10933393764469602,flex
RB,66,00-0037197,Isiah Pacheco,Isiah Pacheco,KC,LAC,11,25,14,0.10872194290492795,flex
WR,67,00-0038606,Parker Washington,Parker Washington (Q),JAX,NYJ,11,24,6,0.10822131262491368,flex
WR,68,00-0039894,Xavier Worthy,Xavier Worthy,KC,LAC,11,22,6,0.10822131262491368,flex
WR,69,00-0036407,Jerry Jeudy,Jerry Jeudy,CLE,CHI,11,23,6,0.10766454171476596,flex
WR,70,00-0037614,John Metchie III,John Metchie III,NYJ,JAX,10,23,6,0.10263956033468336,flex
WR,71,00-0039424,Devaughn Vele,Devaughn Vele,NO,CAR,10,23,6,0.0992751217302014,flex
RB,72,00-0035250,Devin Singletary,Devin Singletary,NYG,WAS,9,24,14,0.09288403828735732,flex
WR,73,00-0031588,Stefon Diggs,Stefon Diggs,NE,BUF,9,21,6,0.09194371670857034,flex
WR,74,00-0038563,Tre Tucker,Tre Tucker,LV,PHI,9,21,7,0.09081052105536434,flex
WR,75,00-0037816,Romeo Doubs,Romeo Doubs,GB,DEN,9,21,6,0.08910798631516466,flex
WR,76,00-0036040,Juwan Johnson,Juwan Johnson,NO,CAR,9,21,6,0.08797110867130341,flex
WR,77,00-0035535,Darius Slayton,Darius Slayton,NYG,WAS,9,20,6,0.08626296267800528,flex
WR,78,00-0030279,Keenan Allen,Keenan Allen,LAC,KC,9,19,6,0.08569281628601505,flex
WR,79,00-0039491,Jalen Coker,Jalen Coker,CAR,NO,8,22,6,0.08455136172090544,flex
RB,80,00-0039738,Blake Corum,Blake Corum,LA,DET,8,21,13,0.08420892253822723,flex
WR,81,00-0039146,Jayden Reed,Jayden Reed,GB,DEN,8,21,6,0.08398004836040729,flex
WR,82,00-0033908,Cooper Kupp,Cooper Kupp,SEA,IND,8,19,6,0.08398004836040729,flex
RB,83,00-0039165,Zach Charbonnet,Zach Charbonnet,SEA,IND,8,18,13,0.08283707097409425,flex
RB,84,00-0040242,Jacory Croskey-Merritt,Jacory Croskey-Merritt,WAS,NYG,8,20,12,0.08186699085564009,flex
WR,85,00-0037261,Khalil Shakir,Khalil Shakir,BUF,NE,8,20,6,0.08111751366729804,flex
WR,86,00-0039916,Ricky Pearsall,Ricky Pearsall,SF,TEN,8,20,6,0.07651608047813772,flex
WR,87,00-0040735,Luther Burden III,Luther Burden III,CHI,CLE,8,18,6,0.07593898827582496,flex
