player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_target_share,baseline_air_yards_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,baseline_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0035719,WAS,NYG,2025_15_WAS_NYG,0.23472271153201169,0.21499521565674226,0.061352240443654914,3.328630460747094,0.1366813054662922,0.1366813054662922,FALSE,r2_3,0.175704989154013,0.15403969807100923,Deebo Samuel Sr.,0.09804140606571948,67.2189824075931,68.88235294117646,0.6716377504503851,0.7313333333333334,13,FALSE,-0.22191576843475525,0.5160428755745192,2025,15,-1.5,22,Questionable,Did Not Participate In Practice
00-0036040,NO,CAR,2025_15_CAR_NO,0.6878869426295763,0.16587305826157134,0.1515317572844373,6.666424945850391,0.2480966281385524,0.2480966281385524,FALSE,udfa,0.12408759124087591,0.13247759748123034,Juwan Johnson,0.4397903144910239,65.76739228253011,65,0.6426190086976159,0.6417647058823529,13,FALSE,-0.09182476002393584,0.023025396081223896,2025,15,-1.5,19,NA,NA
00-0036252,IND,SEA,2025_15_IND_SEA,-0.23625528996496145,0.20861791819914166,0.2429306226324306,7.859789775315803,0.01105751855109637,0.01105751855109637,FALSE,r2_3,0.2204724409448819,0.23928640682567384,Michael Pittman,-0.24731280851605783,66.13622276412626,65,0.8425633446301786,0.880625,13,FALSE,-0.7909549910695961,-0.4647493053309505,2025,15,-10.5,16,NA,NA
00-0036259,SF,TEN,2025_15_TEN_SF,0.3075058774767281,0.2193332097601024,0.29267865801551307,9.241528156526108,0.3826531514570794,0.3826531514570794,FALSE,r6_udfa,0.2220039292730845,0.2765011119347665,Jauan Jennings,-0.07514727398035131,64.31308889229686,64.29411764705883,0.8343387975010996,0.744,13,FALSE,-0.3013153918461268,0.7221623396031048,2025,15,12.5,28.5,NA,NA
00-0036309,ATL,TB,2025_15_ATL_TB,0.08237665979991177,0.16384039527839428,0.31183202897511725,13.333332270015866,0.4142168730663383,0.4142168730663383,FALSE,r4_5,0.19133574007220217,0.3203763307749443,Darnell Mooney,-0.33184021326642654,64.85678173045648,68.17647058823529,0.8352544149543042,0.9275,13,FALSE,-0.1520640439599745,0.20047687715383095,2025,15,-4.5,19.5,NA,NA
00-0036322,MIN,DAL,2025_15_MIN_DAL,-0.5930793129426396,0.21725668296526648,0.3590752839141984,10.238967203686329,0.41683838703318954,0.41683838703318954,FALSE,r1,0.25752508361204013,0.36367567567567566,Justin Jefferson,-1.009917699975829,56.68127729064463,66.41176470588235,0.9369039453571988,0.9317647058823529,13,FALSE,-0.08680821875704374,0.4913910247494756,2025,15,-5.5,21,NA,Limited Participation in Practice
00-0036358,DAL,MIN,2025_15_MIN_DAL,0.4595931717364895,0.22266800842839343,0.3386183593997999,12.62517235743839,0.12846782508986015,0.12846782508986015,FALSE,r1,0.25163398692810457,0.2831310968355936,CeeDee Lamb,0.33112534664662935,72.99392296012175,70.58823529411765,0.7200235261998614,0.8019999999999999,13,FALSE,-0.49178310749980614,0.021579831895118206,2025,15,5.5,26.5,NA,Full Participation in Practice
00-0036407,CLE,CHI,2025_15_CLE_CHI,-0.375768680061211,0.17382367795359197,0.317669677088409,13.109635092718475,0.26215242477629935,0.26215242477629935,FALSE,r1,0.20136054421768707,0.3128762866576034,Jerry Jeudy,-0.6379211048375104,65.50734856694098,71.3529411764706,0.8273493084544331,0.8970588235294118,13,FALSE,-0.11135735757163573,0.14379934396827834,2025,15,-7.5,16,NA,NA
00-0036415,TEN,SF,2025_15_TEN_SF,0.38097166973250374,0.11528707808040545,0.1864538200569221,9.387763511133656,0.05174881749736078,0.05174881749736078,FALSE,r2_3,0.08196721311475409,0.13124470787468248,Van Jefferson,0.32922285223514297,64.6174532046021,66.3529411764706,0.8151889426860651,0.6470588235294118,13,FALSE,0.3884938492293151,0.3729203946949546,2025,15,-12.5,16,NA,NA
00-0036554,HOU,ARI,2025_15_ARI_HOU,0.5820472993156616,0.22763036632643757,0.36082494087544625,14.187302508843391,0.43265523566382735,0.43265523566382735,FALSE,r2_3,0.22,0.33790951638065525,Nico Collins,0.14939206365183422,72.22870128972784,66.47058823529412,0.8007875041499475,0.6625,13,FALSE,-0.40763518242263225,0.3705444257125089,2025,15,7.5,25,NA,NA
00-0036613,MIA,PIT,2025_15_MIA_PIT,0.264525522961229,0.28137842685080205,0.589763696839083,14.027612976945699,0.47242167023816106,0.47242167023816106,FALSE,r1,0.14782608695652175,0.24583828775267538,Jaylen Waddle,-0.20789614727693206,59.994480780476636,68.29411764705883,0.83487101878894,0.7866666666666666,13,FALSE,-0.45410564837089107,0.9889885866948186,2025,15,-3.5,19,NA,NA
00-0036900,CIN,BAL,2025_15_BAL_CIN,-0.2642067874347753,0.2749384889932647,0.2936641694986794,8.123044693811641,0.4400596645590096,0.4400596645590096,FALSE,r1,0.2492877492877493,0.33073255309926314,Ja'Marr Chase,-0.7042664519937849,70.30678097209044,68.17647058823529,0.9873925521713705,0.9229411764705883,13,FALSE,-0.2467715176872115,0.9424502056947701,2025,15,-1.5,25,NA,NA
00-0036963,DET,LA,2025_15_DET_LA,-0.2644639016198923,0.2163805488738373,0.35010851586902747,6.506547925413713,0.6835567584462947,0.6835567584462947,FALSE,r4_5,0.24102564102564103,0.3100086033839977,Amon-Ra St. Brown,-0.948020660066187,64.55102033937723,67.70588235294117,0.7197995385763952,0.8829411764705882,13,FALSE,-0.24330069873737087,0.36965574832658504,2025,15,-3.5,24,NA,NA
00-0037231,NO,CAR,2025_15_CAR_NO,-1.2293068341678008,0.023255813953488372,0.06628242074927954,23,0.10688417500932701,0.10688417500932701,FALSE,udfa,0.07885304659498207,0.11677186654643823,Kevin Austin Jr.,-1.3361910091771279,65.76739228253011,65,0.11310948103400933,0.665,13,FALSE,-0.09182476002393584,0.023025396081223896,2025,15,-1.5,19,NA,NA
