position,player_name,posteam,model_rank,ecr_rank,rank_gap,start_pct
WR,Marvin Harrison Jr.,ARI,183,54,-129,7
WR,Nico Collins,HOU,22,130,108,37
WR,Jerry Jeudy,CLE,184,80,-104,6
WR,Xavier Legette,CAR,185,89,-96,5
WR,Jalen Nailor,LV,158,66,-92,9
TE,Darnell Washington,PIT,118,33,-85,11
WR,Arian Smith,NYJ,89,167,78,15
WR,Skyler Bell,BUF,90,168,78,15
TE,Ben Sinnott,WAS,124,47,-77,9
WR,Darius Slayton,IND,51,126,75,25
TE,Daniel Bellinger,TEN,122,49,-73,10
WR,Olamide Zaccheaus,ATL,170,97,-73,9
WR,Germie Bernard,PIT,147,75,-72,9
WR,Antonio Williams,WAS,144,73,-71,10
RB,Kendre Miller,NO,29,99,70,22
WR,CJ Daniels,LA,92,161,69,14
WR,Jordan Watkins,SF,84,151,67,18
WR,Zachariah Branch,ATL,157,90,-67,9
WR,Chimere Dike,TEN,176,110,-66,8
WR,Kevin Coleman Jr.,MIA,178,112,-66,8
RB,Devin Singletary,NYG,120,55,-65,2
WR,Odell Beckham Jr.,NYG,188,123,-65,2
TE,Colson Yankoff,WAS,125,62,-63,9
WR,Ke'Shawn Williams,CIN,100,163,63,13
WR,Rome Odunze,CHI,105,42,-63,12
TE,Mitchell Evans,CAR,112,51,-61,12
TE,Foster Moreau,HOU,114,53,-61,12
WR,Troy Franklin,DEN,149,88,-61,9
TE,Jeremy Ruckert,NYJ,116,57,-59,11
WR,Puka Nacua,LA,2,60,58,61
TE,Blake Whiteheart,CLE,120,63,-57,11
WR,Chris Bell,MIA,130,74,-56,10
TE,Johnny Mundt,PHI,109,54,-55,12
TE,Will Kacmarek,MIA,123,69,-54,10
WR,Michael Pittman,PIT,57,111,54,23
WR,Reggie Virgil,ARI,110,164,54,11
TE,Cole Kmet,CHI,90,37,-53,14
QB,Case Keenum,CHI,84,32,-52,12
QB,Cooper Rush,ATL,88,36,-52,5
WR,KaVontae Turpin,DAL,160,108,-52,9
WR,Xavier Smith,LA,166,114,-52,9
WR,Dohnte Meyers,CIN,179,127,-52,8
TE,John Bates,WAS,106,55,-51,13
WR,Elijah Moore,PHI,118,169,51,11
TE,Greg Dulcich,MIA,81,31,-50,14
RB,Mike Washington Jr.,LV,100,51,-49,7
WR,Travis Hunter,JAX,155,106,-49,9
WR,Ryan Miller,MIA,181,132,-49,7
TE,Tyler Higbee,LA,83,36,-47,14
TE,Elijah Arroyo,SEA,92,45,-47,14
WR,Kyle Williams,NE,143,96,-47,10
WR,Malik Benson,LV,171,124,-47,8
WR,Dyami Brown,WAS,153,107,-46,9
WR,Jordan Whittington,LA,109,154,45,11
TE,Marlin Klein,HOU,105,61,-44,13
WR,Ladd McConkey,LAC,61,17,-44,23
WR,Stefon Diggs,WAS,72,28,-44,20
WR,Tre Tucker,LV,91,47,-44,15
WR,Cyrus Allen,KC,162,118,-44,9
RB,Rico Dowdle,PIT,31,74,43,22
RB,LeQuint Allen Jr.,JAX,109,66,-43,6
RB,Kaytron Allen,WAS,112,69,-43,6
RB,Max Bredeson,MIN,61,103,42,10
TE,Josh Cuevas,BAL,30,72,42,21
WR,Pat Bryant,DEN,107,65,-42,11
WR,Jaylin Noel,HOU,111,70,-41,11
RB,Kene Nwangwu,NYJ,72,112,40,9
RB,Raheim Sanders,CLE,99,59,-40,7
RB,Ollie Gordon II,MIA,110,70,-40,6
TE,Jared Wiley,KC,28,68,40,21
WR,DeMario Douglas,NE,42,82,40,28
WR,Marvin Mims Jr.,DEN,99,139,40,13
WR,Romeo Doubs,NE,69,30,-39,20
QB,Fernando Mendoza,LV,77,39,-38,14
RB,Demond Claiborne,MIN,111,73,-38,6
TE,Charlie Woerner,ATL,121,83,-38,10
WR,Laquon Treadwell,IND,122,84,-38,10
RB,British Brooks,HOU,69,106,37,9
TE,Chig Okonkwo,WAS,101,64,-37,13
WR,Tylan Wallace,CLE,121,158,37,10
WR,Konata Mumpfield,LA,138,101,-37,10
WR,Tutu Atwell,LA,139,102,-37,10
WR,Tez Johnson,TB,140,103,-37,10
TE,Jonnu Smith,GB,79,43,-36,14
WR,Jalen McMillan,TB,62,98,36,22
WR,Jaylin Lane,WAS,180,144,-36,8
RB,Ray Davis,BUF,95,60,-35,7
TE,Sam Roush,CHI,95,60,-35,13
TE,Jackson Hawes,BUF,33,67,34,20
TE,Erick All,CIN,82,48,-34,14
WR,Isaiah Bond,CLE,165,131,-34,9
WR,Jayden Reed,GB,187,153,-34,2
WR,Andrei Iosivas,CIN,80,113,33,18
RB,Alvin Kamara,NO,24,56,32,29
RB,Tyrone Tracy Jr.,NYG,96,64,-32,7
TE,Max Klare,LA,47,79,32,18
WR,Devontez Walker,BAL,67,99,32,21
WR,Chris Godwin Jr.,TB,68,36,-32,20
WR,Jared Wayne,HOU,137,105,-32,10
RB,Jaylen Wright,MIA,103,72,-31,7
RB,Seth McGowan,IND,106,75,-31,6
TE,Josh Oliver,MIN,77,46,-31,14
WR,Treylon Burks,WAS,164,133,-31,9
WR,Cody White,LV,168,137,-31,9
RB,Ty Johnson,BUF,50,80,30,12
RB,Sean Tucker,TB,115,85,-30,6
WR,Kayshon Boutte,HOU,83,53,-30,18
QB,Shedeur Sanders,CLE,67,38,-29,14
QB,Carson Beck,ARI,76,47,-29,14
RB,Rachaad White,WAS,63,34,-29,10
QB,Mason Rudolph,PIT,87,59,-28,6
RB,Tahj Brooks,CIN,70,98,28,9
RB,Tyler Badie,DEN,107,79,-28,6
WR,Isaac TeSlaa,DET,59,87,28,23
WR,Jauan Jennings,MIN,88,116,28,15
WR,Marquise Brown,PHI,106,134,28,12
QB,Cade Klubnik,NYJ,72,45,-27,14
RB,DJ Giddens,IND,73,100,27,9
WR,Zay Flowers,BAL,19,46,27,39
WR,Elic Ayomanor,TEN,66,93,27,21
RB,DeeJay Dallas,MIN,42,68,26,18
WR,Ryan Flournoy,DAL,41,67,26,28
WR,Efton Chism III,NE,182,156,-26,7
QB,Kyle McCord,MIA,83,58,-25,13
RB,Will Shipley,PHI,86,61,-25,8
RB,Emari Demercado,DAL,90,65,-25,7
WR,Xavier Hutchinson,HOU,33,58,25,34
WR,Keon Coleman,BUF,39,64,25,30
WR,Luther Burden III,CHI,60,35,-25,23
WR,Ashton Dulin,IND,177,152,-25,8
RB,Rasheen Ali,BAL,66,90,24,10
TE,Ja'Tavion Sanders,CAR,49,73,24,17
WR,Malachi Fields,NYG,44,68,24,27
WR,Makai Lemon,PHI,85,61,-24,17
WR,Tory Horton,SEA,104,128,24,12
WR,Barion Brown,NO,116,140,24,11
WR,Chris Blair,ATL,169,145,-24,9
QB,Jayden Daniels,WAS,26,49,23,20
RB,Blake Corum,LA,54,31,-23,11
RB,Frank Gore Jr.,BUF,74,97,23,9
TE,Elijah Higgins,ARI,89,66,-23,14
TE,Eric Saubert,SEA,108,85,-23,13
QB,Ty Simpson,LA,79,57,-22,14
QB,Mitchell Trubisky,TEN,85,63,-22,11
RB,Jordan James,SF,62,84,22,10
RB,Braelon Allen,NYJ,65,43,-22,10
RB,Samaje Perine,CIN,80,58,-22,8
RB,Michael Burton,CLE,88,110,22,8
TE,Josh Whyle,GB,55,77,22,16
TE,Noah Gray,KC,60,38,-22,15
TE,Cade Stover,HOU,111,89,-22,12
WR,John Metchie III,CAR,119,141,22,11
WR,Derius Davis,LAC,125,147,22,10
RB,Alec Ingold,LAC,67,88,21,10
RB,Keaton Mitchell,LAC,68,47,-21,9
WR,Rashod Bateman,BAL,18,39,21,39
WR,Mike Evans,SF,37,16,-21,30
QB,Joshua Dobbs,DET,45,65,20,14
WR,Keenan Allen,IND,75,55,-20,19
QB,Andy Dalton,PHI,43,62,19,14
RB,Najee Harris,NYG,43,62,19,18
RB,Rhamondre Stevenson,NE,47,28,-19,14
TE,Mike Gesicki,CIN,8,27,19,43
TE,Brock Wright,DET,62,81,19,15
TE,Davis Allen,LA,103,84,-19,13
TE,Seydou Traore,MIA,110,91,-19,12
WR,Brenen Thompson,LAC,81,100,19,18
WR,Skyy Moore,GB,123,104,-19,10
WR,Jahdae Walker,CHI,161,142,-19,9
RB,RJ Harvey,DEN,34,52,18,21
