component,stratum,nominal,empirical,sharpness,delta
efficiency,low_opp_5_8,0.5,0.3906198753689734,0.3736546117435878,-0.10938012463102659
efficiency,low_opp_5_8,0.8,0.6753033781567727,0.7535914517378691,-0.12469662184322738
efficiency,low_opp_5_8,0.9,0.8081338143653657,1.0296356949398706,-0.09186618563463433
volume,low_opp_5_8,0.5,0.4155460806821909,7.589465760574885,-0.0844539193178091
volume,low_opp_5_8,0.8,0.7855034437520498,14.354249745964731,-0.01449655624795021
volume,low_opp_5_8,0.9,0.89996720236143,19.00248977557664,-3.279763857000351e-5
combined,low_opp_5_8,0.5,0.508691374221056,3.4435409270218797,0.008691374221056036
combined,low_opp_5_8,0.8,0.8081338143653657,6.850400530542094,0.008133814365365644
combined,low_opp_5_8,0.9,0.8976713676615283,9.118578218065824,-0.0023286323384716923
