player_id,player_name,posteam,defteam,season,week,game_id,epa_per_opp_obs,opportunities,targets,target_share_obs,air_yards_obs,air_yards_share_obs,air_yards_per_target_obs,team_total_plays_obs,total_epa,prior_epa_per_opp,baseline_epa_per_opp,rolling_epa_per_opp,form_residual,is_cold_start,draft_tier,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,wt_snap_share,wt_tgt_per_snap,wt_team_total_plays,baseline_target_share,baseline_air_yards_share,baseline_snap_share,baseline_tgt_per_snap,baseline_team_total_plays,def_short_pass_epa_adj,def_deep_pass_epa_adj,games_played_so_far,def_used_fallback
00-0021547,Antonio Gates,LAC,ARI,2014,1,2014_01_SD_ARI,0.26823029323131775,10,10,0.2777777777777778,106,0.3072463768115942,10.6,63,2.6823029323131777,0.2727458359503569,0.2727458359503569,NA,NA,FALSE,udfa,NA,NA,NA,NA,NA,NA,0.19686411149825783,0.1906116642958748,0.18128571428571427,0,71.3125,0.09631506445182007,0.43980567064399156,0,TRUE
00-0021547,Antonio Gates,LAC,SEA,2014,2,2014_02_SEA_SD,2.1114146466134116,7,7,0.18421052631578946,86,0.3644067796610169,12.285714285714286,82,14.779902526293881,0.2727458359503569,0.2727458359503569,0.26823029323131775,-0.004515542719039145,FALSE,udfa,0.2777777777777778,0.3072463768115942,10.6,NA,NA,63,0.19686411149825783,0.1906116642958748,0.18128571428571427,0,71.3125,-0.4833296941437871,0.4246522430153514,1,TRUE
00-0021547,Antonio Gates,LAC,JAX,2014,4,2014_04_JAX_SD,-0.12394208615082469,5,5,0.12195121951219512,32,0.1038961038961039,6.4,66,-0.6197104307541235,0.2727458359503569,0.2727458359503569,1.0726853172730193,0.7999394813226623,FALSE,udfa,0.15327907827012732,0.20866152575655833,7.425211717339997,NA,NA,71.61030126336249,0.19686411149825783,0.1906116642958748,0.18128571428571427,0,71.3125,-0.009282042500857457,0.8228457699347463,3,FALSE
00-0021547,Antonio Gates,LAC,NYJ,2014,5,2014_05_NYJ_SD,1.4298357375664636,6,6,0.1935483870967742,68,0.2446043165467626,11.333333333333334,75,8.579014425398782,0.2727458359503569,0.2727458359503569,0.6971697158376938,0.42442387988733693,FALSE,udfa,0.14344803170583684,0.17578491747649574,7.103488352544957,NA,NA,69.84972345349703,0.19686411149825783,0.1906116642958748,0.18128571428571427,0,71.3125,0.04317771011552765,0.8422347922902536,4,FALSE
00-0021547,Antonio Gates,LAC,LV,2014,6,2014_06_SD_OAK,-0.1177885743784276,8,8,0.2222222222222222,75,0.17688679245283018,9.375,76,-0.9423085950274208,0.2727458359503569,0.2727458359503569,0.894726704478387,0.6219808685280301,FALSE,udfa,0.15695715461767587,0.19434146689624915,8.244029079204793,NA,NA,71.23845050650425,0.19686411149825783,0.1906116642958748,0.18128571428571427,0,71.3125,-0.12508237926531707,1.1641300098140472,4,FALSE
00-0021547,Antonio Gates,LAC,KC,2014,7,2014_07_KC_SD,0.925912105338648,5,5,0.15151515151515152,98,0.21777777777777776,19.6,52,4.62956052669324,0.2727458359503569,0.2727458359503569,0.6966656292705714,0.4239197933202145,FALSE,udfa,0.1601001781385095,0.1761268809138354,8.267114174856419,NA,NA,73.50801929957312,0.19686411149825783,0.1906116642958748,0.18128571428571427,0,71.3125,0.3286356513536364,0.541525164219585,5,FALSE
00-0021547,Antonio Gates,LAC,DEN,2014,8,2014_08_SD_DEN,0.8964248521551781,8,8,0.18604651162790697,56,0.15555555555555556,7,62,7.171398817241425,0.2727458359503569,0.2727458359503569,0.5892175839085267,0.31647174795816985,FALSE,udfa,0.1549007083352386,0.16483163702914233,10.842137401321128,NA,NA,66.69257862991905,0.19686411149825783,0.1906116642958748,0.18128571428571427,0,71.3125,0.32597729803519876,0.10013145250756036,6,FALSE
00-0021547,Antonio Gates,LAC,MIA,2014,9,2014_09_SD_MIA,0.14721623733639716,5,5,0.16666666666666666,72,0.26373626373626374,14.4,52,0.7360811866819859,0.2727458359503569,0.2727458359503569,0.6503065586336874,0.37756072268333046,FALSE,udfa,0.17740025999555376,0.18144683856005706,10.98366434606658,NA,NA,65.1512030213303,0.19686411149825783,0.1906116642958748,0.18128571428571427,0,71.3125,0.16571171427840067,-1.2282283814939303,7,FALSE
00-0021547,Antonio Gates,LAC,LV,2014,11,2014_11_OAK_SD,0.8619177280634176,3,3,0.08333333333333333,22,0.10679611650485436,7.333333333333333,76,2.585753184190253,0.2727458359503569,0.2727458359503569,0.6072847336920795,0.3345388977417226,FALSE,udfa,0.18114003339756202,0.2129137303236641,12.453244767414752,NA,NA,61.503544939928986,0.19686411149825783,0.1906116642958748,0.18128571428571427,0,71.3125,0.05179165348354249,0.2192559594129429,9,FALSE
00-0021547,Antonio Gates,LAC,BAL,2014,13,2014_13_SD_BAL,1.0878360218484886,8,8,0.1702127659574468,50,0.16233766233766234,6.25,75,8.702688174787909,0.2727458359503569,0.2727458359503569,0.5348796393072871,0.2621338033569302,FALSE,udfa,0.11789504523035631,0.14886261010277171,9.482617295352114,NA,NA,62.392311179495124,0.19686411149825783,0.1906116642958748,0.18128571428571427,0,71.3125,-0.059812953839585,0.9197862554378567,11,FALSE
