fold,pass_eff_leaves,pass_eff_lr,pass_eff_min_node,pass_eff_rounds,pass_eff_inner_rmse,db_vol_leaves,db_vol_lr,db_vol_min_node,db_vol_rounds,db_vol_inner_rmse,carry_vol_leaves,carry_vol_lr,carry_vol_min_node,carry_vol_rounds,carry_vol_inner_rmse,rush_dir_leaves,rush_dir_lr,rush_dir_min_node,rush_dir_rounds,rush_dir_inner_rmse
193,15,0.05,50,47,0.3235,15,0.05,50,37,8.4444,15,0.05,10,36,2.1982,7,0.05,20,47,2.6655
194,7,0.02,100,130,0.3224,31,0.02,50,93,8.5213,15,0.05,10,37,2.1816,7,0.02,100,129,2.6564
195,7,0.02,20,135,0.3223,63,0.02,100,105,8.5089,7,0.02,10,103,2.1997,7,0.05,10,53,2.6562
196,7,0.02,20,125,0.3211,63,0.02,100,105,8.4918,7,0.02,10,103,2.1949,7,0.05,10,53,2.6401
197,7,0.05,100,74,0.3208,15,0.02,100,123,8.426,15,0.05,20,31,2.2019,7,0.05,100,42,2.6712
198,15,0.02,50,130,0.3224,63,0.02,20,73,8.4862,15,0.02,10,95,2.1999,7,0.05,100,35,2.6561
199,15,0.02,10,167,0.3216,31,0.02,50,107,8.5235,7,0.02,10,106,2.1847,15,0.05,100,30,2.6503
200,15,0.05,100,50,0.3212,31,0.05,50,39,8.4982,7,0.02,10,124,2.1925,15,0.02,100,88,2.6308
201,15,0.05,100,50,0.321,31,0.05,50,39,8.4735,7,0.05,100,42,2.1959,15,0.02,100,88,2.6179
202,15,0.05,100,49,0.3215,15,0.05,20,50,8.4877,7,0.05,100,42,2.203,15,0.02,100,77,2.6136
203,31,0.05,100,43,0.3229,15,0.05,20,57,8.4959,15,0.05,100,42,2.19,7,0.02,100,91,2.6101
204,7,0.05,100,85,0.3261,15,0.02,50,113,8.4865,15,0.02,100,94,2.1925,7,0.05,100,36,2.5933
