axis,position,bucket,n,mean_tot_resid,se,mean_vol_resid
wb,QB,calm,1426,0.391202190809138,0.27129003425688525,-1.2164369091038336
wb,QB,breezy,350,-1.4512680128821536,0.5354951557159112,-1.6343107243367423
wb,QB,windy15,107,-2.354091937871266,0.9942607496661281,-3.0484487195007888
wb,RB,calm,2608,0.5855739768719334,0.07337460945615162,-0.6001574567457364
wb,RB,breezy,617,0.11498120588517842,0.15850863865364723,-0.31193309658772944
wb,RB,windy15,197,0.3631943295138598,0.24356295409852025,-0.27780556994404937
wb,TE,calm,1502,0.1704962041370069,0.08910046749067857,-0.09197913441362289
wb,TE,breezy,365,0.12493471209165605,0.1850712300460252,-0.15530320989720103
wb,TE,windy15,102,-0.23798811961242214,0.2693500575921777,-0.4372253791130849
wb,WR,calm,3803,0.23965437674743229,0.06872703422984595,-0.24309588384423889
wb,WR,breezy,929,-0.2413763635335914,0.14016132980264404,-0.20750388131440983
wb,WR,windy15,265,-0.7424133331591906,0.26680399908064634,-0.16206001383246185
tb,QB,frigid,46,-2.219154473024155,1.2365532565729422,-2.411973892523334
tb,QB,cold,245,-0.042014702610526554,0.6642246102207252,-1.3940253760475663
tb,QB,mild,1592,-0.05628304639978551,0.2572131678127645,-1.3695633057153183
tb,RB,frigid,84,0.1473055909411688,0.4232302994085716,-0.21529399503769922
tb,RB,cold,457,0.490691757962181,0.18684264049751184,-0.4214107266626202
tb,RB,mild,2881,0.4974140283233644,0.06945387184827295,-0.5559637859765717
tb,TE,frigid,49,-0.4600353294597139,0.551262911939803,-0.1440367884309993
tb,TE,cold,255,-0.3655425522534946,0.20129015831012298,-0.24059839031023378
tb,TE,mild,1665,0.2361361935705334,0.08448412387395968,-0.10271767447990765
tb,WR,frigid,104,0.12224872526586825,0.3581151984240395,-0.6185824356614298
tb,WR,cold,669,0.017111069759639164,0.16382461923376732,-0.3034217457861196
tb,WR,mild,4224,0.11038500157759062,0.06579060861172054,-0.2113846909153948
pb,QB,dry,1815,-0.027988002075978798,0.23955821771388783,-1.3808513229304902
pb,QB,wet,68,-2.223221970577186,1.3300948364283167,-1.8615683495245934
pb,RB,dry,3294,0.5302162330958663,0.06574760147978066,-0.5356783876515846
pb,RB,wet,128,-0.6004894780499711,0.30494177101571374,-0.37403481361068663
pb,TE,dry,1901,0.1619949650084282,0.07904997431930738,-0.1078385459971637
pb,TE,wet,68,-0.4491286493272128,0.36812981914819126,-0.5063859445686274
pb,WR,dry,4819,0.11650145425286675,0.0615586630951938,-0.229693133295044
pb,WR,wet,178,-0.3988375746290553,0.2846828474741409,-0.2995474512219866
