position,tier,resid
RB,low,-0.7410416610520909
RB,low,-0.8743152290093987
RB,low,4.818837447973399
RB,low,-1.6102060840023147
RB,low,-0.4330802943619109
RB,low,-0.39909994734500454
RB,low,-2.29562202887626
RB,low,-1.904797425956259
RB,low,5.28348867886017
RB,low,3.8363676080925093
RB,low,-0.6935685062213345
RB,low,-0.8577790371738466
RB,low,3.331374985837138
RB,low,-0.598323563221404
RB,low,1.509857075605439
RB,low,-1.8664111867304949
RB,low,-4.13244178218041
RB,low,-0.3065295428546323
RB,low,0.28798179685784703
RB,low,1.2518140992773785
RB,low,0.9578236985324268
RB,low,-0.41681968128457264
RB,low,-0.4663871246587985
RB,low,4.521602816707239
RB,low,2.6986413915798675
RB,low,-3.145289312139471
RB,low,-0.13864024673787995
RB,low,3.3733093002240513
RB,low,-0.9443965429766256
RB,low,-0.48971557326827503
RB,low,-1.1749652232518666
RB,low,0.3356256884032857
RB,low,-0.6949466802675965
RB,low,-0.7587965134993729
RB,low,2.856682730786559
RB,low,-1.2441878719814246
RB,low,-0.6844827945996551
RB,low,0.4894511201455588
RB,low,-1.0939162817982053
RB,low,-1.2215742294952836
RB,low,0.561344533173792
RB,low,-0.6784008726833906
RB,low,0.8132552857330705
RB,low,0.20590826101891727
RB,low,1.7622396321788625
RB,low,-1.8627524067558014
RB,low,-0.982649421424029
RB,low,5.471369273940771
RB,low,5.007301985598526
RB,low,-0.8994801404987053
RB,low,-1.7167787529728336
RB,low,0.9422969335148798
RB,low,-4.3092624476765735
RB,low,2.4849089250292153
RB,low,-0.06942209586090645
RB,low,-0.7539181510362378
RB,low,-1.920674452568687
RB,low,-4.247707433411753
RB,low,-0.9523199844082794
RB,low,-0.8110097800939299
RB,low,2.4551035803715147
RB,low,-0.5608171275344341
RB,low,-0.7058818859772396
RB,low,-0.6469176152927293
RB,low,-0.009244966583694244
RB,low,-0.36604592156649235
RB,low,1.3144432831128239
RB,low,2.5650959857880027
RB,low,-1.748826043309836
RB,low,-2.362350396724535
RB,low,-1.3860892381381955
RB,low,-0.6542705332880783
RB,low,-0.3021419808418436
RB,low,-1.1683371881208282
RB,low,2.0693524010277726
RB,low,-2.3829580778047106
RB,low,4.680692793378722
RB,low,1.0803897113746554
RB,low,0.4162089125479671
RB,low,-0.8197098372603265
RB,low,-1.9474488588369554
RB,low,-0.016950084499031223
RB,low,-2.9229885832087192
RB,low,-3.73002779887797
RB,low,-0.18527223473298393
RB,low,-1.460104311818891
RB,low,-4.403978910752088
RB,low,-1.4948604203839937
RB,low,-1.8208236151332289
RB,low,4.006492592445865
RB,low,-1.6031363591404795
RB,low,-1.8228342416328174
RB,low,4.3470746341727216
RB,low,-0.5314081430343207
RB,low,1.6318313429633644
RB,low,-0.10834711436160253
RB,low,-1.3221460168863113
RB,low,-1.642951470609819
RB,low,-0.2666790333109001
RB,low,0.2441136247327627
RB,low,-0.01048515214255775
RB,low,-0.18311313862099096
RB,low,-1.812981179431636
RB,low,-1.1915173414833977
RB,low,-0.21184925291835108
RB,low,3.639946956147519
RB,low,-0.3784311299266144
RB,low,-1.7295634240140967
RB,low,-0.7215479602897165
RB,low,-0.939064220121193
RB,low,7.436410609795431
RB,low,-0.8173153404499375
RB,low,0.9158780905337116
RB,low,1.6662867420129792
RB,low,-0.5350087004541769
RB,low,-1.2112776655183486
RB,low,-0.0645086356506595
RB,low,-1.3330372647467759
RB,low,-2.0142333448493273
RB,low,0.3778230613890815
RB,low,0.4479423625791734
RB,low,-0.6503459004517044
RB,low,-1.125808471787411
RB,low,1.9652356820370742
RB,low,1.4380257946687542
RB,low,-0.5146127156571605
RB,low,-0.4670469572302329
RB,low,-0.6999205896562507
RB,low,-2.1953275883270127
RB,low,0.5011239181874061
RB,low,-0.4830767835597131
RB,low,-2.050154980955436
RB,low,4.557862451586777
RB,low,6.63102929360264
RB,low,-1.166826788792399
RB,low,-0.8881096435979802
RB,low,-0.8520745799887356
RB,low,-2.038515576165357
RB,low,0.7950432562996078
RB,low,-3.4769109289300464
RB,low,2.200413682288311
RB,low,3.986107827693269
RB,low,3.190464437165626
RB,low,4.7318969906804975
RB,low,0.04714762004415455
RB,low,4.332955441584105
RB,low,4.496503884693243
RB,low,0.48621379146524324
RB,low,1.3048679768771252
RB,low,0.07214096603749916
RB,low,1.0608856003383722
RB,low,0.47163236108225354
RB,low,-0.4426680399023604
RB,low,4.106667451381926
RB,low,2.7503825506435287
RB,low,0.7047003370920398
RB,low,0.6402289775316885
RB,low,0.3558870002056642
RB,low,-3.552576213808531
RB,low,0.5989993533691635
RB,low,-2.2201888433627097
RB,low,-2.8742206965199064
RB,low,0.9870879959365613
RB,low,0.9691776868822705
RB,low,-2.3089971512468344
RB,low,1.3341667310262595
RB,low,4.512805384283239
RB,low,-1.8306916188376803
RB,low,-2.2559965879599098
RB,low,-0.9510357585197587
RB,low,3.5513059718599966
RB,low,5.381380749722243
RB,low,-1.6380556360869862
RB,low,-0.8908837099459322
RB,low,0.09990837258757186
RB,low,-0.4772678268982662
RB,low,-2.318554763626003
RB,low,-0.9127073236533352
RB,low,-0.8942075829211874
RB,low,2.237410095666073
RB,low,0.21894474557735857
RB,low,-0.3322548485098252
RB,low,2.4889838133588724
RB,low,5.536304434201751
RB,low,0.44002296943057434
RB,low,-1.0035491474342835
RB,low,-1.7419574130660267
RB,low,-0.7728085054834701
RB,low,-0.9560088251562158
RB,low,-1.0375804673673954
RB,low,3.0312288048600733
RB,low,0.4337948886510038
RB,low,-0.6465667907248994
RB,low,-1.9979796626558992
RB,low,-3.3541722468681696
RB,low,0.639665501215013
RB,low,-0.5929867048516424
RB,low,-1.176660871874704
RB,low,-1.652495275234878
RB,low,-2.380502873279829
RB,low,-1.079487435619987
RB,low,3.3946074278118163
RB,low,0.1318100496575795
RB,low,-0.47089362242025623
RB,low,0.6240976750004992
RB,low,4.622091906262177
RB,low,-0.660605850213443
RB,low,-1.228401750139359
RB,low,-1.4242036429252611
RB,low,2.0376199205421184
RB,low,0.2484314179186787
RB,low,-1.159835479987368
RB,low,0.9662974396606587
RB,low,0.9452195417262778
RB,low,-1.8413156205029724
RB,low,0.1416231442951952
RB,low,-3.0279448663706323
RB,low,7.385281238146517
RB,low,-2.1048993568452294
RB,low,-0.16011242645979837
RB,low,1.2704948796400828
RB,low,-2.1918651618116547
RB,low,3.278483512145013
RB,low,-0.18232026775678922
RB,low,2.0073123696672663
RB,low,-1.514931229092865
RB,low,0.8869373515233758
RB,low,-1.3941486061598012
RB,low,-2.6994771058135463
RB,low,-0.9461161471680746
RB,low,-0.28277150515181154
RB,low,-0.8265968031203909
RB,low,-3.8765011464834127
RB,low,1.912346274043646
RB,low,-1.914368758605415
RB,low,0.38656746873219805
RB,low,-1.4932144893880617
RB,low,-1.004640923828846
RB,low,-0.06971312792506602
RB,low,-0.29575567972494193
RB,low,3.788552000713835
RB,low,3.9091741881250117
RB,low,-1.5319499917306416
RB,low,-3.246792770175364
RB,low,0.6342815440409647
RB,low,-1.0004256363109276
RB,low,-2.45425158762533
RB,low,-2.3702925481928756
RB,low,-0.21925724957514328
RB,low,-3.8508518603245077
RB,low,-1.4971331718901513
RB,low,-0.24016739703293252
RB,low,0.19364465914907167
RB,low,-2.224826603646762
RB,low,-0.8313594227163531
RB,low,-1.0105074884034493
RB,low,-0.7116762357578423
RB,low,2.684025781969703
RB,low,-0.9039986163606554
RB,low,0.16182507614319097
RB,low,-0.37005386222807307
RB,low,-0.8436143518285631
RB,low,6.530671303232843
RB,low,-0.04944728947029907
RB,low,-1.3462153877459544
RB,low,-1.1122961893307342
RB,low,2.8295804944212
RB,low,-0.9632342143738366
RB,low,0.4016292590285985
RB,low,-0.9060024904045124
RB,low,-3.13456293480285
RB,low,-1.1649192005168625
RB,low,-1.314164368134728
RB,low,3.5387267835453846
RB,low,-0.3252112865566405
RB,low,-1.4903893320217432
RB,low,-0.6926373758663512
RB,low,-0.952280491301125
RB,low,5.29336701843147
RB,low,-4.049091396940707
RB,low,0.7751926527999669
RB,low,0.39845154812474887
RB,low,0.2794870830761238
RB,low,-0.08876676667472651
RB,low,0.058719069423060315
RB,low,-0.5277008772396092
RB,low,5.714317123272889
RB,low,4.092904278214528
RB,low,0.20509723161351587
RB,low,-0.421184412563837
RB,low,0.18097235121727692
RB,low,-0.8096014949718572
RB,low,1.0497196729005345
RB,low,1.4894943624205026
RB,low,3.6630916415163717
RB,low,-0.6661360143618063
RB,low,-1.5313969464357984
RB,low,-1.3986105445893278
RB,low,-4.17207648626341
RB,low,-0.4515445041663191
RB,low,-0.8857953743395967
RB,low,1.7805639365607215
RB,low,-4.171891247642035
RB,low,0.32108700445258026
RB,low,-0.9635150612692134
RB,low,1.3833134754858738
RB,low,-0.08024606027116495
RB,low,1.1347342085443266
RB,low,2.4100717045171205
RB,low,-2.8075385574925944
RB,low,-2.230519959024513
RB,low,-0.9462734555562962
RB,low,1.4192324814395514
RB,low,0.16473414003438291
RB,low,4.9796163681181715
RB,low,-0.8028408290476198
RB,low,-1.0648433240116972
RB,low,-1.1382877172252062
RB,low,-1.0287318639601384
RB,low,-0.1289664938664218
RB,low,-0.6556281478588587
RB,low,5.710882887900703
RB,low,-0.5044930524152248
RB,low,2.704297303721883
