position,arm,n,weeks,stat,stat_a,stat_b,delta,ci_lo,ci_hi,bar,floor,verdict
RB,ae,1560,119,spearman,0.16267652933830543,0.13661075906759407,-0.026065770270711358,-0.08522369327564178,0.031910732425597846,0.02,0.174,NEUTRAL
RB,ae,1560,119,concordance,0.5537336265417344,0.5461803231666508,-0.007553303375083642,-0.027426989869049827,0.011694317667337327,0.01,0.174,NEUTRAL
