component,pass_eff,db,rush,carry,n_sim,seed
pass_eff,1,-0.10889715122764713,-0.009667669529940718,0.031066632948239664,2000,42
db,-0.10889715122764713,1,6.499319859394921e-4,0.03677291419850107,2000,42
rush,-0.009667669529940718,6.499319859394921e-4,1,0.22786972219997792,2000,42
carry,0.031066632948239664,0.03677291419850107,0.22786972219997792,1,2000,42
