player_id,posteam,defteam,game_id,source,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_target_share,baseline_air_yards_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,baseline_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0030279,IND,KC,2026_02_IND_KC,played,-0.0014938247525909294,0.18181818181818182,0.10945273631840796,3.6666666666666665,0.28623379867685794,0.28623379867685794,FALSE,r2_3,0.19395866454689983,0.2259128904531456,Keenan Allen,-0.28772762342944885,55,63.76470588235294,0.67,0.5547058823529412,1,TRUE,-0.47792278172609926,0.23031124760457686,2026,2,-6.5,20,NA,NA
00-0031381,LA,NYG,2026_02_NYG_LA,played,-0.28412151489950094,0.21428571428571427,0.28627450980392155,12.166666666666666,0.23713545332977393,0.23713545332977393,FALSE,r2_3,0.23265306122448978,0.3455372098588179,Davante Adams,-0.5212569682292749,61,66.52941176470588,0.54,0.7142857142857143,1,TRUE,-0.3664439819110202,0.5185232525104375,2026,2,7,27.25,NA,NA
00-0031408,SF,MIA,2026_02_MIA_SF,played,1.1693131848171885,0.20588235294117646,0.3691275167785235,7.857142857142857,0.0849407252076584,0.0849407252076584,FALSE,r1,0.20666666666666667,0.34915254237288135,Mike Evans,1.08437245960953,65,66.05882352941177,0.75,0.65625,1,TRUE,-0.1814464529312153,0.7699005252902659,2026,2,13.5,29.5,NA,NA
00-0031588,WAS,DAL,2026_02_WAS_DAL,played,0.4169524422807929,0.25,0.2618296529968454,9.222222222222221,0.6899056263590737,0.6899056263590737,FALSE,r4_5,0.1851179673321234,0.1888551604509974,Stefon Diggs,-0.2729531840782808,74,63.11764705882353,0.63,0.5376470588235294,1,TRUE,-0.13545665840384688,0.7513868427325702,2026,2,-4.5,23,NA,NA
00-0031610,CAR,ATL,2026_02_CAR_ATL,played,0.6191222015477251,0.05,0.02185792349726776,4,0.8076067147606053,0.8076067147606053,FALSE,r6_udfa,0.1483050847457627,0.2260705289672544,Darren Waller,-0.18848451321288018,70,63.11764705882353,0.35,0.45,1,TRUE,-0.4369821259827372,0.3727174125693659,2026,2,2.5,23,NA,NA
00-0032398,BAL,NO,2026_02_NO_BAL,played,1.6046303248149343,0.07407407407407407,0.2527881040892193,34,0.5340360865333773,0.5340360865333773,FALSE,r4_5,0.09871244635193133,0.17678381256656017,Chris Moore,1.070594238281557,67,60.588235294117645,0.37,0.4857142857142857,1,TRUE,-0.37679828957512407,0.3886245829097611,2026,2,8.5,28,NA,NA
00-0032464,CHI,MIN,2026_02_MIN_CHI,played,0.7193628507347056,0.2903225806451613,0.20376175548589343,7.222222222222222,0.5068361005947739,0.5068361005947739,FALSE,udfa,0.06535947712418301,0.05884401114206128,Kalif Raymond,0.21252675013993172,77,69.3529411764706,0.6,0.366,1,TRUE,-0.5140529420798091,0.48171128834413435,2026,2,5.5,26.5,NA,NA
00-0032775,SF,MIA,2026_02_MIA_SF,played,0.9844582550159435,0.08823529411764706,0.30201342281879195,15,0.21032039619532292,0.21032039619532292,FALSE,r4_5,0.07407407407407407,0.13590555715519723,Demarcus Robinson,0.7741378588206206,65,66.05882352941177,0.63,0.46785714285714286,1,TRUE,-0.1814464529312153,0.7699005252902659,2026,2,13.5,29.5,NA,NA
00-0032951,IND,KC,2026_02_IND_KC,played,-4.811633464996703,0.030303030303030304,0.01990049751243781,4,NA,0.22148506743809637,TRUE,r1,0.17387997365043362,0.3331100734005259,Laquon Treadwell,-5.033118532434799,55,63.76470588235294,0.35,0.059000000000000004,1,TRUE,-0.47792278172609926,0.23031124760457686,2026,2,-6.5,20,NA,NA
00-0033307,ARI,SEA,2026_02_SEA_ARI,played,0.7272682980910758,0.21052631578947367,0.1413427561837456,5,0.3876768941445444,0.3876768941445444,FALSE,udfa,0.10392156862745099,0.15986860114973994,Kendrick Bourne,0.3395914039465314,75,68.11764705882354,0.67,0.566875,1,TRUE,-0.3980087777185034,-0.17664360634011608,2026,2,-3.5,18.5,NA,NA
00-0033555,NE,PIT,2026_02_PIT_NE,played,0.5575961997266858,0.1388888888888889,0.28054298642533937,12.4,0.41847064460102507,0.41847064460102507,FALSE,r4_5,0.13859275053304904,0.2169811320754717,Mack Hollins,0.13912555512566077,74,64.3529411764706,0.7,0.6773333333333333,1,TRUE,-0.3462531065111875,0.8413805290993014,2026,2,4.5,23,NA,NA
00-0033908,SEA,ARI,2026_02_SEA_ARI,played,0.5744059124651054,0.11538461538461539,0.3181818181818182,16.333333333333332,0.10758520694252503,0.10758520694252503,FALSE,r2_3,0.14609053497942387,0.14952220348510398,Cooper Kupp,0.46682070552258037,55,63,0.78,0.755625,1,TRUE,-0.1841604684603985,0.30125339076222035,2026,2,3.5,22,NA,NA
