position,n,weeks,mean_pred,realized,gap,ci_lo,ci_hi,bucket
RB,241,41,0.5471639004149378,0.5394190871369294,-0.007744813278008356,-0.06962226715111744,0.05546352408517122,vol_star
RB,2006,41,0.26054636091724825,0.2507477567298106,-0.009798604187437665,-0.025314963659216937,0.005901334105005034,non
WR,353,41,0.5083626062322946,0.5042492917847026,-0.004113314447591998,-0.05809657768361579,0.04933036077193439,vol_star
WR,2997,41,0.2289894894894895,0.23189856523189856,0.002909075742409062,-0.011668449621212133,0.01692921525566471,non
TE,155,41,0.5072903225806451,0.49032258064516127,-0.016967741935483838,-0.08866360885362919,0.05458892405063282,vol_star
TE,1189,41,0.27901219512195125,0.2590412111017662,-0.019970984020185045,-0.04756269454037194,0.0073131538147263725,non
