player_id,season,week,pred_carry,p_start,p_boom,hit_start,hit_boom,stratum,team_spread,implied_total,sb,ib,p_start_platt,p_start_iso,p_start_strat_platt,p_start_strat_iso,p_start_platt_vol,p_start_platt_vegas,p_start_platt_vol_vegas,p_boom_platt,p_boom_iso,p_boom_strat_platt,p_boom_strat_iso,p_boom_platt_vol,p_boom_platt_vegas,p_boom_platt_vol_vegas
00-0020531,2016,1,1.3483325428444302,0.385,0.207,TRUE,TRUE,exante_statue,1,26,close,mid_implied,0.3608159133548104,0.35714285714285715,0.37646997551834727,0.3673469387755102,0.39719816171760686,0.45188748836134185,0.4439397900227815,0.19133105554833718,0.18110236220472442,0.18196963104854075,0.16901408450704225,0.177644422837911,0.2482062947738808,0.2162004879511858
00-0020679,2016,1,2.010377341511916,0.2015,0.0845,FALSE,FALSE,exante_statue,0,20.5,close,mid_implied,0.201244218880269,0.16216216216216217,0.19529632177,0.16216216216216217,0.19596526315103194,0.1754174873816677,0.17536128365456546,0.07719924395010137,0.06504065040650407,0.07525517780497605,0.05785123966942149,0.07803941325818191,0.07044056894501809,0.06796972555877948
00-0021429,2016,1,1.2758051932056258,0.328,0.1695,FALSE,FALSE,exante_statue,5.5,26.5,fav,high_implied,0.3115696568207826,0.3413173652694611,0.3199068720038636,0.33980582524271846,0.339762542829953,0.3632607553962354,0.35643378430585815,0.1561100517930812,0.16923076923076924,0.1491767027106455,0.16901408450704225,0.1459578809078516,0.17685720768406452,0.14918740546244075
00-0022803,2016,1,1.417380991732328,0.2885,0.1325,FALSE,FALSE,exante_statue,0,23.25,close,mid_implied,0.2773913463083986,0.3157894736842105,0.28085728397228227,0.32653061224489793,0.2956750729386978,0.30470362502735177,0.29934077778408175,0.12160421170687348,0.12149532710280374,0.11697019935919231,0.12052117263843648,0.11606529738498429,0.13894146353379017,0.12287732548171698
00-0022924,2016,1,1.2758051932056258,0.3405,0.1665,TRUE,FALSE,exante_statue,3,26.5,fav,high_implied,0.322367879792939,0.3413173652694611,0.3322897719641287,0.33980582524271846,0.3527610765751558,0.4109533498962768,0.40536716121639776,0.15330322899245807,0.16923076923076924,0.1465608510915378,0.16901408450704225,0.1434714693104758,0.19932448391474702,0.179621437240085
00-0022942,2016,1,1.2992190570375677,0.32,0.168,FALSE,FALSE,exante_statue,NA,NA,NA,NA,0.30465600338575366,0.3413173652694611,0.31198818520728056,0.3269230769230769,0.3309218986653206,0.306122894511871,0.29625154770604484,0.15470644005876014,0.16923076923076924,0.1478686561775602,0.16901408450704225,0.14487295701046118,0.159219404452554,0.12433531099475834
00-0023436,2016,1,3.91951585454979,0.5525,0.331,TRUE,TRUE,exante_statue,7,25.75,big_fav,mid_implied,0.5077979190151924,0.4155844155844156,0.5440637079895722,1,0.5054251423777252,0.44070419234977176,0.4370052011226138,0.30961274405221595,0.3333333333333333,0.2922340238212933,0.6702508960573477,0.3114132143096125,0.2646663882368434,0.25204741625929944
00-0023459,2016,1,3.5328036899690476,0.4465,0.2455,TRUE,FALSE,exante_statue,4,26,fav,mid_implied,0.41418456978773865,0.4155844155844156,0.4377713118899445,0.38461538461538464,0.4073444886856505,0.4388071862982756,0.44325238810443995,0.22775470457664646,0.27906976744186046,0.2158649092919877,0.20689655172413793,0.23025177919761916,0.2443862552645777,0.26199909866867704
00-0023682,2016,1,2.9996725168540768,0.3215,0.1605,FALSE,FALSE,exante_statue,-2,19.75,close,low_implied,0.30595253760881225,0.3413173652694611,0.31347255864221796,0.3269230769230769,0.29610829563818186,0.22261253842822185,0.2198605746640165,0.14769438805683655,0.16923076923076924,0.14133194516787995,0.16901408450704225,0.15011482669952522,0.11025843852064111,0.09936892735127266
00-0024226,2016,1,2.3563559535606475,0.286,0.1355,FALSE,FALSE,exante_statue,-5.5,19.25,dog,low_implied,0.27522338679320596,0.3157894736842105,0.278389955169427,0.32653061224489793,0.274136318553614,0.2066286755994463,0.20209385182549586,0.1243929564486454,0.12149532710280374,0.11957793430368911,0.12052117263843648,0.124034309792079,0.09067270317204222,0.07676893352226515
00-0026143,2016,1,1.8561717384254328,0.384,0.198,TRUE,FALSE,exante_statue,3,25.25,fav,mid_implied,0.3599511015335409,0.35714285714285715,0.3754755172849148,0.3673469387755102,0.3841618485638934,0.3890643234983424,0.38190496213902814,0.18285502569144685,0.18110236220472442,0.17408161020444402,0.16901408450704225,0.17410180374227208,0.20094057560491976,0.1757427932105188
00-0026158,2016,1,2.061265461198887,0.3385,0.175,FALSE,FALSE,exante_statue,3,23.75,fav,mid_implied,0.3206404008897438,0.3413173652694611,0.3303076958880533,0.33980582524271846,0.3331287891611587,0.3080083478449906,0.30258486430764303,0.16126005880293606,0.16923076923076924,0.15397501732275076,0.16901408450704225,0.15608217645495814,0.15524833550601772,0.13398347731011642
00-0026498,2016,1,2.519910195973548,0.317,0.1565,TRUE,TRUE,exante_statue,-3.5,24,dog,mid_implied,0.3020625768437427,0.3413173652694611,0.30901996633811896,0.3269230769230769,0.3016595273409401,0.36819701694441587,0.3729356403053183,0.14395871548347222,0.125,0.13784794804734854,0.14285714285714285,0.14332246158175027,0.17277285968971837,0.18540809481917284
00-0027939,2016,1,5.605060972448745,0.51,0.2955,TRUE,FALSE,exante_mover,3,22.5,fav,mid_implied,0.4699281018668123,0.4155844155844156,0.4699281018668123,0.4155844155844156,0.4206005714313147,0.35562938449892756,0.36474791032764914,0.2754612786143333,0.2857142857142857,0.2754612786143333,0.2857142857142857,0.298159855449524,0.21302172355237867,0.251438647833194
00-0027948,2016,1,3.0924732172009235,0.2835,0.128,FALSE,FALSE,exante_statue,-2.5,20.75,dog,mid_implied,0.273054661542317,0.3157894736842105,0.27592312777850575,0.32653061224489793,0.25742241422006873,0.23455295428131215,0.23700380854355255,0.11742406976533203,0.12149532710280374,0.11305934098671967,0.12052117263843648,0.12175014073611383,0.10234856173528374,0.10768557559379983
00-0027973,2016,1,3.0555146026429676,0.3085,0.136,FALSE,FALSE,exante_statue,2,21.75,close,mid_implied,0.29471152708635595,0.3413173652694611,0.30061384797957963,0.32679225536368395,0.2823080157386686,0.24126631493495185,0.24173228135100733,0.12485790162029252,0.12149532710280374,0.12001260029717163,0.12052117263843648,0.12868803994311323,0.10684731973930954,0.10852730130500392
00-0028118,2016,1,5.407473956040425,0.3305,0.148,FALSE,FALSE,exante_mover,-3,20.75,dog,mid_implied,0.3137296448419201,0.3413173652694611,0.3137296448419201,0.3413173652694611,0.25669641386616077,0.2610019726422165,0.27767109666027373,0.13602983730304108,0.12149532710280374,0.13602983730304108,0.12149532710280374,0.1555170810838049,0.11553322763211595,0.17108078038350288
00-0028986,2016,1,2.071054719501992,0.2845,0.129,FALSE,FALSE,exante_statue,2.5,23.25,close,mid_implied,0.273922245761961,0.3157894736842105,0.2769097985012667,0.32653061224489793,0.2782986646490713,0.2680159951966562,0.26602622643612966,0.11835268184424236,0.12149532710280374,0.1139283516424216,0.12052117263843648,0.11677125511251633,0.1178126510636443,0.11058202652450538
00-0029263,2016,1,4.861176015695272,0.4575,0.2475,FALSE,FALSE,exante_mover,10.5,27.25,big_fav,high_implied,0.42378352190179197,0.4155844155844156,0.42378352190179197,0.4155844155844156,0.38662722274879724,0.38807834924613194,0.4003809586822788,0.22965418805725848,0.27906976744186046,0.22965418805725848,0.27906976744186046,0.24521667809615463,0.19973411215746104,0.24330198707504228
