stratum,n,nominal,empirical,sharpness,delta,component
statue (0-3),4376,0.5,0.4926873857404022,14.982530493425937,-0.007312614259597783,combined
statue (0-3),4376,0.8,0.7895338208409507,29.094115295065624,-0.01046617915904935,combined
statue (0-3),4376,0.9,0.8962522851919561,37.55563156109023,-0.0037477148080439227,combined
mover (4-7),1420,0.5,0.5197183098591549,14.943486983645215,0.019718309859154903,combined
mover (4-7),1420,0.8,0.8140845070422535,28.938443645319087,0.014084507042253502,combined
mover (4-7),1420,0.9,0.9112676056338028,37.30249216808355,0.011267605633802802,combined
scrambler (8+),433,0.5,0.5173210161662818,14.804473510680246,0.01732101616628179,combined
scrambler (8+),433,0.8,0.8060046189376443,28.63877387649344,0.006004618937644257,combined
scrambler (8+),433,0.9,0.9053117782909931,37.078932606675885,0.005311778290993052,combined
