fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
170,31,0.02,10,249,6.8198,15,0.02,10,326,5.2746
171,31,0.02,10,249,6.8284,15,0.02,10,325,5.2547
172,15,0.05,10,118,6.8088,31,0.05,20,89,5.2506
173,15,0.05,50,106,6.8078,15,0.02,50,298,5.2244
174,15,0.05,10,84,6.7793,7,0.02,50,403,5.2379
175,15,0.02,10,304,6.7633,15,0.02,10,375,5.2299
176,15,0.02,10,263,6.7913,15,0.02,10,375,5.2358
177,15,0.05,50,140,6.7202,7,0.02,50,459,5.2243
178,31,0.02,20,221,6.7044,7,0.02,20,424,5.238
179,63,0.02,100,177,6.6851,7,0.02,20,484,5.1929
180,15,0.05,100,107,6.6772,7,0.02,20,485,5.1866
181,15,0.05,100,107,6.7208,7,0.02,20,485,5.1901
182,15,0.02,50,206,6.6842,15,0.05,10,137,5.1986
183,7,0.02,50,399,6.7298,31,0.05,10,123,5.2101
184,15,0.02,20,244,6.7075,15,0.02,20,371,5.2147
185,15,0.05,20,111,6.7155,7,0.02,50,445,5.1916
186,15,0.05,20,117,6.6989,7,0.02,50,445,5.2092
187,15,0.02,50,255,6.725,7,0.05,50,278,5.2581
188,63,0.02,100,178,6.7148,15,0.02,50,270,5.2643
189,31,0.02,10,179,6.7262,15,0.05,10,152,5.2478
190,15,0.05,10,104,6.7515,7,0.05,20,224,5.2383
191,15,0.05,10,104,6.771,31,0.02,10,258,5.2291
192,7,0.05,10,314,6.7443,15,0.02,10,276,5.1953
193,31,0.02,10,230,6.7301,15,0.05,20,99,5.2139
194,7,0.05,10,155,6.699,7,0.02,50,410,5.2022
195,15,0.05,50,132,6.7351,7,0.05,20,187,5.1911
196,15,0.05,50,132,6.7169,7,0.05,20,187,5.1922
197,31,0.02,100,186,6.765,7,0.02,10,500,5.1971
198,15,0.05,20,150,6.7762,7,0.05,20,215,5.2074
199,63,0.02,100,165,6.8571,7,0.05,10,247,5.2118
200,63,0.02,50,165,6.8331,7,0.05,20,239,5.2026
201,63,0.02,50,147,6.8349,7,0.05,20,239,5.2004
202,31,0.05,10,103,6.8678,7,0.05,10,215,5.1904
203,15,0.05,100,106,6.8802,15,0.05,10,117,5.1822
204,63,0.02,50,159,6.9252,7,0.02,10,405,5.2177
