player_id,season,season_share,n_weeks,prior_share,prior_n_weeks,abs_delta,cohort
00-0020337,2015,0.23658408047465557,7,0.236101244089721,16,4.828363849345707e-4,stable
00-0020337,2016,0.17247880021996165,14,0.23658408047465557,7,0.06410528025469392,role_change
00-0022044,2015,0.11990053198840037,16,0.308100871154404,15,0.18820033916600362,role_change
00-0022044,2016,0.10912640770281892,6,0.11990053198840037,16,0.010774124285581443,stable
00-0022084,2015,0.22156971393570957,14,0.25054231339263466,16,0.028972599456925097,stable
00-0022084,2016,0.15214682079901698,16,0.22156971393570957,14,0.06942289313669259,role_change
00-0022414,2015,0.09996940761019009,15,0.1502488270079208,16,0.050279419397730715,stable
00-0022427,2015,0.093813553898548993,7,0.1166350090973276,14,0.02282145519877861,stable
00-0022811,2015,0.11431196624238496,14,0.14615953214017213,15,0.03184756589778717,stable
00-0022921,2015,0.2529702832260329,16,0.2003688416313547,14,0.05260144159467817,role_change
00-0022921,2016,0.21797918697116322,16,0.2529702832260329,16,0.03499109625486965,stable
00-0022921,2017,0.2573146045463989,16,0.21797918697116322,16,0.03933541757523565,stable
00-0022921,2018,0.19891901770535492,16,0.2573146045463989,16,0.058395586841043956,role_change
00-0022921,2019,0.17880150750285578,16,0.19891901770535492,16,0.020117510202499134,stable
00-0022921,2020,0.14307889965328002,13,0.17880150750285578,16,0.03572260784957576,stable
00-0023310,2015,0.07422935620604065,13,0.05437811248323294,11,0.019851243722807714,stable
00-0023367,2015,0.17669407027858508,13,0.1265066422772152,16,0.05018742800136988,stable
00-0023462,2015,0.12010803471527716,15,0.2096862429933465,14,0.08957820827806935,role_change
00-0023496,2015,0.18451791859907923,10,0.2397012963996125,16,0.055183377800533256,role_change
00-0023496,2016,0.15758675464320626,5,0.18451791859907923,10,0.026931163955872972,stable
00-0023921,2015,0.07008891562401467,11,0.1717413619397279,12,0.10165244631571321,role_change
00-0024267,2015,0.0729566043747073,12,0.16765373829591057,16,0.09469713392120327,role_change
00-0024324,2015,0.06958650626464456,10,0.10513028618748915,15,0.03554377992284459,stable
00-0024334,2015,0.28344603849860855,16,0.19748555006597926,13,0.0859604884326293,role_change
00-0024334,2016,0.23058054030607364,15,0.28344603849860855,16,0.052865498192534915,role_change
00-0024334,2017,0.14763344707299042,5,0.23058054030607364,15,0.08294709323308322,role_change
00-0024334,2018,0.11721279927801666,6,0.14763344707299042,5,0.030420647794973762,stable
00-0024466,2015,0.11892327273028536,13,0.15440487285371357,15,0.035481600123428214,stable
00-0024535,2015,0.021739130434782608,1,0.05247187464837351,6,0.0307327442135909,stable
00-0025389,2015,0.22054118748047918,16,0.24246236238831786,13,0.02192117490783868,stable
00-0025396,2015,0.19743384894554847,14,0.056537149670874934,12,0.14089669927467352,role_change
00-0025396,2016,0.15751604592857749,16,0.19743384894554847,14,0.03991780301697098,stable
00-0025396,2017,0.1350319887212613,15,0.15751604592857749,16,0.022484057207316194,stable
