position,arm,n,weeks,stat,stat_a,stat_b,delta,ci_lo,ci_hi,bar,floor,verdict
RB,floorfree,1608,121,spearman,0.17236460407552967,0.20107970473484266,0.028715100659312986,-0.0326821768929351,0.09062450237693494,0.02,0.174,NEUTRAL
RB,floorfree,1608,121,concordance,0.5569483271710705,0.5692127333393453,0.012264406168274844,-0.007772546957748139,0.032872622756816086,0.01,0.174,NEUTRAL
