content_tier,content_rank,position,player_id,player_name,player_disp,posteam,defteam,model_rank,ecr_rank,rank_gap,start_pct,boom_pct,disp_vol,report_status,p_start_recal,p_boom_recal,pred_vol,content_score
leverage,1,TE,00-0033288,George Kittle,George Kittle,SF,MIA,2,13,11,51,29,6,NA,0.5105032001363162,0.2905776261314197,6.453590350855644,0.4065776261314197
leverage,2,RB,00-0039040,De'Von Achane,De'Von Achane,MIA,SF,1,11,10,70,44,22,NA,0.7044679666654287,0.4395833548879107,22.413989924210593,0.5395833548879108
leverage,3,WR,00-0031408,Mike Evans,Mike Evans,SF,MIA,4,14,10,55,35,8,NA,0.5545753969958127,0.3474254473161034,7.916827082541691,0.44742544731610345
leverage,4,WR,00-0037238,Drake London,Drake London,ATL,CAR,9,18,9,47,29,10,NA,0.4740981011547942,0.2911392405063291,9.751430870377137,0.3951392405063291
leverage,5,TE,00-0039066,Michael Mayer,Michael Mayer,LV,LAC,5,14,9,42,25,7,NA,0.4189556247848096,0.24875704984730015,6.637918163456706,0.3627570498473002
leverage,6,RB,00-0036997,Javonte Williams,Javonte Williams,DAL,WAS,2,10,8,64,39,19,NA,0.640457540065451,0.3860253001719516,19.42906885056471,0.4660253001719516
leverage,7,TE,00-0034383,Dalton Schultz,Dalton Schultz,HOU,CIN,4,12,8,45,25,6,NA,0.4498755454567167,0.250934786114908,6.230975549288278,0.348934786114908
leverage,8,TE,00-0034753,Mark Andrews,Mark Andrews,BAL,NO,3,10,7,47,29,6,NA,0.4725615797009592,0.2943680812336345,6.233995908963559,0.3783680812336345
leverage,9,RB,00-0036275,D'Andre Swift,D'Andre Swift,CHI,MIN,9,16,7,53,28,17,NA,0.5305128176863032,0.284265405943082,16.997759395439108,0.356265405943082
leverage,10,RB,00-0039361,Bucky Irving,Bucky Irving,TB,CLE,10,17,7,51,27,18,NA,0.5118969335314482,0.27035556983933323,17.573940642652225,0.34635556983933324
leverage,11,RB,00-0036875,Rhamondre Stevenson,Rhamondre Stevenson,NE,PIT,15,21,6,41,17,20,NA,0.4061656975278021,0.17435381463632085,20.00901407096694,0.25635381463632084
leverage,12,WR,00-0031588,Stefon Diggs,Stefon Diggs,WAS,DAL,23,28,5,35,18,7,NA,0.34860275568502613,0.1778975741239892,7.062596803636,0.2378975741239892
leverage,13,RB,00-0038597,Chase Brown,Chase Brown,CIN,HOU,8,12,4,54,28,20,NA,0.5410957830063281,0.2832464269930661,19.684184668499928,0.3232464269930661
leverage,14,RB,00-0037840,Kyren Williams,Kyren Williams,LA,NYG,11,15,4,50,25,18,NA,0.5000449043440532,0.25337288923074697,17.70782285908786,0.30137288923074695
leverage,15,WR,00-0040124,Tetairoa McMillan,Tetairoa McMillan,CAR,ATL,13,17,4,44,22,9,NA,0.4403656485743838,0.22448979591836735,8.579108844325239,0.28448979591836737
leverage,16,WR,00-0039491,Jalen Coker,Jalen Coker,CAR,ATL,22,26,4,35,18,7,NA,0.35016448459218863,0.1778975741239892,6.98165326254724,0.22789757412398923
leverage,17,WR,00-0038544,Quentin Johnston,Quentin Johnston,LAC,LV,26,30,4,34,18,7,NA,0.34027594013818174,0.1778975741239892,6.908308391098048,0.22589757412398923
leverage,18,TE,00-0030506,Travis Kelce,Travis Kelce,KC,IND,6,9,3,39,20,6,NA,0.3929001593454285,0.1963638947253478,6.301567506290461,0.2443638947253478
caution,1,WR,00-0038606,Parker Washington,Parker Washington,JAX,DEN,38,16,-22,29,14,7,NA,0.2873147485373685,0.14439140811455847,6.920232483699897,0.14439140811455847
