position,player_id,player_name,pred_vol,threshold,deploy,backtest,diff
QB,00-0039910,Jayden Daniels,8.502885471653649,start,0.5036376615011511,0.506249065816808,-0.0026114043156568734
QB,00-0036389,Jalen Hurts,7.320973351440192,start,0.43287259599000744,0.49409981048081125,-0.061227214490803816
QB,00-0034857,Josh Allen,4.967942908897233,start,0.39198925453938926,0.3936493878735464,-0.0016601333341571545
QB,00-0034796,Lamar Jackson,5.284114191871157,start,0.3682684953987128,0.3898525202149498,-0.021584024816237002
QB,00-0039732,Bo Nix,4.261693784778409,start,0.35643269983887527,0.3703649035952123,-0.013932203756337025
QB,00-0036971,Trevor Lawrence,3.6986156525977707,start,0.29026418828542566,0.27205537430228105,0.01820881398314461
QB,00-0033873,Patrick Mahomes,2.3937597169339386,start,0.28731898557382224,0.28925074968599507,-0.001931764112172829
QB,00-0034855,Baker Mayfield,2.9584885782302828,start,0.28269392028953694,0.25832846467660187,0.024365455612935072
QB,00-0030565,Geno Smith,2.929464223326222,start,0.2791150743897694,0.28635577387160654,-0.007240699481837143
QB,00-0036355,Justin Herbert,3.797139954870455,start,0.2700732480878095,0.265361870770009,0.004711377317800525
QB,00-0039918,Caleb Williams,3.048783840077248,start,0.2682586566705874,0.2716120715842772,-0.0033534149136897895
QB,00-0039163,C.J. Stroud,2.325091050899377,start,0.265280652652163,0.27432196539455456,-0.00904131274239156
QB,00-0040743,Tyler Shough,3.73761974146295,start,0.2637441440659555,0.2533219269046453,0.010422217161310199
QB,00-0040676,Cam Ward,3.3409236006739977,start,0.25236989587520875,0.2472244031819256,0.005145492693283155
QB,00-0033077,Dak Prescott,1.886399401180602,start,0.2522790031767339,0.2409666904451569,0.011312312731577012
QB,00-0033106,Jared Goff,1.3782894885940156,start,0.2488266305792473,0.22451511355981285,0.02431151701943446
QB,00-0033119,Jacoby Brissett,2.062966285722367,start,0.2452828558650627,0.22985881419665807,0.015424041668404637
QB,00-0034869,Sam Darnold,2.0914887196573555,start,0.24440827758808362,0.22554896666435817,0.018859310923725447
QB,00-0036442,Joe Burrow,1.7683364704690234,start,0.23972976184364794,0.2342298406904506,0.005499921153197335
QB,00-0036264,Jordan Love,1.6681479746882013,start,0.23702864943841848,0.2364225680489148,6.060813895036876e-4
QB,00-0039923,J.J. McCarthy,3.2928477271424446,start,0.2340976864602417,0.24098047338745823,-0.006882786927216528
QB,00-0026498,Matthew Stafford,1.2569610358903043,start,0.22076283652959358,0.2154673290874372,0.005295507442156372
QB,00-0036212,Tua Tagovailoa,1.2496740889103353,start,0.20634111687722675,0.18743251634474992,0.018908600532476838
QB,00-0023459,Aaron Rodgers,1.2506204323250438,start,0.2007578406265975,0.20232450681236083,-0.0015666661857633435
QB,00-0040668,Shedeur Sanders,1.7739811366850298,start,0.17829711489254838,0.1801885742427735,-0.0018914593502251387
