player_id,posteam,defteam,game_id,source,rolling_epa_per_opp,wt_carry_share,wt_target_share,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_carry_share,baseline_target_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,baseline_snap_share,games_played_so_far,def_used_fallback,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,own_q_int,own_practice_int,weeks_missed,return_from_absence,above_new_out_share,above_q_share,above_long_out_share
00-0039794,NYJ,TEN,2026_01_NYJ_TEN,roster_cold,NA,NA,NA,-0.4051872564020609,-0.4051872564020609,FALSE,r4_5,0.25,0.07317073170731707,Braelon Allen,NA,NA,63.294117647058826,NA,0.2325,0,TRUE,-0.021838574646645063,-0.7852525468897957,-0.4292058914662256,2026,1,-1.5,19,NA,NA,0,3,0,0,0,0,0
00-0039796,BAL,IND,2026_01_BAL_IND,roster_cold,NA,NA,NA,-0.2500800616526439,-0.2500800616526439,FALSE,r4_5,0.033816425120772944,0.19298245614035087,Rasheen Ali,NA,NA,60.588235294117645,NA,0.13,0,TRUE,-0.07183208730881922,-0.6446751674816371,-0.07808644383862179,2026,1,3.5,26,NA,NA,0,3,0,0,0,0,0
00-0039798,NYJ,TEN,2026_01_NYJ_TEN,roster_cold,NA,NA,NA,0.019172215408109736,0.019172215408109736,FALSE,r4_5,0.14285714285714285,0.18471337579617833,Isaiah Davis,NA,NA,63.294117647058826,NA,0.28,0,TRUE,-0.021838574646645063,-0.7852525468897957,-0.4292058914662256,2026,1,-1.5,19,NA,NA,0,3,0,0,0,0,0
00-0039811,GB,MIN,2026_01_GB_MIN,roster_cold,NA,NA,NA,NA,-0.01329481174243705,TRUE,r2_3,0.4393939393939394,0.21428571428571427,MarShawn Lloyd,NA,NA,62.294117647058826,NA,0.4592307692307692,0,TRUE,-0.1343862710640092,-0.8298561716341875,-1.6035177127489946,2026,1,-1.5,22.5,NA,NA,0,3,0,0,0,0,0
00-0039874,MIA,LV,2026_01_MIA_LV,roster_cold,NA,NA,NA,-0.0933097726332665,-0.0933097726332665,FALSE,r4_5,0.2845528455284553,0.12162162162162163,Jaylen Wright,NA,NA,59.05882352941177,NA,0.215,0,TRUE,-0.06319735805982918,-0.3317119594113578,-0.9130167952938161,2026,1,-3.5,18.5,NA,NA,0,3,0,0,0,0,0
00-0039875,BUF,HOU,2026_01_BUF_HOU,roster_cold,NA,NA,NA,0.08412620525531626,0.08412620525531626,FALSE,r4_5,0.17365269461077845,0.1308411214953271,Ray Davis,NA,NA,66.3529411764706,NA,0.14294117647058824,0,TRUE,-0.14582247010232058,-0.9396082707684634,2.7954319202070734,2026,1,1.5,23,NA,NA,0,3,0,0,0,0,0
00-0040078,KC,DEN,2026_01_DEN_KC,roster_cold,NA,NA,NA,-0.131154005654333,-0.131154005654333,FALSE,r6_udfa,0.1423948220064725,0.22875816993464052,Brashard Smith,NA,NA,66.17647058823529,NA,0.16705882352941176,0,TRUE,-0.05185388214803607,-0.7706880552412495,-0.11413011532447975,2026,1,3,22.75,NA,NA,0,3,0,0,0,0,0
00-0040122,LV,MIA,2026_01_MIA_LV,roster_cold,NA,NA,NA,-0.2266404503949044,-0.2266404503949044,FALSE,r1,0.8668831168831169,0.40555555555555556,Ashton Jeanty,NA,NA,59.411764705882355,NA,0.7788235294117647,0,TRUE,-0.08368898759176781,-0.2577029876184742,0.7567502338269113,2026,1,3.5,22,NA,NA,0,3,0,0,0,0,0
00-0040142,GB,MIN,2026_01_GB_MIN,roster_cold,NA,NA,NA,-0.24908505864251057,-0.24908505864251057,FALSE,r2_3,0.1308411214953271,0.017241379310344827,Kaleb Johnson,NA,NA,62.294117647058826,NA,0.091,0,TRUE,-0.1343862710640092,-0.8298561716341875,-1.6035177127489946,2026,1,-1.5,22.5,NA,NA,0,3,0,0,0,0,0
00-0040162,CLE,JAX,2026_01_CLE_JAX,roster_cold,NA,NA,NA,-0.09450793842111213,-0.09450793842111213,FALSE,r4_5,0.20376175548589343,0.22857142857142856,Dylan Sampson,NA,NA,65.70588235294117,NA,0.26466666666666666,0,TRUE,-0.05649418973326667,-0.32538184988568425,-0.6233014214318366,2026,1,-7.5,16.5,NA,NA,0,3,0,0,0,0,0
00-0040177,SF,LA,2026_01_SF_LA,roster_cold,NA,NA,NA,NA,-0.06448674100855273,TRUE,r4_5,0.2900036954915004,0.1888479159682646,Jordan James,NA,NA,66.05882352941177,NA,0.01666666666666667,0,TRUE,-0.1583267958602536,-0.509405819111881,-0.8048710511082422,2026,1,-3.5,22.5,NA,NA,0,3,0,0,0,0,0
00-0040179,IND,BAL,2026_01_BAL_IND,roster_cold,NA,NA,NA,-0.05847496461551292,-0.05847496461551292,FALSE,r4_5,0.208,0.07692307692307693,DJ Giddens,NA,NA,63.76470588235294,NA,0.12000000000000001,0,TRUE,-0.14937842248520308,-0.5715023772900206,-0.30975109221707325,2026,1,-3.5,22.5,NA,NA,0,3,0,0,0,0,0
00-0040198,MIA,LV,2026_01_MIA_LV,roster_cold,NA,NA,NA,-0.16477927274022916,-0.16477927274022916,FALSE,r6_udfa,0.19607843137254902,0.054878048780487805,Ollie Gordon II,NA,NA,59.05882352941177,NA,0.22411764705882353,0,TRUE,-0.06319735805982918,-0.3317119594113578,-0.9130167952938161,2026,1,-3.5,18.5,NA,NA,0,3,0,0,0,0,0
00-0040208,CIN,TB,2026_01_TB_CIN,roster_cold,NA,NA,NA,-0.6723012023398446,-0.6723012023398446,FALSE,r6_udfa,0.12698412698412698,0.028169014084507043,Tahj Brooks,NA,NA,66.82352941176471,NA,0.045,0,TRUE,-0.11962112038834419,-0.25646452324222097,0.2835101001922579,2026,1,3.5,27,NA,NA,0,3,0,0,0,0,0
00-0040236,CHI,CAR,2026_01_CHI_CAR,roster_cold,NA,NA,NA,-0.017888093087541183,-0.017888093087541183,FALSE,r6_udfa,0.4253731343283582,0.20689655172413793,Kyle Monangai,NA,NA,69.3529411764706,NA,0.4088235294117647,0,TRUE,-0.04703706316644954,-0.5348965383846037,1.100360956365609,2026,1,2.5,25,NA,NA,0,3,0,0,0,0,0
