threshold,pick_3c,delta_3c_pp,delta_inc_pp,brier_3c,brier_inc,honest_ok,brier_ok,pass
15+,strat_iso,-0.9091740278082474,1.3101414332098715,0.09818164296335721,0.0829208641438042,TRUE,FALSE,FALSE
20+,strat_iso,-0.4820357852698597,0.7112113517540055,0.03830874766376872,0.03383647496575812,TRUE,FALSE,FALSE
