position,player_id,season,week,pred_vol,p_start,p_boom,hit_start,hit_boom,stratum,team_spread,implied_total,sb,ib,p_start_platt,p_start_iso,p_start_strat_platt,p_start_strat_iso,p_start_platt_vol,p_start_platt_vegas,p_start_platt_vol_vegas,p_boom_platt,p_boom_iso,p_boom_strat_platt,p_boom_strat_iso,p_boom_platt_vol,p_boom_platt_vegas,p_boom_platt_vol_vegas
TE,00-0021547,2016,1,6.0482596975555705,0.3705,0.1385,FALSE,FALSE,exante_mid,NA,NA,NA,NA,0.3578269144190626,0.3855421686746988,0.36696651215820464,0.38125,0.354181598358276,0.34470931769099067,0.3335837198653972,0.15518398266448755,0.16846652267818574,0.15494479276237125,0.16812227074235808,0.16296116165591376,0.157914594984097,0.1619631693214883
TE,00-0022127,2016,1,5.65361619708323,0.3595,0.131,TRUE,FALSE,exante_mid,-0,23.25,close,mid_implied,0.3472895126898056,0.3855421686746988,0.3542475960776924,0.38125,0.3183781573152373,0.3476953667621523,0.30476431410417165,0.14884391340770653,0.16846652267818574,0.14801828253384072,0.16812227074235808,0.13647238342708345,0.16182035818061302,0.14245256951748272
TE,00-0024389,2016,1,5.642226067671515,0.307,0.102,FALSE,FALSE,exante_mid,-0,20.5,close,mid_implied,0.2970970748729424,0.38095238095238093,0.29411461300018554,0.38095238095238093,0.2987242919863905,0.2393098373401584,0.23429200853938967,0.12345676257657047,0.16846652267818574,0.12053949039892145,0.16812227074235808,0.13370172627714624,0.09481391896708061,0.09900633653521353
TE,00-0025418,2016,1,6.382425828700108,0.401,0.1775,TRUE,FALSE,exante_mid,3,22.5,fav,mid_implied,0.387091928848897,0.3855421686746988,0.4023756354168639,0.38125,0.3936886293788989,0.3405656305986445,0.34828833239461066,0.18703183996558587,0.16846652267818574,0.19004737937658767,0.16812227074235808,0.1908228136175497,0.14932507647240037,0.1509963124359953
TE,00-0026201,2016,1,6.689663264581368,0.43,0.192,FALSE,FALSE,exante_mid,-5.5,21,dog,mid_implied,0.41499215415875745,0.42857142857142855,0.4361660829242017,0.43137254901960786,0.43139179747204415,0.39997798348560387,0.4089505157852839,0.19848637465307561,0.21311475409836064,0.20277726499589707,0.2076923076923077,0.21765105806275784,0.18998585875069476,0.20291163377698476
TE,00-0026267,2016,1,6.186994104465717,0.3795,0.141,FALSE,FALSE,exante_mid,3,25.25,fav,mid_implied,0.36645489692179994,0.3855421686746988,0.37739557411112595,0.38125,0.36907221308373045,0.39358252445027847,0.40105796578598063,0.15727977390498055,0.16846652267818574,0.15723942263365423,0.16812227074235808,0.17319358732316406,0.17901000160265043,0.2033838391697397
TE,00-0027125,2016,1,5.57266108874284,0.296,0.0975,FALSE,FALSE,exante_mid,-5.5,19.25,dog,low_implied,0.28659687700792147,0.38095238095238093,0.28166860336146987,0.38095238095238093,0.28946286684033135,0.24275994255266126,0.23667304386456395,0.11936976105300875,0.16846652267818574,0.11615931576843536,0.16812227074235808,0.12922607910947553,0.0936095619266221,0.0973696853456442
TE,00-0027714,2016,1,6.025566945650643,0.384,0.1505,FALSE,FALSE,exante_mid,3,23.75,fav,mid_implied,0.37077119160241234,0.3855421686746988,0.3826168551837756,0.38125,0.35719748678580754,0.3578910322651048,0.34198053845712095,0.1651693387859605,0.16846652267818574,0.16589845403145703,0.16812227074235808,0.1621923138016303,0.15537595144323424,0.15235868767121377
TE,00-0027873,2016,1,6.51179803842208,0.4125,0.1755,FALSE,FALSE,exante_mid,5.5,26.5,fav,high_implied,0.3981464781764505,0.3855421686746988,0.4157659165586067,0.38125,0.4092009811977264,0.43669618732048976,0.4632731913754588,0.18543753873710683,0.16846652267818574,0.18827945691787684,0.16812227074235808,0.201249933774862,0.2058727223478898,0.23637017468920202
TE,00-0027981,2016,1,6.106007198469883,0.379,0.146,FALSE,FALSE,exante_mid,0,20.5,close,mid_implied,0.3659754051012578,0.3855421686746988,0.37681569674371745,0.38125,0.3620889938829156,0.29655854810085974,0.2831057028905778,0.1614464633859604,0.16846652267818574,0.16180845688706816,0.16812227074235808,0.16762326928980842,0.12277972559459326,0.1213097478075411
