player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0030279,LAC,LV,2025_13_LV_LAC,0.21649327685802733,0.1784165797486938,0.2418528957542765,9.396669296471446,0.17293365768740235,0.17293365768740235,FALSE,r2_3,Keenan Allen,0.04355961917062498,66.24610494774858,0.5226834698111331,11,FALSE,-0.7293565599599333,0.43353524640867486,2025,13,NA,NA,NA,NA
00-0030564,BAL,CIN,2025_13_CIN_BAL,-0.17923407379936154,0.10189052907366103,0.16773116900702456,15.137579396711386,0.2401153245529529,0.2401153245529529,FALSE,r1,DeAndre Hopkins,-0.41934939835231444,62.696488428176835,0.4614201836594026,11,FALSE,-0.18469064295610008,0.4307138884941213,2025,13,NA,NA,NA,NA
00-0031381,LA,CAR,2025_13_LA_CAR,0.25047993749550296,0.23574197380571363,0.3992881714850121,12.915963081537349,0.1460001742183268,0.1460001742183268,FALSE,r2_3,Davante Adams,0.10447976327717615,62.92825183145399,0.6864887652284114,12,FALSE,0.03413862989985587,-0.3632186963042821,2025,13,NA,NA,NA,NA
00-0031588,NE,NYG,2025_13_NYG_NE,0.3271719183269324,0.18559082853777156,0.1731159690427902,9.793888499151727,0.2825167033980258,0.2825167033980258,FALSE,r4_5,Stefon Diggs,0.04465521492890656,66.0452677116389,0.5736545491008307,12,FALSE,-0.32004735286935165,0.6083215580686241,2025,13,NA,NA,NA,NA
00-0031610,MIA,NO,2025_13_NO_MIA,1.4834671234709365,0.12061754895574137,0.2148241755447833,10.879737609329446,NA,0.20495743879264655,TRUE,r6_udfa,Darren Waller,1.27850968467829,60.57538579765782,0.4493798297571882,11,FALSE,-0.261263363308955,0.8524897586103594,2025,13,NA,NA,Questionable,Limited Participation in Practice
00-0033555,NE,NYG,2025_13_NYG_NE,0.29351067426581623,0.18086748408093378,0.24015816756157296,12.54917915502936,0.488811453544609,0.488811453544609,FALSE,r4_5,Mack Hollins,-0.19530077927879275,66.0452677116389,0.7862788326555789,12,FALSE,-0.32004735286935165,0.6083215580686241,2025,13,NA,NA,NA,NA
00-0033908,SEA,MIN,2025_13_MIN_SEA,0.9139297010055375,0.12633259456590504,0.155062640865911,12.33462191360068,0.03868146633528411,0.03868146633528411,FALSE,r2_3,Cooper Kupp,0.8752482346702534,63.89421467825899,0.7206548743555996,11,FALSE,-0.23558925915748555,0.7487460170071893,2025,13,NA,NA,NA,Limited Participation in Practice
00-0033921,TB,ARI,2025_13_ARI_TB,-0.10738263454870008,0.1455509522104581,0.20618150347686598,8.993586005830903,0.5727654483245225,0.5727654483245225,FALSE,r2_3,Chris Godwin Jr.,-0.6801480828732226,68.96804919604773,0.6218561710398445,11,FALSE,-0.5188721613534507,-0.0696091885176446,2025,13,NA,NA,NA,Limited Participation in Practice
00-0034348,DEN,WAS,2025_13_DEN_WAS,0.1297622968310398,0.17625014241269227,0.2316306377620856,12.146689696481484,0.2751327633640827,0.2751327633640827,FALSE,r2_3,Courtland Sutton,-0.14537046653304292,65.73793566022505,0.8981078598741786,11,FALSE,0.010711455058938642,0.47319654595054683,2025,13,NA,NA,NA,NA
00-0034827,CHI,PHI,2025_13_CHI_PHI,-0.09046684122005014,0.1444021703989583,0.21153306395730154,14.668149533091283,0.11614729012056697,0.11614729012056697,FALSE,r1,DJ Moore,-0.20661413134061712,70.99176751530635,0.7730457159902322,11,FALSE,-0.5090525911128241,0.1874250987865834,2025,13,NA,NA,NA,NA
00-0034960,JAX,TEN,2025_13_JAX_TEN,0.38731874242611153,0.1778637026271758,0.2987434913143988,9.422201193949025,0.24924081404035767,0.24924081404035767,FALSE,udfa,Jakobi Meyers,0.13807792838575386,70.24036495944426,0.7352515500159257,11,FALSE,-0.44669598944098077,1.0223026802981556,2025,13,NA,NA,NA,NA
00-0035208,CHI,PHI,2025_13_CHI_PHI,-0.18337688806885782,0.1172805953056753,0.08682895954104093,6.3097625945138756,0.3919108223972921,0.3919108223972921,FALSE,udfa,Olamide Zaccheaus,-0.5752877104661499,70.99176751530635,0.4256472654163176,11,FALSE,-0.5090525911128241,0.1874250987865834,2025,13,NA,NA,NA,NA
00-0035359,ATL,NYJ,2025_13_ATL_NYJ,-0.20571046818572214,0.07003356755927362,0.08675413148712513,12.339070512874526,NA,0.21464330413841848,TRUE,udfa,David Sills,-0.4203537723241406,60.08593298403555,0.6518403858566418,11,FALSE,-0.006172124948771413,0.29030919925534043,2025,13,NA,NA,NA,NA
00-0035535,NYG,NE,2025_13_NYG_NE,0.4346844275677064,0.125223115178574,0.25295204657720677,15.988823409933119,0.20162401044555903,0.20162401044555903,FALSE,r4_5,Darius Slayton,0.2330604171221474,70.79453841629578,0.7118100343624079,12,FALSE,-0.33521384025050716,0.5803644677190317,2025,13,NA,NA,NA,Full Participation in Practice
00-0035544,DET,GB,2025_13_GB_DET,NA,NA,NA,NA,NA,0.21464330413841848,TRUE,udfa,Tom Kennedy,NA,66.64276409254761,NA,11,FALSE,-0.5826442855579962,0.38662067937556527,2025,13,NA,NA,NA,NA
00-0035640,PIT,BUF,2025_13_BUF_PIT,-0.3692336527547919,0.2048383950322232,0.36236571564770803,9.133961388816195,0.2125644488297593,0.2125644488297593,FALSE,r2_3,DK Metcalf,-0.5817981015845513,64.84623538670769,0.8736291522647338,11,FALSE,-0.5022442200796087,0.30928512290502264,2025,13,NA,NA,NA,Full Participation in Practice
00-0035659,WAS,DEN,2025_13_DEN_WAS,0.6451475090647345,0.15450073739917178,0.3976510368466012,16.715164729315674,0.6001687134410948,0.6001687134410948,FALSE,r2_3,Terry McLaurin,0.04497879562363971,63.69808099686374,0.6661071666732044,11,FALSE,-0.5783298859929592,0.7882330609581789,2025,13,NA,NA,NA,Did Not Participate In Practice
00-0035676,PHI,CHI,2025_13_CHI_PHI,0.6003362746175219,0.25022759921601445,0.3053523313298887,12.21433179380771,0.6372285156293539,0.6372285156293539,FALSE,r2_3,A.J. Brown,-0.03689224101183197,66.15643406175796,0.9060407394237429,11,FALSE,-0.2426421951612388,0.3087701590550849,2025,13,NA,NA,NA,NA
00-0035719,WAS,DEN,2025_13_DEN_WAS,-0.10294341275366546,0.2248659260599199,0.09978909434131902,3.244948523798369,0.1366813054662922,0.1366813054662922,FALSE,r2_3,Deebo Samuel Sr.,-0.23962471821995768,63.69808099686374,0.7373601783676929,11,FALSE,-0.5783298859929592,0.7882330609581789,2025,13,NA,NA,NA,NA
