position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,thresh_start,thresh_boom,pred_vol,pred_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,pred_fp,lo_80_fp,hi_80_fp,lo_90_fp,hi_90_fp,p_start,p_boom,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,p_start_recal_preoverride,p_boom_recal_preoverride,override_flag_type,override_confidence,override_reason
QB,00-0040691,Jaxson Dart,NYG,LA,2026_02_NYG_LA,2026,2,NA,NA,20,25,6.340837663383896,3.8341114873549937,-9.484624005741834,17.15284698045182,-12.989423099820007,20.657646074529993,NA,NA,NA,NA,NA,0.48,0.2485,0.43620788044727465,0.23786914190273162,platt_vol_vegas,platt,0.43620788044727465,0.23786914190273162,NA,NA,NA
QB,00-0026498,Matthew Stafford,LA,NYG,2026_02_NYG_LA,2026,2,NA,NA,20,25,1.148995278397084,4.80886526896073,-8.509870224136098,18.127600762057558,-12.01466931821427,21.63239985613573,NA,NA,NA,NA,NA,0.325,0.152,0.34788507025691223,0.14332243221860283,platt_vol_vegas,platt,0.34788507025691223,0.14332243221860283,NA,NA,NA
QB,00-0039107,Stetson Bennett,LA,NYG,2026_02_NYG_LA,2026,2,NA,NA,20,25,1.8816928816750949,-0.20357590048630805,-13.522311393583136,13.115159592610519,-17.027110487661307,16.619958686688694,NA,NA,NA,NA,NA,0.1995,0.077,0.34288507025691223,0.13832243221860283,platt_vol_vegas,platt,0.2948935032244381,0.07130784147978501,role_change_up,0.85,"Bennett elevated to primary backup QB role, displacing Simpson and potentially increasing his opportunity if starter is injured."
QB,00-0041568,Ty Simpson,LA,NYG,2026_02_NYG_LA,2026,2,NA,NA,20,25,2.6272110523773766,1.220507229280897,-12.09822826381593,14.539242722377725,-15.603027357894103,18.0440418164559,NA,NA,NA,NA,NA,0.2325,0.0885,0.3307232576589803,0.08224240766087534,platt_vol_vegas,platt,0.3307232576589803,0.08224240766087534,NA,NA,NA
QB,00-0031503,Jameis Winston,NYG,LA,2026_02_NYG_LA,2026,2,NA,NA,20,25,2.501996171216178,-2.9568452548429907,-16.27558074793982,10.361890238253837,-19.780379842017993,13.86668933233201,NA,NA,NA,NA,NA,0.13,0.0405,0.18147332459806545,0.03695095393465202,platt_vol_vegas,platt,0.18147332459806545,0.03695095393465202,NA,NA,NA
RB,00-0037840,Kyren Williams,LA,NYG,2026_02_NYG_LA,2026,2,NA,NA,15,20,17.08734375675653,NA,NA,NA,NA,NA,17.993210768552007,9.49192354135674,28.138120335381615,8.343246172245394,33.441837812798724,0.538013273176105,0.30147207109381025,0.463922056384743,0.24303335669317144,strat_iso,platt_vol_vegas,0.548922056384743,0.32803335669317146,role_change_down,0.85,"Williams moved into a committee role with Blake Corum receiving significant opportunities, reducing his snap and carry volume outlook despite maintaining passing-game edge."
RB,00-0040715,Cam Skattebo,NYG,LA,2026_02_NYG_LA,2026,2,NA,NA,15,20,17.78783804535131,NA,NA,NA,NA,NA,11.43096852423228,2.6781349284578866,21.876057945347505,1.4954691040518338,27.33670823020418,0.25214105566963774,0.13556269248577035,0.20875,0.05699103365145912,strat_iso,platt_vol_vegas,0.29375,0.14199103365145913,role_change_down,0.85,"Singletary established himself as the primary receiving back with exclusive target share, reducing Skattebo's pass-game opportunity and overall role."
RB,00-0035250,Devin Singletary,NYG,LA,2026_02_NYG_LA,2026,2,NA,NA,15,20,10.492395422013038,NA,NA,NA,NA,NA,9.364078744764344,3.3969834420882785,16.48484064875594,2.5907211490571598,20.20754602271115,0.14128705750892534,0.05278756981633825,0.14106583072100312,0.045312643235396646,strat_iso,platt_vol_vegas,0.14106583072100312,0.045312643235396646,NA,NA,NA
RB,00-0033376,Patrick Ricard,NYG,LA,2026_02_NYG_LA,2026,2,NA,NA,15,20,8.854759628671825,NA,NA,NA,NA,NA,9.090912742655126,3.815286953424194,15.386517762206896,3.1024546740248944,18.67783447165159,0.1121560515202803,0.040788114942287734,0.11583011583011583,0.03365041550555197,strat_iso,platt_vol_vegas,0.11583011583011583,0.03365041550555197,NA,NA,NA
RB,00-0039738,Blake Corum,LA,NYG,2026_02_NYG_LA,2026,2,NA,NA,15,20,11.15950363206862,NA,NA,NA,NA,NA,7.696210724739051,1.456097494848037,15.14277531104194,0.6129455513472477,19.035809002758953,0.10379627533178615,0.04432053712767259,0.10303030303030303,0.05738527655085873,strat_iso,platt_vol_vegas,0.10303030303030303,0.05738527655085873,NA,NA,NA
RB,00-0037557,Ronnie Rivers,LA,NYG,2026_02_NYG_LA,2026,2,NA,NA,15,20,9.175050504136038,NA,NA,NA,NA,NA,7.947321310401231,2.533871588892456,14.40739687326446,1.80241680825322,17.784698114097523,0.0912266765017774,0.034958350219733814,0.09239130434782608,0.042606588887988704,strat_iso,platt_vol_vegas,0.09239130434782608,0.042606588887988704,NA,NA,NA
RB,00-0036893,Najee Harris,NYG,LA,2026_02_NYG_LA,2026,2,NA,NA,15,20,10.506979597432888,NA,NA,NA,NA,NA,7.486504744261189,1.5133908214090432,14.614448896749003,0.7063153041443728,18.34090912101861,0.09482684531636765,0.039790463155849554,0.07432432432432433,0.03646324987973912,strat_iso,platt_vol_vegas,0.07432432432432433,0.03646324987973912,NA,NA,NA
RB,00-0039384,Tyrone Tracy Jr.,NYG,LA,2026_02_NYG_LA,2026,2,NA,NA,15,20,8.827983867090555,NA,NA,NA,NA,NA,7.031487141044642,1.7674445568848984,13.313269481183191,1.056177377590025,16.59735975002674,0.0743196687554698,0.02624071844785636,0.06589147286821706,0.023909304321323113,strat_iso,platt_vol_vegas,0.06589147286821706,0.023909304321323113,NA,NA,NA
