position,player_id,season,week,pred_vol,p_start,p_boom,hit_start,hit_boom,stratum,team_spread,implied_total,sb,ib,p_start_platt,p_start_iso,p_start_strat_platt,p_start_strat_iso,p_start_platt_vol,p_start_platt_vegas,p_start_platt_vol_vegas,p_boom_platt,p_boom_iso,p_boom_strat_platt,p_boom_strat_iso,p_boom_platt_vol,p_boom_platt_vegas,p_boom_platt_vol_vegas
TE,00-0021547,2016,1,7.353490329391602,0.5115,0.2525,FALSE,FALSE,exante_high,NA,NA,NA,NA,0.4959052668965784,0.43859649122807015,0.4959052668965784,0.43859649122807015,0.521874648262179,0.4736529271063966,0.49343477525473745,0.25814146096532076,0.23170731707317074,0.25814146096532076,0.23170731707317074,0.2889658751618665,0.2555989802839777,0.27955715154018473
TE,00-0022127,2016,1,6.684569272575423,0.4355,0.1855,TRUE,FALSE,exante_mid,-0,23.25,close,mid_implied,0.42221258398704437,0.3778801843317972,0.41674325180358796,0.3579418344519016,0.43200043929656723,0.41812219128943706,0.4208860391124583,0.20049255184656223,0.2,0.19943717822399604,0.20491803278688525,0.2165002991544877,0.2134038843593468,0.22564498262797958
TE,00-0024389,2016,1,8.15601812783235,0.578,0.3105,FALSE,FALSE,exante_high,-0,20.5,close,mid_implied,0.5609523175216654,0.5166666666666667,0.5609523175216654,0.5166666666666667,0.6220498959051867,0.47263207912020166,0.5317027037381626,0.30646211452282973,0.2857142857142857,0.30646211452282973,0.2857142857142857,0.39324211854662955,0.23663220844954375,0.3031370993898713
TE,00-0025418,2016,1,8.22584175807958,0.5565,0.2955,TRUE,FALSE,exante_high,3,22.5,fav,mid_implied,0.5398557510586901,0.43859649122807015,0.5398557510586901,0.43859649122807015,0.6243994329552683,0.4792577135818276,0.577625400034426,0.29406101435069515,0.23170731707317074,0.29406101435069515,0.23170731707317074,0.40345652115308817,0.2339165560176065,0.3341026404085579
TE,00-0026201,2016,1,7.879111651044902,0.5665,0.2895,FALSE,FALSE,exante_high,-5.5,21,dog,mid_implied,0.549659749108708,0.43859649122807015,0.549659749108708,0.43859649122807015,0.5907674836782204,0.533819063488894,0.5711574426638317,0.28908440866384194,0.23170731707317074,0.28908440866384194,0.23170731707317074,0.3555523102442984,0.2813327928433673,0.34151471110304343
TE,00-0026267,2016,1,7.202785668117575,0.4945,0.236,FALSE,FALSE,exante_high,3,25.25,fav,mid_implied,0.47936751253279386,0.43859649122807015,0.47936751253279386,0.43859649122807015,0.5015885782333079,0.4987130844496373,0.5265209594027018,0.2441701696608888,0.23170731707317074,0.2441701696608888,0.23170731707317074,0.2714436121997582,0.26391036027510095,0.29660331624949227
TE,00-0027125,2016,1,4.98912975424377,0.2475,0.0725,FALSE,FALSE,exante_mid,-5.5,19.25,dog,low_implied,0.24167212692754703,0.3055555555555556,0.23504949933938632,0.3055555555555556,0.2301481825676255,0.20952629549391646,0.19098838900234935,0.09348101124121622,0.07751937984496124,0.08940204197612064,0.078125,0.0942796665278495,0.0770313915038514,0.07477984527055218
TE,00-0027714,2016,1,4.79546357511515,0.2645,0.0785,FALSE,FALSE,exante_mid,3,23.75,fav,mid_implied,0.2579538376477449,0.3055555555555556,0.25130890402684436,0.3055555555555556,0.2191100617019796,0.2511887607957959,0.2081621146948787,0.09971565497326976,0.07751937984496124,0.09568867324032099,0.078125,0.08483849939958114,0.09525261395477806,0.0807296683456075
TE,00-0027873,2016,1,5.099695081930741,0.2655,0.081,FALSE,FALSE,exante_mid,5.5,26.5,fav,high_implied,0.25891156151105876,0.3055555555555556,0.2522662701854008,0.3055555555555556,0.24276499373841398,0.2936965386388757,0.28413078224458926,0.10228597925241252,0.08333333333333333,0.09828646191942941,0.08333333333333333,0.09976359511097997,0.11575338677303786,0.11907506457069955
TE,00-0027981,2016,1,5.946134991349505,0.35,0.129,FALSE,FALSE,exante_mid,0,20.5,close,mid_implied,0.33990609658846743,0.36909871244635195,0.3335690363158709,0.3579418344519016,0.3367802321831337,0.27533175918082464,0.26226468007994125,0.14921183734486557,0.15789473684210525,0.146227938651294,0.15357142857142858,0.15288690548649028,0.11498337845074579,0.11225614832840708
TE,00-0027985,2016,1,4.979331133522596,0.2595,0.0865,FALSE,FALSE,exante_mid,2.5,23.25,close,mid_implied,0.253165219584403,0.3055555555555556,0.2465236410063551,0.3055555555555556,0.23200491672677107,0.2400348779151657,0.2162967754624163,0.10788784829704855,0.09523809523809523,0.10395977057890773,0.09523809523809523,0.09344655273624856,0.09980518443984635,0.08530243667309026
TE,00-0028040,2016,1,5.366914523133308,0.3005,0.099,FALSE,FALSE,exante_mid,-10.5,16.75,big_dog,low_implied,0.2924374720490401,0.36909871244635195,0.2858422174207406,0.3579418344519016,0.2725884737822779,0.24052909889324223,0.2113898789129312,0.12037445640739237,0.15503875968992248,0.11665883130177276,0.15357142857142858,0.11434879197871892,0.0860083419423275,0.07689597561757605
TE,00-0028067,2016,1,7.846412540455475,0.583,0.297,TRUE,TRUE,exante_high,-4,22,dog,mid_implied,0.5658682949288794,0.5833333333333334,0.5658682949288794,0.5833333333333334,0.5911195169694285,0.5611108598149893,0.5801806159382051,0.2953036452781766,0.23170731707317074,0.2953036452781766,0.23170731707317074,0.35097815706190455,0.30378581672196303,0.35506466853051283
TE,00-0028112,2016,1,6.909743702013725,0.462,0.2,FALSE,FALSE,exante_mid,-3,20.75,dog,mid_implied,0.4478406508389491,0.3778801843317972,0.44272819991882667,0.3579418344519016,0.46230026967678356,0.40515765884910315,0.41009157210974134,0.21319875118421755,0.2,0.2127141464736501,0.20491803278688525,0.23948728428523702,0.18773816336304372,0.2050376661016508
TE,00-0028142,2016,1,4.729521033033914,0.232,0.067,FALSE,FALSE,exante_mid,-3,19.5,dog,low_implied,0.22682437960928906,0.17964071856287425,0.2202499795085596,0.1746987951807229,0.20752452466267507,0.1848599423802733,0.15967700484720243,0.08767770216259381,0.07751937984496124,0.08357000582240819,0.078125,0.08214059291785471,0.06773938466255795,0.06030215955506378
TE,00-0028903,2016,1,4.861013849557462,0.2555,0.078,FALSE,FALSE,exante_mid,-2.5,20.75,dog,mid_implied,0.24933428608982755,0.3055555555555556,0.2426972952712332,0.3055555555555556,0.22213876461580645,0.2230073298102772,0.18790342368035295,0.09919970921261102,0.07751937984496124,0.09516763003974232,0.078125,0.08789658894804543,0.08836295848118406,0.07476873714231964
