position,player_id,season,week,pred_vol,p_start,p_boom,hit_start,hit_boom,stratum,team_spread,implied_total,sb,ib,p_start_platt,p_start_iso,p_start_strat_platt,p_start_strat_iso,p_start_platt_vol,p_start_platt_vegas,p_start_platt_vol_vegas,p_boom_platt,p_boom_iso,p_boom_strat_platt,p_boom_strat_iso,p_boom_platt_vol,p_boom_platt_vegas,p_boom_platt_vol_vegas
TE,00-0037809,2023,14,5.214838455806729,0.2295,0.0605,FALSE,FALSE,exante_mid,-11.5,16.25,big_dog,low_implied,0.2295,0.2295,0.2295,0.2295,0.2295,0.2295,0.2295,0.0605,0.0605,0.0605,0.0605,0.0605,0.0605,0.0605
TE,00-0037838,2023,14,5.5532698663728475,0.36,0.1115,TRUE,TRUE,exante_mid,7.5,26,big_fav,mid_implied,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.1115,0.1115,0.1115,0.1115,0.1115,0.1115,0.1115
TE,00-0038041,2023,14,5.819331620206954,0.3435,0.1185,TRUE,FALSE,exante_mid,2.5,25.5,close,mid_implied,0.3435,0.3435,0.3435,0.3435,0.3435,0.3435,0.3435,0.1185,0.1185,0.1185,0.1185,0.1185,0.1185,0.1185
TE,00-0038129,2023,14,5.77821794084869,0.325,0.1155,FALSE,FALSE,exante_mid,-2,19,close,low_implied,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.1155,0.1155,0.1155,0.1155,0.1155,0.1155,0.1155
TE,00-0038394,2023,14,4.419013219837806,0.209,0.0575,FALSE,FALSE,exante_mid,2,21,close,mid_implied,0.209,0.209,0.209,0.209,0.209,0.209,0.209,0.0575,0.0575,0.0575,0.0575,0.0575,0.0575,0.0575
TE,00-0038933,2023,14,6.779867317976014,0.3775,0.1595,FALSE,FALSE,exante_mid,-3,22.25,dog,mid_implied,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.3775,0.1595,0.1595,0.1595,0.1595,0.1595,0.1595,0.1595
TE,00-0038996,2023,14,4.590852380948902,0.201,0.054,FALSE,FALSE,exante_mid,6,21.75,fav,mid_implied,0.201,0.201,0.201,0.201,0.201,0.201,0.201,0.054,0.054,0.054,0.054,0.054,0.054,0.054
TE,00-0039065,2023,14,7.20362230187103,0.5285,0.2545,FALSE,FALSE,exante_high,4.5,25.5,fav,mid_implied,0.5285,0.5285,0.5285,0.5285,0.5285,0.5285,0.5285,0.2545,0.2545,0.2545,0.2545,0.2545,0.2545,0.2545
TE,00-0039074,2023,14,3.967422748024238,0.1255,0.031,TRUE,FALSE,exante_low,-7.5,18.5,big_dog,low_implied,0.1255,0.1255,0.1255,0.1255,0.1255,0.1255,0.1255,0.031,0.031,0.031,0.031,0.031,0.031,0.031
TE,00-0030506,2023,15,7.6071388650873715,0.607,0.3355,FALSE,FALSE,exante_high,10.5,24,big_fav,mid_implied,0.7430964484041133,1,0.7430964484041133,1,0.7548386506717425,0.9191824862014887,0.9260011978980428,0.3116781748436119,0.3333333333333333,0.3116781748436119,0.3333333333333333,0.22465753229642063,0.8076526932180881,0.8169984377777438
TE,00-0031260,2023,15,5.409630027078534,0.231,0.07,FALSE,FALSE,exante_mid,-5.5,20.25,dog,mid_implied,0.16403372434112662,0.1,0.16403372434112662,0.1,0.15535344568203033,0.15934071484894818,0.14324154561100555,0.0873108512593108,0.1,0.0873108512593108,0.1,0.11075024914545539,0.028135920729990382,0.03151491916461505
TE,00-0031610,2023,15,6.246944527330121,0.2745,0.0915,FALSE,FALSE,exante_mid,-5.5,15.5,dog,low_implied,0.2228187855089811,0.1,0.2228187855089811,0.1,0.19709093715210646,0.3089821742952495,0.2800388493348483,0.10822174885450549,0.1,0.10822174885450549,0.1,0.19709093715210646,0.3089821742952495,0.2800388493348483
