comparison,n,weeks,stat,stat_a,stat_b,delta,ci_lo,ci_hi,bar,verdict
a1_vs_ecr,700,59,spearman,0.11605225276327133,0.11350109144462638,-0.002551161318644954,-0.10572295248603071,0.1031199848364905,NA,NA
a1_vs_ecr,700,59,concordance,0.5379037574159525,0.5365853658536586,-0.0013183915622939635,-0.03528029249559125,0.032636485191128696,NA,NA
a1_vs_ecr,700,59,auc,0.5526270851308599,0.528679536957147,-0.023947548173712918,-0.07836703133407712,0.03371212566040491,NA,NA
weather_vs_ecr,700,59,spearman,0.11605225276327133,0.1250485237041754,0.008996270940904078,-0.09370396021141651,0.11524441749451686,NA,NA
weather_vs_ecr,700,59,concordance,0.5379037574159525,0.5409800043946386,0.003076246978686026,-0.031310791802930116,0.03809627408680398,NA,NA
weather_vs_ecr,700,59,auc,0.5526270851308599,0.5306118780557952,-0.022015207075064658,-0.07428231244891739,0.034393797346959736,NA,NA
weather_vs_a1,700,59,spearman,0.11350109144462638,0.1250485237041754,0.011547432259549031,-0.01688623141507292,0.04121423436934353,0.02,NEUTRAL
weather_vs_a1,700,59,concordance,0.5365853658536586,0.5409800043946386,0.004394638540979989,-0.004479278909125648,0.013651954806507879,0.01,NEUTRAL
