component,stratum,nominal,empirical,sharpness,delta
efficiency,pooled,0.5,0.49810577360206093,0.8349126311366682,-0.0018942263979390694
efficiency,pooled,0.8,0.7963327776935899,1.6804367492594454,-0.003667222306410145
efficiency,pooled,0.9,0.8999848461888165,2.2734309932959182,-1.5153811183554744e-5
volume,pooled,0.5,0.5003788452795879,2.6101639254401863,3.788452795878694e-4
volume,pooled,0.8,0.8007273829368086,5.415652343843766,7.273829368085183e-4
volume,pooled,0.9,0.8992271556296408,7.293456240679628,-7.728443703591825e-4
combined,pooled,0.5,0.5026519169571148,4.406054234760966,0.0026519169571147527
combined,pooled,0.8,0.7979996969237764,8.71395398105877,-0.002000303076223675
combined,pooled,0.9,0.8992271556296408,11.678600507630621,-7.728443703591825e-4
