position,arm,n,weeks,stat,stat_a,stat_b,delta,ci_lo,ci_hi,bar,floor,verdict
RB,base,1560,119,spearman,0.16267652933830543,0.15370831330277832,-0.00896821603552711,-0.058162677747937985,0.04071330522212292,0.02,0.174,NEUTRAL
RB,base,1560,119,concordance,0.5537336265417344,0.5530643464958409,-6.692800458935055e-4,-0.018531237411486413,0.01633707244191657,0.01,0.174,NEUTRAL
