position,player_id,player_name,posteam,defteam,model_rank,ecr_rank,rank_gap,view,start_pct,boom_pct,fp_actual,thresh_start,hit_start,hit_boom
WR,00-0035640,DK Metcalf,PIT,NE,32,27,-5,model_lower,32,18,6.7,15,FALSE,FALSE
WR,00-0038117,Wan'Dale Robinson,TEN,PHI,33,46,13,model_higher,32,18,1.9,15,FALSE,FALSE
WR,00-0034348,Courtland Sutton,DEN,JAX,34,35,1,agree,31,14,5.5,15,FALSE,FALSE
WR,00-0035719,Deebo Samuel Sr.,SF,MIA,35,33,-2,agree,31,14,6.5,15,FALSE,FALSE
WR,00-0040727,Tre Harris,LAC,LV,36,58,22,model_higher,31,17,6.300000000000001,15,FALSE,FALSE
WR,00-0038559,Michael Wilson,ARI,SEA,37,34,-3,agree,30,14,3.8,15,FALSE,FALSE
WR,00-0041042,Malachi Fields,NYG,LA,39,67,28,model_higher,30,14,5,15,FALSE,FALSE
WR,00-0040735,Luther Burden III,CHI,MIN,41,23,-18,model_lower,29,14,6.2,15,FALSE,FALSE
WR,00-0033921,Chris Godwin Jr.,TB,CLE,47,29,-18,model_lower,27,11,8.8,15,FALSE,FALSE
WR,00-0036613,Jaylen Waddle,DEN,JAX,49,21,-28,model_lower,25,11,21.8,15,TRUE,TRUE
WR,00-0035659,Terry McLaurin,WAS,DAL,55,24,-31,model_lower,24,9,7,15,FALSE,FALSE
WR,00-0037816,Romeo Doubs,NE,PIT,67,38,-29,model_lower,20,7,12.600000000000001,15,FALSE,FALSE
WR,00-0034960,Jakobi Meyers,JAX,DEN,70,37,-33,model_lower,20,7,3.8000000000000003,15,FALSE,FALSE
WR,00-0038997,Josh Downs,IND,KC,73,36,-37,model_lower,19,6,14.2,15,FALSE,FALSE
WR,00-0039919,Rome Odunze,CHI,MIN,84,31,-53,model_lower,17,2,7.3,15,FALSE,FALSE
