position,cut,n,weeks,spearman,concordance,auc,spearman_lo,spearman_hi,concordance_lo,concordance_hi,auc_lo,auc_hi
RB,ecr_full,1609,121,0.17355482065167874,0.5572869753197622,0.5714656597087813,0.1181943014243329,0.2233247185699116,0.5386921117899313,0.5742301482183989,0.5414422255442697,0.6006456983309258
RB,ecr_matched,424,31,0.22614944526752426,0.5706725844998293,0.6232844172297297,0.10778163474956666,0.32895222550584846,0.5308155705830713,0.6066784779926937,0.5523231269954236,0.6913747408374742
RB,incumbent,329,24,0.1673266773914096,0.5600446428571428,0.5631410256410256,0.0668524776524644,0.2612830215519845,0.5290990060250034,0.5907647891316363,0.5045704331350971,0.6208254889833807
WR,ecr_full,1496,116,0.11418580153085031,0.5388180764774044,0.5525296463155714,0.05126347716650984,0.172278855401147,0.5183473131742837,0.5583976275239447,0.5166362075408242,0.5859642715869045
WR,ecr_matched,386,28,0.13935972706198185,0.5421863536316948,0.5554387019230769,0.015292187709864489,0.26291007847155046,0.5028060571749616,0.5823552113929081,0.47521457400402883,0.631622488270412
WR,incumbent,309,23,0.13876686544171096,0.540948275862069,0.5273109243697479,-0.03492788379059879,0.30444797688605796,0.48644913435337683,0.5965831941876191,0.4595946928581783,0.5966406064913528
TE,ecr_full,792,105,0.026626369110558407,0.5056935817805382,0.5167783656672545,-0.06659368152814911,0.12595225815841204,0.47560832666263697,0.537378330574388,0.47110965349905026,0.5633064138482651
TE,ecr_matched,178,23,-0.0338551717603279,0.4832572298325723,0.49810508182601204,-0.24186440555883046,0.17885694584629824,0.4160383226933069,0.5508135097530663,0.39683798744889937,0.6095568109694822
TE,incumbent,118,18,0.0776244083218866,0.5186666666666667,0.5201868535201869,-0.12893806405157981,0.2680110344524035,0.44753043789646,0.5859473358812949,0.4084458968261785,0.6340134114050762
