player_id,posteam,defteam,game_id,source,rolling_pass_epa_per_db,wt_dropbacks,wt_carries,wt_carry_share,wt_rush_epa_pg,wt_rush_epa_per_carry,prior_pass_epa_per_db,baseline_pass_epa_per_db,is_cold_start,draft_tier,prior_rush_epa_pg,prior_carries_pg,prior_rush_epa_per_carry,player_name,form_residual,wt_team_total_plays,wt_team_pass_rate,wt_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,def_rush_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0023459,PIT,NE,2026_02_PIT_NE,played,-0.28774094140656165,42,0,0,0,NA,0.02962955558763661,0.02962955558763661,FALSE,r1,0.05539298793861247,0.8125,NA,Aaron Rodgers,-0.3173704969941983,67,0.6417910447761194,1,1,TRUE,-0.17530315013606762,0.3924521175222386,-0.08120175787421999,2026,2,-5.5,18,NA,NA
00-0026498,LA,NYG,2026_02_NYG_LA,played,-0.44866925534326585,25,1,0.03571428571428571,-3.8140346703585237,-3.8140346703585237,0.22915007054383082,0.22915007054383082,FALSE,r1,-0.9570938945090508,0.7058823529411765,NA,Matthew Stafford,-0.6778193258870967,61,0.47540983606557374,0.84,1,TRUE,-0.2007693292985745,0.46439923558645013,0.15484541317288464,2026,2,7,27.25,NA,NA
00-0029604,LV,LAC,2026_02_LV_LAC,played,0.013106488745309857,30,2,0.058823529411764705,-1.6883088023168966,-0.8441544011584483,-0.02280048296776633,-0.02280048296776633,FALSE,r4_5,-0.11013943436846603,0.8,NA,Kirk Cousins,0.035906971713076184,68,0.45588235294117646,1,1,TRUE,-0.13570504445745138,0.01563068097019144,-0.0989367738910116,2026,2,-7,18.25,NA,NA
00-0030565,NYJ,GB,2026_02_GB_NYJ,played,0.4064521710191151,24,3,0.08333333333333333,-2.6765111626591533,-0.8921703875530511,-0.14633694147902812,-0.14633694147902812,FALSE,r2_3,0.023883275441282117,2.3333333333333335,0.010235689474835193,Geno Smith,0.5527891124981432,68,0.38235294117647056,1,1,TRUE,-0.042688842224726076,0.4999217265667961,-0.14654369740283288,2026,2,-3.5,20.5,NA,NA
00-0032950,MIN,CHI,2026_02_MIN_CHI,played,0.21683093959969993,23,2,0.06451612903225806,0.04539427999407053,0.022697139997035265,0.03392912667067175,0.03392912667067175,FALSE,r1,NA,NA,NA,Carson Wentz,0.18290181292902818,66,0.4696969696969697,0.83,1,TRUE,-0.15591920076186894,0.2335380972935799,-0.04276480840053817,2026,2,-4.5,21.5,NA,NA
00-0033077,DAL,WAS,2026_02_WAS_DAL,played,0.3053206695459427,34,2,0.1111111111111111,0.9365367433056235,0.46826837165281177,0.16658118980841302,0.16658118980841302,FALSE,r4_5,0.1265415574423328,2.176470588235294,0.05814071558161237,Dak Prescott,0.1387394797375297,59,0.6101694915254238,1,1,TRUE,0.05727856708827891,0.46045001344120495,0.05491265337963695,2026,2,3.5,27,NA,NA
00-0033106,DET,BUF,2026_02_DET_BUF,played,0.018428114368014337,40,2,0.06060606060606061,-1.502227958291769,-0.7511139791458845,0.17447773411323916,0.17447773411323916,FALSE,r1,-0.5024979529849218,0.6470588235294118,NA,Jared Goff,-0.15604961974522483,79,0.5189873417721519,1,1,TRUE,-0.32772985735297133,0.29454945070700456,0.027481786753897956,2026,2,-5.5,24.5,NA,NA
00-0033119,ARI,SEA,2026_02_SEA_ARI,played,0.2371806496092959,38,3,0.0967741935483871,3.593515337095596,1.197838445698532,-0.011969332848812722,-0.011969332848812722,FALSE,r2_3,0.5740612218410734,2.769230769230769,0.20729988566483207,Jacoby Brissett,0.24914998245810863,75,0.52,1,1,TRUE,-0.20968313415080472,-0.065952054832848,-0.20276481992678771,2026,2,-3.5,19,NA,NA
00-0033537,CLE,TB,2026_02_CLE_TB,played,-0.36426042891471166,27,6,0.2727272727272727,4.208384518802632,0.7013974198004386,NA,0.03312442527245002,TRUE,r1,NA,NA,NA,Deshaun Watson,-0.3973848541871617,55,0.5454545454545454,1,1,TRUE,-0.04455011181095666,0.1820648510798811,-0.10556485781618823,2026,2,-7.5,17,NA,NA
00-0033662,ATL,CAR,2026_02_CAR_ATL,played,-0.6063287474406966,26,0,0,0,NA,NA,-0.3948780849372473,TRUE,udfa,NA,NA,NA,Cooper Rush,-0.21145066250344935,61,0.4262295081967213,1,1,TRUE,-0.040485306989026255,0.473296776198083,-0.027756733763862482,2026,2,-2.5,20.5,NA,Full Participation in Practice
